,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02535839847406174,,,,,,,,,,,-0.0086238378455701,,,-0.015224980752561084,,
BMP1,-0.04323301104010036,0.05745707416689895,0.02932310430986042,-0.050923255615074575,-0.01633415382701054,0.017207582362934095,-0.07469902885993111,-0.12975827277462057,0.006225606279915782,0.02483202486983319,0.06628934202197306,0.009846928608169542,0.0007580614195066596,0.015637184378165216,-0.008809157525993379,0.06256030021076289,-0.035663476590749664,-0.025613164100686026,-0.018736758234167778,0.034682553449363066,0.0105787148258258,0.055840568051144436,-0.05142823541344286,-0.14162771067390942
NDP,0.09181261374685562,0.027888022769010052,0.018026931143142147,-0.04197099515906152,0.0069387452787889135,0.056648409757655886,0.014900048370774197,-0.049713573372562186,0.029318029615400403,0.06825346371999075,0.045317659520436135,0.008741288832916782,0.03197260109290763,0.04432841763984426,0.024492896403214347,-0.14763806506809013,0.032775801317777395,0.09136455031654656,-0.06073497680203181,-0.012345097279600661,-0.049078170527897556,0.027753722506363092,0.09108500613534884,0.08710073424870982
TNFSF18,0.02584936036441284,0.0395132753987981,-0.0288343127978971,,,,-0.0327913150581263,-0.053371703948681404,-0.022620193006818962,,,,,0.07124430973515387,,-0.06395928761176485,,,-0.024516874814165455,,-0.03410685322865873,-0.009642654099055938,0.011233453845372493,
IL36G,,,,,,,,,,,,,-0.02081244361137879,,,,,,,,,,,
RTN4,0.041474235167265165,0.04130314652051069,0.06613286458689224,-0.03527771422110149,0.03851122809090145,0.041472317090090166,0.15507470945433158,0.1999079392778123,0.015333010145785468,0.11418236323901503,-0.032453094021660925,0.025222650705611666,-0.005168135727361077,0.034438577830989074,0.0349373211698172,-0.003558803392351044,0.10145518605697926,0.004941667373782146,0.10810955503926636,0.12534322796441488,0.13239938935436685,-0.0013207901168020876,0.07942209887521148,0.01959948058264258
HEBP1,-0.006904999872586935,0.0487594799819392,-0.015610890610361056,0.04184489565342533,-0.03518171322787931,0.022294388600024424,-0.04769859061388292,-0.07180378468061703,0.0278582730791938,-0.007123180775150564,0.019569212123835514,-0.06932203203442576,-0.01778472091405158,0.007843069910583597,-0.06992821219432467,0.12653603852740958,0.10418259799853963,0.04013262121599298,0.01354624731687756,0.03286204273988174,0.010141649208789254,0.044281909234878,-0.009480814389280704,0.07627696967299388
WNT7B,-0.011863417354275806,0.048030989452587526,-0.004368025145826277,-0.03207724777438296,0.05080947356575701,0.04345238417141818,0.051124793762629656,0.1608106920579428,-0.009925904399575716,0.003861189893959833,,-0.03043389312954944,0.007455918647009808,0.030781447104705876,-0.0012689069815551546,,0.0009458358512811775,0.09839895299213271,0.08897190874346644,0.032616965763394644,-0.03410681786241404,-0.03249643803913536,0.052805046447723936,0.12829492593120595
PTMA,0.034551069472356075,0.09147981640167957,0.015567587591695823,-0.019644528097040852,-0.02649134391954541,-0.0071371831410874526,-0.13844849029479972,0.054631773649065636,-0.027504384599058202,-0.017338689946568273,0.029659264079340334,0.04549133620490778,0.0583050005107506,0.08605526609662971,-0.10021451177178599,0.008787620437444948,-0.060098269480889796,-0.037434442563440064,0.12964322111850743,0.03247155210898984,0.015917952709700645,0.005134379306580344,-0.02428407716363296,-0.06143481760762056
FASLG,-0.028055839334984914,,,,,,,,,,,,,,,,,,,,,-0.013204620612618992,,
CEACAM1,0.01971440322824403,-0.02700471928530586,-0.021217901527342355,,0.02368718866108994,-0.012736518326844554,,-0.07023412257150374,0.003750988252582235,,,,,,0.051037678128544615,0.06338513224419318,0.13195441072320022,0.044305319057134876,-0.02625647520009725,-0.004066938620144363,,-0.018372290176706024,,
PDAP1,0.03773418109232694,-0.06955658718276676,0.009758738111070702,-0.01954309024263358,-0.03298238750592586,-0.027070332866230586,0.004780679502354233,-0.12491069026857832,0.009834421660371498,-0.060237563336653165,-0.07618360048053462,0.005630519378746147,0.03184277514225053,-0.027751093429876108,0.03895397928876686,-0.021766516891345376,-0.05032649904827096,-0.03300323599696728,-0.07386568882878776,-0.05075567377789759,0.01858573307042048,0.015461795667197133,-0.025290513450727376,-0.05230114117876892
QDPR,0.025183756366472656,-0.0011561442288276632,0.00469738190018511,-0.029430655635681216,0.01902164174741525,0.07822601075045206,0.020793091059108905,0.07281013580844449,0.08362071500844193,0.07520261455924136,0.10132272404679124,0.08771397219154792,-0.0228445800222033,-0.0017964192530396995,0.08084725072620223,0.07753960602774303,0.06329967682869113,0.14343909592586032,0.19344113749106348,0.03925020314295571,0.08427695781449475,0.006596548642928226,0.09138274384656565,-0.051583557094192135
POMC,0.014076586494183741,-0.011241137498908647,-0.0016420564126519814,,0.045507610557270484,0.022606323355141872,0.025036638735948743,-0.005754957445617546,-0.004271790274588257,-0.012506965915925464,-0.0043457943349158,-0.029382497177007798,0.005635075239622891,0.008558035010483493,-0.07122631558042963,-0.022730263349868333,-0.02749452868003329,-0.003570446826323412,0.029566459984431644,0.10244840388424807,,-0.02154659346636917,0.01375981820441266,-0.013829167644135278
CCL18,,-0.03369933815343109,,,,,,,,,0.043021631422910246,0.031118370800763663,,,0.01772343601738915,,-0.010733490830450939,-0.07407250325999082,,-0.06279327898546476,,,,
