,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.015073681254097878,,,,,,,,,-0.020915620924416106,,-0.02787357220586641,,
BMP1,-0.022581190393412238,-0.012793226233405855,0.020479919408094346,0.0014871794969002832,0.004211865307783056,-0.0525038054494162,0.04889634264171158,0.048397027615032145,-0.027476373652874385,0.03652833998516921,-0.0477289359642293,-0.019254058225551225,0.011931653954539235,-0.009674403685483803,0.008887471741705552,0.03457082594605046,0.06517396703382751,-0.009418618562023464,0.09117588160373233,0.005277577087448986,-0.010482697447764736
NDP,0.008054851248584422,-0.011459132267291849,0.011696156814872412,-0.018787297641749592,0.009255956142381462,-0.0201346512620218,0.017366041923748306,-0.016002810692505358,-0.027978588932695662,0.02691512702984313,-0.06666902450724425,0.09164371143621423,0.08053705909747749,0.08608785079960683,0.06189944967697917,0.06580899774763616,0.05320929412774191,-0.0127293589399604,0.02946142911912072,0.0627652092800603,-0.11570119473888855
TNFSF18,-0.022885152519951636,-0.027743629500084518,-0.021124836606276596,0.001420864440328962,,,0.0069571210151542755,-0.0116282129834805,-0.02360333015820021,,,,-0.02212029483781935,-0.051826925079543694,,,-0.021569910676960763,,0.016105622071005892,-0.04575886716474015,
IL36G,,,,,,,,,,,,-0.02147870325234885,,,,,,,,,
RTN4,-0.002126165362130935,-0.12223832926188048,0.014225113730377756,0.008415403411038086,0.08560555095809254,0.038142358152351716,-0.021661157625343482,-0.050412380885077886,0.02118090093510651,-0.01971347686817557,0.11648713397027483,0.02679797104160414,-0.006251098643954198,-0.01961799289594217,-0.018691948975462475,-0.05775815149859322,-0.1269089403174746,0.048982072523056086,-0.06909747381880367,0.1534979122372333,-0.08317306493638868
HEBP1,-0.02235348782509909,0.01401294364122802,0.010099140395174325,0.03281531733782013,-0.03399121600167313,0.039861704376899953,0.022518578760068256,-0.0006519925334435689,0.02626279232479323,0.017099930729778407,-0.0004298610059420996,-0.00477549864150375,0.05135350182006041,-0.009759527442510157,0.024134637050536534,0.06665505216870467,0.0244476105375883,0.024799062918534003,0.04110798239879745,-0.018347284686334668,0.007196393921517251
WNT7B,-0.020161102587168217,-0.025768227906371226,-0.04280695386891651,0.06917051951391821,0.027501072749325416,-0.0024927199388504336,0.045495416392978716,-0.01056837813352242,-0.053941066849532995,0.10219339753110494,,0.00452368476548239,0.06951733728498614,,0.12453271149114666,-0.02957606524895435,0.00016245263321397612,0.00886625416367941,0.07513924129780347,0.008820075445836795,-0.04128120246616223
PTMA,0.021833675940644167,-0.03946546092573224,0.0028403688085389105,-0.02656953070202205,0.003447888421278121,-0.03007872926652044,0.04731482744625728,0.004137147400769212,-0.039583451275464455,0.03505432297608512,-0.14090910351199556,0.05809684680569416,-0.03513680103762663,0.06764672194044634,-0.09988880409830928,0.008209136301187156,-0.10889119425544261,-0.008561254215311629,-0.0006466202754594286,0.008793816383315877,-0.1260652356138916
FASLG,-0.020161108286660272,,,,,,,,,,,,,,,,,,-0.02417473966494137,,
CEACAM1,0.10909259741217081,,-0.004573080751673211,-0.012055894904184574,0.002982841830296998,-0.0284992499990516,,0.024788443837828224,0.00927212461500144,,,,,-0.03644312410497075,0.01739107461936987,-0.02303346746695026,0.05044698273972228,-0.022637192550767696,0.03236964726189587,,
PDAP1,0.023157166956941377,0.09933998258393793,-0.00632013564840841,0.01856435582686868,0.06831215088715138,-0.027691865753531525,-6.985696597344728e-06,0.07041565940857043,0.006016363601189536,-0.014083218703493059,0.011199886465497959,-0.038309378600401116,-0.009428732596065071,0.02844120311601475,-0.04944870287982603,0.05577269139111981,0.02877590950042341,-0.009983300732169279,0.05760111713958789,-0.061552435898389886,0.009720565280701905
QDPR,-0.04309566218189841,-0.02626757512116162,-0.08453127667103696,-0.020755921885049853,-0.04405503611783235,0.06683725055280006,0.008347665523389287,-0.08569206842958996,0.04136469321885985,0.002501915173377016,-0.07559010662059194,0.061550372799543174,0.004765808436668372,-0.08860861265169567,0.042887473517787114,0.008240709858432343,-0.12776505089330148,0.030076894601042212,-0.021023216129199263,0.05664557186708197,-0.07855497599672406
