,MGH258,UKF243,UKF251,UKF259,UKF266,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.016487984604242098,0.06625453659919119,
BMP1,0.056555329297463125,0.13739717068017412,0.03205625268578259,-0.005420047542681591,-0.05549686605356204,0.011529748589976194,0.052628266146442206,-0.08691105147873296,-0.03133758834443274,-0.04822105281075032,0.05284070632652553,-0.012193306865356909,-0.001734800212066511,0.0919248964010348
NDP,-0.034316250869616885,0.1820714059988147,0.027961112196898143,0.017119103621121453,-0.06718902188708667,0.020271671379076615,0.008188332262612655,-0.02604835919478343,0.04213611397129765,-0.020149945279142187,-0.019613324952136295,0.006337990064644606,0.11592015119259694,0.05197117310875773
TNFSF18,0.07705750576217214,0.1102854038529728,0.035952763547766386,,-0.020495734911267497,-0.012622089051545443,,0.011737739918315716,,0.003607735207715263,,0.016261369988661567,0.005367250281541335,-0.011989835318493264
IL36G,,,,,,,-0.020893720116956286,,,,,,,
RTN4,0.038226571614202204,-0.1183663086709886,0.01905248687198222,0.010131623064740455,0.17291682063915748,-0.006263098612906947,-0.10212990218489239,-0.08474985270331893,0.010270353802834666,0.059939500556579345,-0.010725115693889233,0.04553493930698497,-0.006281054035559433,-0.1276043270786387
HEBP1,0.008247490867219237,-0.04618592282696313,0.02749722062089352,-0.031764819360974327,-0.0770582867631917,0.017634707652437086,0.03696127747427556,0.043479867012460136,-0.01893105813198859,-0.02398026242638694,-0.028326516805151022,-0.022171734532162236,0.10342108085536487,0.06607438699320527
WNT7B,-0.01698506134734137,-0.010672022672605811,-0.010328005364324475,-0.020565624281803623,0.062265913287015896,-0.0035379407988972477,-0.03480223130683462,-0.017182077923522707,-0.05995566775371208,,0.020933840605804988,-0.042822805280857995,-0.016493997835293726,0.007057926802915889
PTMA,0.029173469138863255,-0.2059494072141147,0.05580139872036748,-0.016151709127510988,-0.14631953772569897,-0.016992399368614644,0.06228481960752809,-0.05148208923605969,-0.0903111017789008,0.04441643481795278,0.005395621151493963,0.0203668794860334,-0.09533544633429859,-0.030012122615311092
FASLG,-0.0169850661489747,,,,,,,,,,,,-0.00015062194353272185,
CEACAM1,-0.023583912995837508,,0.0059101300683964565,0.039311164641564686,,-0.019851539066845565,,,0.1170098284497537,0.06084145560434425,-0.015399744224654443,0.09506803618721267,-0.04084674162167928,
PDAP1,0.004536241277611492,0.015560536472573206,0.011310141811768282,0.008860618997720721,0.014421518984436303,0.026504586319760916,0.022293815080349243,0.024450259547846465,-0.015046701722065512,-0.016012350075466274,0.023196255092735645,0.027441611083830482,0.024454905897655078,-0.003672136042013498
QDPR,-0.01343270201455031,0.13199907636659577,-0.003976331747247215,-0.002876891858410796,-0.06343624703956986,-0.006388174740608392,0.04695747419975992,0.06376648354486077,-0.08712614795475469,0.005032807422440142,-0.004328159370862457,0.07104889902521545,0.11512512691629229,-0.031113623951862693
POMC,0.08481398105989604,0.03550830954832295,0.030224839442432913,0.04636465463576643,0.05350362449581625,-0.014645674004122807,0.05120244827803258,-0.09225236272184789,-0.06354677335595377,-0.02717770763197946,0.06259199990596909,-0.0323941704066347,0.07032789264851372,-0.014458643416848629
CCL18,,-0.04895254296337008,,,,,,,-0.00980035323426121,,-0.026228700960657915,,,
CCL17,,,,0.0043939826349451445,,-0.015742202492532522,0.02195076041074038,,,,0.11225505544296033,-0.03213668357356353,-0.00585261117900144,
