,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.016649270183660712,,,,,,,,,0.08684658649141345,,0.026293806389136844,,
BMP1,0.012691131054884577,-0.0399834683245868,0.01422388337669372,-0.0036548640190083035,-0.01621833132642542,0.06402105887798454,-0.011185533193968073,-0.01555722724665665,0.005525052300740168,0.00833201060294673,0.03984513266204758,0.00043994295464761077,0.09836429572022538,-0.020012819570167192,-0.059581719477923484,-0.023578988980793216,0.04404322838351784,0.07267665637790637,0.1496138140537681
NDP,0.05154884878286527,-0.031312434580264135,-0.008817559389815674,-0.061708443959772444,0.06374260949590302,0.004728741615665226,0.07466867815075032,-0.0499854102957488,0.06939275919122685,0.05939544207806354,-0.023346261331409445,0.0043320363920007505,0.0647825568518864,0.03207049827508433,-0.02888000927952703,0.012739828347886124,0.049373948089582974,0.02093163960902426,0.0772454800358301
TNFSF18,-0.010536838814824766,-0.028518379257850737,0.057554902552274474,,,0.11833429053339141,-0.01139033307986707,,,-0.02634637836937611,,,,,-0.010659189595219394,,0.010483760423129828,-0.0428343849983895,
IL36G,,,,,,,,,-0.01777128260834204,,,,,,,,,,
RTN4,-0.06187367893816434,-0.02281078127810153,-0.0024026314952914885,-0.044420130076861075,0.0446030443018116,-0.09688870387962865,-0.005065393279465628,0.029739949119777617,-0.09712400497516588,0.02858548463620279,0.05103387421583803,0.023408806291638346,-0.01689673398851023,-0.06275267213238127,0.01104911297172486,0.04099194568342941,0.032391430575605305,-0.02543434947143441,0.05092566205317441
HEBP1,-0.005850666241834805,-0.03716489488332285,0.0041354687186727435,0.01707261357860306,-0.00277943899192986,0.0477901269068594,0.03466774978406221,-0.022301040993973977,-0.024970113489701917,-0.02384413677915852,0.030471622409848312,-0.049768392476306045,0.060503371429276254,0.02368998896601657,0.030269499480372584,0.022028741794308908,0.05095940018875557,0.09318217326134103,0.009900645936854495
WNT7B,-0.0691414247225385,0.036334387907093695,-0.021678092628494443,0.03766527150664016,0.029381476244182244,-0.005433651838534582,0.009372302111779387,0.007347283867580187,0.015881558439046903,0.17170533107120356,-0.0303954079387421,0.03448249872090085,0.05301547104691788,-0.04360342036951124,0.0278706239603227,0.14269572199592773,0.1094153418031211,0.03547692619330468,-0.028968481692020487
PTMA,-0.05415708738935846,-0.031012640644925572,0.04537261524494992,0.020585477632048564,-0.037950884159623915,-0.04596276379331604,-0.0026843030173480486,0.00520919978571627,0.07436215356438819,-0.09836421271125592,-0.044444389252032784,-0.004036893277796604,-0.08146863625698741,-0.040540057088279936,0.05310956705829607,-0.03740777516782568,-0.033195234253234625,0.08178785921249968,0.042135041757914556
FASLG,,,,,,,,,,,,,,,,,0.03689240637667764,,
