,MGH258,UKF259,UKF260,UKF266,UKF296,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.01731273611353951,,-0.014805326480495483,
BMP1,-0.07425853828524694,-0.004175945522289288,-0.0346128295943569,0.0005018343427450462,0.03320839940639044,0.09752812417981173,0.010615791981858807,0.11646719914274663,0.047497500450094834,-0.015011095628074908,0.03737374483913409,0.06329014968829369,-0.07105332517567264
NDP,0.0008421322378931571,0.009298691172698752,-0.02814045146260411,-0.0626130311607449,-0.004580982589220257,0.02216738056303955,0.007368215820048229,0.014976616369206072,0.0575667502326314,0.0035901257229350907,0.034046481798861813,-0.03816059775933734,0.056922078487964614
TNFSF18,-0.024278988752158268,,,-0.012213192452015235,,-0.03003664629261234,-0.035456962634628254,,,-0.017854319166155236,,0.03038864797719332,0.12218229671680786
RTN4,0.00636632396724102,-0.01040777176449115,-0.015304001737547153,-0.020037274367244062,-0.012020741331593093,-0.062280064448162586,0.0683167801146207,-0.10077923468990896,0.016360467980561864,-0.04813447852480495,-0.10829163567882326,-0.022822696955710882,0.002839454901467153
HEBP1,0.04204932358296741,-0.02999466184983441,0.009941414619824602,0.019354141178710656,0.05099003865353464,0.049438683270827455,0.02162958537472437,0.004933297776165222,0.08933727329254625,0.019678350240481292,-0.002868595555634815,0.008813536075262576,0.0380606821703526
WNT7B,-0.021389028651577477,-0.03549554627668326,0.0642419014685168,-0.050586224504831856,-0.015025369797857444,0.05959574606289431,,0.1911339289707887,-0.04254488914341729,-0.02421893756761805,-0.036947469244277366,-0.013930346962731084,0.03358385258778127
PTMA,-0.019869639853968907,0.06789891517526653,0.02123167325766841,0.01264826999080373,0.029428644636611212,0.01873376697936254,-0.06917262264997633,-0.14742499281183644,-0.023980630094406145,0.0043636406174297,0.06785072767979744,0.007912333549299636,-0.02945433203395419
FASLG,-0.021389034698201085,,,,,,,,,,,-0.032896190481626376,
CEACAM1,-0.029698861868593558,0.0031467125976557524,-0.01620797514531824,,,,-0.03759367976540332,0.21436584107611803,-0.02383999978041488,0.13139268184278227,-0.024522572690351855,0.06689589061175814,
PDAP1,-0.019892356298105845,-0.025918481104697657,-0.001176867214801142,-0.020758270172499992,-0.06869623061989655,0.031329389474348254,-0.01711340417877684,-0.030078689303548938,-0.0004991870859235774,-0.004550516943643338,0.0062394859393986625,-0.006311778245074525,-0.07973298161187894
QDPR,0.00972919343307208,0.025260652892039142,0.007064716160935966,0.05733062464355225,-0.026307309895327886,-0.04901713690262507,-0.014551568797215525,-0.1489353817621229,-0.03132685856822715,-0.014848610348612198,0.002107606341601811,-0.025388133273995854,0.020203810486859968
POMC,-0.014782315189402694,0.002172490270308903,-0.020794914992765506,-0.01951454279204201,0.014269794147476549,-0.003842648818007157,-0.02335334961578095,-0.04514179008377502,0.043907100936372005,-0.004033177045931449,-0.021755666619840037,0.006763627834277895,0.10467246080114573
CCL18,,,,,,,,0.10861438519201425,0.010932564730852126,,-0.0017727724446592237,,
CCL17,,0.024367405130973387,,,0.04299617193270179,,,,0.13906375250425201,-0.02282584249516957,,-0.015085011309925856,
