,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.021315148594936398,,,,,,,,,,,-0.03632842121263799,
BMP1,0.12761740972840996,0.08454422150993185,0.024147425797505256,-0.03394970664414538,0.12509393011043748,0.14863560036028498,0.06217124752497656,-0.028809022753643707,0.042410188862800326,0.17280352553995976,0.07290607324437545,-0.06604568175365573,0.09944446595399392,0.045098270352023025,-0.03857381457769137,0.03268151290689675,0.07278163603753633,0.09762680420146747
NDP,0.017263780013031232,0.03007330081896218,-0.026194464336348162,0.0125269006251621,0.022629325724854068,0.014746373725528188,-0.03073535677239149,-0.04672764938641165,0.036863979152721243,0.04250674459759525,0.042863566478355604,0.03464208191743703,0.02911674339333055,0.034561642419373956,0.048661651383108045,0.026682659243865366,0.07714994505529532,0.02566981090381409
TNFSF18,0.02361641083625039,0.017389135444480522,,,-0.014130673180856878,0.1720305445040889,-0.01577693921717344,,,-0.01863725165677851,,0.032658229965085495,,,,,0.005330501737044395,0.08424536263519819
IL36G,,,,,,,,,0.00930061776946316,,,,,,,,,
RTN4,-0.05782502071242483,-0.010343766030746503,0.04447208237419371,0.001320574980918071,-0.0978225903977546,-0.15378836409967903,-0.04757389407405322,-0.03606832949708552,-0.025147245943034607,-0.04672145188965694,0.05726525424892236,0.03047939583373799,-0.0363792964361855,-0.027638140929496947,-0.0018140556653035206,0.040088357806908115,0.010226458461116297,-0.035855526802206585
HEBP1,0.02114815243535494,0.029050672480350235,-0.06328762398141533,0.02682354465116376,0.05073329804997746,0.054690888318846206,-0.0219191434704764,0.01732724229877771,-0.04403447260511349,0.04490720098947258,-0.020665672999656312,0.03912546412714218,0.01894002268267522,-0.018274317316795213,0.02252437123677514,0.0387267430193445,0.009807652378826567,0.02185110594396181
WNT7B,0.0005564966141598198,0.01331019540761128,-0.01862562283955167,0.05910763272869581,-0.0002835818062788068,-0.006932794278171069,-0.033070638245562195,-0.010917752239811054,0.01941663260260135,0.01391523942359388,-0.0049448425980491385,,0.08235544464356655,0.05821240927046108,0.03284707891566348,-0.037033649403792626,0.012685191422414224,-0.005989986227945716
PTMA,-0.04614286684133766,0.007195084939909997,-0.013494569687925957,-0.060038772776079496,0.14780632656755685,-0.106983821100587,-0.024886270400287794,-0.021583030544654408,0.00699566265454982,-0.05334290929947257,-0.11762750232129654,-0.015985576458171093,-0.1703914833209103,-0.07614135258775757,-0.001862459991907078,-0.027982609065749293,-0.07395845498661292,0.039122603717243576
FASLG,,,,,,,,,,,,,,,,,0.039998655521255165,
CEACAM1,,-0.028636610693199626,0.09838841498995775,-0.01976296975033208,,-0.0022768800523706393,0.018943848125812804,,,,-0.022697962710495376,-0.032791500618835935,0.07187902675983324,0.039859659972339784,-0.021412022483136887,-0.022198523621411604,-0.023524018262743383,
PDAP1,-0.012626496284992732,-0.007024278809523552,0.005099205514060621,-0.06227055206765391,0.08661319912531948,0.08999053313855306,0.025575237603264994,0.02287042644328369,0.036082117103717136,0.08628764250291099,-0.0710678675327398,-0.018247391049998053,-0.0006708863716565345,-0.03951131207678982,-0.06297914120720911,0.06892883261965477,0.02085183509297071,-0.058906286038887916
