,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07599232823778809,,,,,-0.023331105088526902,,,,
BMP1,0.08641640515282685,-0.037905288503496226,0.020501005624955458,-0.03788717838331832,0.07457510794422975,-0.043658539243399935,-0.11171655419977462,-0.15620102700323085,-0.45978412284478026,-0.1467101662912965,-0.017078322144133296,-0.12383961733263975,-0.26677885655839584,-0.09774914262733689,-0.18586954421612967,-0.018598131310591993,-0.0022774574031694636,0.05000756885464157
NDP,-0.07003235789515856,-0.024182097953944062,0.03493186757889498,0.013744521287243606,0.04859599752257601,-0.0076728354467807776,0.1196653702099487,0.008736562588143867,-0.09041174159297181,0.04210611746253065,-0.0005076138110390614,-0.12119924504403767,-0.039261715258542676,0.009991338237982485,0.0931510355167966,-0.005260214215656268,-0.014661039454714052,-0.07763723583143713
TNFSF18,-0.0251693114075605,-0.04461966256237161,0.037369228311706665,-0.02716943906704347,,,,-0.0007653658802148651,-0.07527670994729688,-0.07622602289554167,,,,-0.024060956859608944,,0.034074685543130014,-0.07110108649763024,
IL36G,,,,,,,,,,,,,-0.03154809723985633,,,,,
RTN4,-0.024369136650385165,0.30607145152332355,0.030869073745068625,0.055594388847670866,0.005244047841990306,0.07220899629868331,0.257702668419996,0.3539508448347005,0.6189823506838077,0.17267512169251217,0.14076875683917814,0.47368662603547107,0.3788726458757119,0.036850565199803745,0.014282528799154138,0.08133225914783446,0.3275188070360329,0.1137719968366106
HEBP1,0.0876479437960445,-0.07247445818119234,0.02255771724660631,-0.003112589977893383,0.055255384400475394,-0.012568814784160123,-0.025610526934339354,-0.14764342037238715,-0.214859030346482,0.054389423746428064,-0.05300699411268422,-0.212395446475648,-0.02893574963134098,0.06145760646621636,-0.017026131431792896,-0.03793510360399483,-0.007909796492261017,-0.09358054819323075
WNT7B,-0.022173375025305836,0.38220070372908443,0.05433932705732002,-0.0033446390970962806,0.02742218633564193,0.027447715755588485,0.08083801928457063,0.063111777943759,0.39358885809449223,-0.02963714952913359,0.07916491252083432,,0.1368288444035125,-0.04049225707118397,-0.03483556003045741,0.05877438110473153,0.025259479787804722,0.1083335737689163
PTMA,-0.0035709973853041725,0.029102833150578523,0.0654164905098203,0.0028928211048368656,0.16055660106383565,-0.060818847642777625,-0.24819823546312797,-0.4262967944836124,0.1263334291131764,0.10931028827738197,-0.03181510098921894,-0.576760842683971,-0.43248588094168827,-0.02843572497822947,-0.07467526704642848,-0.022118937228905424,0.0007622173025623036,-0.16225659458864597
FASLG,-0.022173381293662153,,,,,,,,,,,,,,,,,
CEACAM1,0.015652395083030225,,0.0035231831338325553,-0.016564396375810544,,0.02815724241958761,-0.012501450483579027,,-0.14315123329587226,-0.006031299261074054,,,,0.029044300022472574,-0.023120867830164576,,,
PDAP1,0.07955676901524099,-0.14747356370446785,0.026139287160918387,0.023271255128249353,0.04524578235349655,0.07160477556373933,-0.1448946987788743,-0.11730567866114489,-0.34502477346087856,0.020568024501991022,-0.08891105030972173,0.027841396035125768,-0.17377421203099994,-0.013771605413851183,-0.0490213842481984,-0.04446300258748531,0.03809696920959888,0.09409603515639815
QDPR,-0.06559217188605028,0.181900034884456,0.08641524942594503,0.001984214161358755,0.08514501990998696,0.02107815606420436,0.30637585307525156,0.10349920670918568,0.19608244110726797,0.20003775628101025,0.07142638025302564,-0.45049450855579715,0.07521110953445946,0.040951998048543534,0.046187438279206856,-0.05127268673280171,0.12789238006881964,0.001400746160528421
POMC,-0.005154220778984146,0.18153045795499137,0.04292637840436675,0.03243900450767115,,0.008971266077752671,0.17012749186869794,-0.001725168882573766,0.019235501507957834,-0.01277345918884064,-0.00511577100945185,-0.10080815322918105,0.0685704087081969,0.00195800784056617,-0.028086028573128134,,0.0403386992125151,0.04767260057810453
CCL18,,-0.014665252010434138,-0.06637520228616671,,,,,,,,,-0.1945330662381576,,,-0.030913288093063852,,,
CCL17,,,,,,-0.021465774531615436,,,,0.011462323529368944,-0.00019656537007323437,,-0.009912031641501938,-0.030760714337491668,,,,
VEGFD,,0.016920795518130072,0.02721967008603475,0.024153513095810156,,0.036021486692536554,0.007859560154013297,,-0.12730753426650662,-0.011412743200316627,-0.0009907340567738042,0.11810926136616151,-0.0034926238670586795,-0.0007349037826981384,,,,
TNFSF13,,,-0.030727469647640015,,,-0.01926000337461709,,-0.005092875357092592,,,,,,-0.0016778303451022956,-0.025963184954095622,,-0.03360883628595944,
WNT5A,-0.011151235930884592,-0.08670267986733458,-0.04143539285213858,-0.05184734567454266,0.12245856021812808,0.11262029017145718,-0.14216059246039212,-0.26044019772018173,-0.39051484147872784,0.0029141526942950582,-0.055848376705365584,0.044874654871089215,-0.06855251102065148,-0.039549737618752086,-0.04780736740270461,-0.048718340611223286,0.0010636894147345532,-0.06229777351334369
CXCL8,,-0.13178370334488634,-0.00953215747914855,-0.03502835803998836,-0.16033007437032448,-0.07074724301394454,-0.14596753807496649,0.043227222043136136,-0.17544375261046727,-0.16102362487510163,-0.04979683586323183,-0.16309822069732544,-0.11517274813566084,0.093616885021588,-0.015908597795667154,0.025243922671331222,-0.12335578063619791,0.008336986581927852
GRN,-0.07994526322666744,-0.06306867665423714,-0.08262271630728292,-0.001332907773749968,0.10948604203384113,-0.010692439353175995,-0.13243620554313637,-0.21370744091252572,-0.48946587977756617,0.04744048657843354,-0.03758973479064103,-0.4298177250066792,0.05801094960330174,-0.05207729558965189,-0.06694191270172752,0.0266803344236019,0.11817147754432138,-0.06432682404756856
MIA,-0.011987894910063563,-0.018130642061035263,0.038592837473038814,0.021002005271610846,-0.04798073276977041,0.028808374676430975,-0.1211127479386211,-0.05411362110053459,-0.1821638812838801,-0.05043133711681145,0.0062822467983889435,,-0.055382035084005576,-0.0010451495282277157,-0.178313221365513,,0.0015260173142396891,
COL4A4,0.04865721245113299,-0.06787065376729753,-0.007719755161770362,0.02732204061012168,0.047274459094533136,0.024833007919071018,-0.1440836008640978,-0.043211519130984845,-0.04063035203495204,0.030515984735656806,0.005504591267059896,,-0.05981725746021644,0.06180261292015867,-0.012217036415311407,,-0.05608396725234018,
