,UKF269,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,-0.019246202969984003,,,0.019948286998341065,,
BMP1,-0.06829420201395894,0.06322446337257562,0.018790223814265126,-0.029288076628841215,-0.08174251812587588,-0.10062557471508128
NDP,0.032398229602693826,-0.017041823481737307,0.025623106515398692,-0.06633976784538052,-0.05778486050663924,0.16511185563043274
TNFSF18,-0.028580033623579974,,,-0.024424273505528792,-0.04657231380164587,
IL36G,,,-0.020265314245846124,,,
RTN4,0.11601618112874901,-0.0849054690939881,-0.0071194202109353885,0.0049505693108953,0.05637951258187227,0.04008421508083432
HEBP1,-0.044306764754208944,0.012343054900440603,-0.016077048658670365,0.020081818516670447,0.04599453570265066,-0.0008409350792437367
WNT7B,0.012157580628319438,,-0.006926834513883941,-0.04097855876827212,-0.04657226550965496,-0.04966485451666838
PTMA,0.07263936657031603,0.09024371422777955,0.039065231619696314,0.03057059757580562,-0.023326093598494625,0.0056503299032725695
CEACAM1,0.00486633071200285,,,0.023653318418810607,,
PDAP1,-0.06335261524046647,-0.02657640702728033,-0.031097308263351144,-0.000690706285985801,-0.07932975582399479,0.08008741681137953
QDPR,0.13865569787328472,0.0982791900533549,0.019134993830008638,0.12667035737583396,0.06476247309741018,0.04852602581749902
POMC,-0.012713122087197232,0.08619716677697657,-0.010163493765502445,0.05504175420616889,,-0.03976583889238173
CCL18,,0.05350560098160332,,,,
CCL17,,,-0.0006110035788495492,-0.031225196262479323,,
VEGFD,-0.03224255264866323,-0.019760456394736288,-0.019840891093697213,0.030742044631739286,,
TNFSF13,,,,-0.0173526460666642,,
WNT5A,-0.04818397483726424,-0.029960877821932293,0.019391151955294946,-0.014774513355313485,-0.05510897424006933,-0.10308833258992296
CXCL8,-0.051440393318313064,0.07735971733723329,0.0453619738379361,-0.044332972080258874,-0.04016845450790493,0.05416111739062428
GRN,-0.04832459112470673,0.1391175490086086,0.0400252664244523,-0.0892469933349316,-0.0035519537971034428,0.021028648988332392
MIA,-0.040213984703060555,,0.02202615548909793,0.02844327314414108,,
COL4A4,-0.018965704474287148,,0.024295808483183384,-0.015013686270268774,,
TAC1,-0.00012516273709230988,-0.06637470516856461,-0.04671335861994011,,-0.0869728645432276,0.16113510362615255
RARRES2,-0.0744797891840961,0.01039448962644906,0.07858721533399687,-0.00352902432468018,0.07265150696535475,-0.005114664225244482
FGF7,0.007971579881499288,-0.00854604344088478,0.0613080730365251,0.07408147316487337,-0.033099987873259906,-0.03853539601826238
HBEGF,-0.03534842249827524,0.05279108119761773,0.04666216625255685,-0.048570930837729134,0.06004736978227938,0.10856977850680223
CSF3,-0.020065350289314873,,,,-0.041857880202182264,
PI3,-0.022593849259726587,,,-0.026530896939432193,,
PCSK1N,-0.041572318788638325,-0.039630094177071314,-0.060990918755660935,0.006268300777042857,-0.04008406514530542,0.03366788802868249
NTS,-0.024662729193939394,0.04856811240302463,,,,
SFRP1,-0.03693942814724912,0.14518171286781392,0.059387869650337176,-0.04083777209365579,0.06918333950410746,0.043201408060017384
MICA,-0.04556402706427475,0.03835759899636129,0.04048413477920204,0.0047052956368167816,-0.053472961044903095,0.008775073845823798
TG,0.038944000012243664,,0.020585964477223818,,,
ADA,-0.06612567650986927,0.03981742152704699,0.034385598215402116,0.05214846134791517,0.0006929139729285077,0.11472366940151629
LAMC3,-0.08750577488936204,0.05689329908615798,0.012667472867795489,-0.045651248473196154,-0.08227798796892859,-0.06800280638275807
NGF,,-0.04090506442275002,,,,
HMGB1,-0.08189712958106606,0.019951821266996402,0.10440539580617063,0.007727651129530648,-0.03746335607310995,-0.07609437779613068
ITGB3BP,-0.05760107086494498,-0.022678458630373495,0.014974505817824339,-0.019418155270412206,-0.052887177571955886,0.05845126606740664
AANAT,-0.018099488967877657,0.04536063630787838,0.042442516107031175,0.03043892971097093,,
RELN,0.012418409607701077,-0.05302931818844075,-0.027492648716952506,0.04966977896733616,0.03095667081803936,0.10099476557880037
IL15,-0.04721084269409422,0.0454171484810057,0.007083405179438659,-0.04809988465727539,0.11574089250334188,
UTS2,0.016039672809592325,,,,,
BSG,-0.02092521314784035,-0.0195889490571868,0.052097196680857494,-0.040219316921605505,-0.07921053903351523,0.09011347748105204
ADAMTS3,-0.10504238770795286,0.050743458530733865,0.023676076601079798,-0.010433701379025637,-0.05089877999151068,
CD34,-0.07786928110517224,-0.006662115971161846,-0.012189682378870798,-0.017002136919667173,-0.017203897520820834,0.06659406785308397
CCL23,-0.02059434534067642,,,,,
PLAT,-0.06079350175851756,0.0726632395978324,0.03607460868495516,-0.08899103918887759,-0.019644693282195733,-0.04141433105010533
LTA,,,0.020523198657372194,,,
CKLF,-0.06051838002450991,0.0628759256115681,0.03332271508272996,0.04185192870428107,0.008900322949034508,-0.021511027084765027
CD24,-0.05070385570583906,0.09101396455872908,0.06240307997302449,0.10480605564046258,0.07728888743112401,0.0010468041268756891
HSP90AA1,0.08377249475264992,-0.07586521956238812,-0.024265543949198654,-0.07617773747805195,0.00040711452628031694,0.08496149508239671
BMP4,-0.00756786385666082,0.007727522430877391,0.06749877696556465,-0.01966829109166656,,
SCGB3A1,,0.010686926285909538,-0.016071268809134807,,,
IGFBP4,-0.08983409054240103,0.13555943233518303,0.0035910404290118007,-0.09575825049666552,-0.01309812321268419,0.010447432512091842
RSPO4,,,0.053120996841352484,,,
LEFTY2,-0.08612514080111858,-0.04090506442275002,0.11459426701366673,-0.03359999439498412,-0.038411259504321206,
ANGPTL2,-0.07529454612980242,0.10420195516353906,0.04493837461371193,0.05116885836182748,0.022496012713837412,-0.024748031331127757
LRIG2,-0.06917866862010864,-0.04216066679703738,0.018174570313173207,-0.003591764357744202,0.07845580566471363,0.004100363925023189
ICOSLG,-0.003428789764818888,0.04597151009748626,0.029987027844360227,-0.02332514906221729,-0.04791454636179928,0.060324139032533246
WIF1,-0.03763035797012248,-0.08660811881400787,-0.050824695984578366,,-0.04504964926724418,-0.0012631400186049345
NPPC,-0.014081779279120247,-0.017721192581920512,-0.04720844450604867,-0.03664344872746162,0.14114749312772604,0.19782934132958266
