,MGH258,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.010486856462054852,,,0.02830078463486698,,
BMP1,0.04144055763720069,0.0737159742428344,0.021733244890902614,0.005285938003582634,-0.0547031564115735,0.07975760313861033,-0.04488172732884234,-0.10733506597446707,0.0887269317233394,0.01834037596792925,-0.08715963239086966
NDP,-0.021840665393512784,-0.024302660849006764,0.010485848575997974,-0.01402249320596526,0.03412091718229326,0.02783187955865145,0.04620294342840838,-0.02221657691370347,0.01701062950734191,-0.0198889073288051,0.06371198722626305
TNFSF18,-0.0342371474125904,0.046702932783769,,0.013883342745459654,,0.07939610291958048,,0.09062350452420259,-0.030748457576563457,0.012971362798069137,
RTN4,0.04125363250285039,-0.040361970233695726,0.007381071463377256,-0.07525936003056531,-0.05705349773079261,-0.062050529912765315,-0.027481495088129918,0.04828445085490011,-0.0005479943384680921,0.020217735662790736,-0.011529191458048834
HEBP1,-0.01236711536667052,-0.0076753438747368275,0.04951507505247238,-0.053801924446827805,0.11119771898253725,0.019942033116300342,0.05615813751682194,0.01659665826771851,0.06745236505802615,0.027033243051061865,0.0014104900740680984
WNT7B,-0.002967720476854588,0.010176386808564733,0.01451401782509273,,-0.04986992783753188,-0.05408838326284125,0.005028625281212058,0.04434688908065307,0.0833242288750426,0.006916160947355592,0.21482091383878144
PTMA,-0.006315859910254182,-0.043029456497563706,-0.16885293520072794,-0.006606605663416635,-0.05579248492900709,0.0192760917044596,-0.04964759253481185,0.045684590491082915,-0.028525459063928303,-0.009738414305815724,-0.10320490682326226
FASLG,-0.0035600690903435425,,,,,,,,0.07452161394925289,,
CEACAM1,-0.02910759363844868,,0.13665922583018303,0.016491583708393,0.07960050736362015,0.017181737716470507,-0.03776593787782511,,0.036734310931012815,,
PDAP1,-0.035157146880428085,-0.023909571968196125,-0.12314623101362955,0.07006278584235102,0.02326550647139301,-0.0018201090144204573,-0.020016632705215417,-0.03632768906275272,0.0032523670121136117,0.056726880505521056,0.05268452029742849
QDPR,0.08137930917084811,-0.012702128805513649,-0.07581091466414139,-0.08547715125876265,-0.03514095635851914,0.007650310991484812,0.08523901591896178,0.015123501935164523,0.10070313867078642,0.07410227936523824,0.044448527803065324
POMC,-0.010177958496157857,0.011132592225599302,0.02928504623784743,-0.10851999254171926,-0.008380905512069544,0.022420994177884488,0.03145658476409135,,-0.001552860236886985,0.09521660116415745,-0.1288715382759496
CCL18,,,0.008336333011237899,,-0.05024454732906063,,0.018014056216979244,,,,
