,UKF248,UKF313,ZH1007inf,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.10338047513005764
BMP1,0.05891036276893419,0.07349838499558162,0.09566505726855315,0.015723501841939578,0.09032648166307831,0.03599596197476154
NDP,0.034716174055048864,0.04767282008137864,-0.0004268751998279721,-0.07150359256129928,-0.005577243361043062,0.08438570111994548
TNFSF18,0.0008596202699514683,,0.10770139486216077,,,0.01644664392799268
RTN4,0.03658554882740474,-0.049885252053584704,0.05111873324604604,-0.0754719655742468,-0.07174830497960037,-0.048967031171124296
HEBP1,0.03729541224704168,0.004290967248495625,-0.030931096664530082,0.07167950958804747,0.06916856571990672,0.08931672888311254
WNT7B,-0.022048332326161928,0.028077678574597663,-0.027115256616467864,-0.0334858786319272,-0.0241594501247728,0.049672964639842734
PTMA,0.0361107651896489,0.0985395786423699,0.054722823630164,0.04153470997574208,0.03693796703737816,-0.002014963100450425
FASLG,,,,,,-0.017342498656336105
CEACAM1,-0.020060546691089295,,,0.09736700891010248,-0.016034978415617292,0.010342697471685506
PDAP1,-0.0002599664720295461,0.038964265245818745,0.008335206877515499,0.030173862092338542,-0.06743232616245867,0.03282151108921953
QDPR,0.010900033880045719,0.07609648762501235,-0.06994596203684761,0.054159827335351636,-0.025754751497163306,-0.008753247670569436
POMC,-0.02611434924552439,-0.007532583382767408,0.14279129562127,0.1447012523988805,0.06187003731475429,0.014494151169061737
CCL18,-0.025033666869240866,0.04955808219093574,,-0.03433750440404625,0.00975009694123702,
CCL17,,,,-0.013312000374670204,,-0.015719027129128448
VEGFD,0.030502657079834836,-0.014013042472805222,,,,
TNFSF13,-0.018891214344030287,,,-0.025543729225859808,0.04368701403661525,0.006905027700440329
WNT5A,0.001982996136974652,0.004519466791589619,-0.04164335754349968,0.062361518602330274,-0.018881087541586617,-0.028120649341116712
CXCL8,0.011940569759708674,0.07011711622979398,,-0.06525503539989677,-0.0032035901616809296,0.016429967308663883
GRN,0.1379790071111041,0.0055102988554652935,0.03416925466627242,0.05037171379691469,0.11799885369106533,0.04372448330646942
MIA,-0.011021966604299207,0.015866666801258218,0.09643536298961897,0.03498940286554582,0.009961314180044919,0.039341613506879654
COL4A4,0.051851945057055496,,,0.016090615861473662,-0.009389167830263525,0.018391887606750236
TAC1,0.005408147344484795,,,,0.06773589452243778,-0.020664259539193694
RARRES2,-0.017697912767752472,-0.03918986189954619,-0.10680427265314174,-0.06421331548548445,-0.017413857834656203,0.009085407957094891
FGF7,,-0.012065694003463237,0.06404089109931552,-0.011541511321715847,-0.0352174622952418,0.008062263219553185
HBEGF,0.07546482764137008,0.10214211862761749,0.060302270784642856,0.02025387595918356,0.031576952350201325,0.007098159371771282
CSF3,,0.07401997788684463,,-0.025382818876667504,-0.022988331915446483,-0.01654971062082412
PI3,-0.026336473009750713,,,-0.07259223162964491,-0.01487930069323095,-0.035957023076698895
PCSK1N,0.042850241831671,0.04283899241488605,-0.038864843305490185,-0.0048639006470731815,0.009174704330842878,0.016722958800583575
NTS,,,,-0.031055511145936448,0.07027751638493192,-0.024507864690751224
SFRP1,-0.040356955903372106,0.07963931518646897,-0.007803304687142835,-0.04183686028441558,0.00018817372670591,-0.02393836400458891
CXCL13,,0.03603957843720419,,-0.00012023876433778624,0.04750431449100761,
MICA,0.011998997932842646,-0.032432362709941584,0.12461657851065272,0.08480894251406411,0.02643847561635879,0.0719903210999903
TG,-0.03942195214933151,0.02115249625197365,0.04056979377266275,0.03166364043311483,0.06125888914012881,0.20570595933975452
ADA,0.1268596093546302,0.09265018968635179,0.07026060939014754,0.1210100508350659,0.02438953594442752,0.013532853863170278
LAMC3,0.16682210559771363,0.14667300058751342,0.09588151129065929,0.07472383030384183,0.1828997297333268,0.034362428362365464
CCL7,-0.01592352691706967,,,-0.019951620137266056,,-0.017342492489550585
NGF,0.08002713279048565,0.05174360730702425,,-0.023042524010583345,0.05607500847592253,-0.025989138153533844
TNFSF15,,-0.03423517640999292,0.033161664177295075,-0.01945058926011892,-0.014275359458528727,0.05120610511158451
HMGB1,0.03064263185032002,0.057736758946084314,-0.011317439354358952,-0.00032411443651051265,0.00739110072485379,-0.010761520156961678
ITGB3BP,0.02895736926558016,0.03069458598038632,-0.0330578812300093,-0.04856575683907741,-0.015546597355311468,0.03172858032074927
