,UKF243,UKF259,UKF260,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,-0.016603069796319224,,
BMP1,-0.09175501622149568,-0.025055903905974213,-0.02528256980805449,-0.014507550334898735,0.041779940304092184,0.03781125702902907,0.03090502515079662,-0.02319362027724273,0.012862805609062763,-0.0077750030998561094,0.0548283718147564,-0.03335918534894156
NDP,-0.006339102168305949,-0.059092101759065194,0.058527301978115204,-0.025081533763429142,-0.026212387720775863,-0.02781210130484439,-0.07597892123511762,0.057073025272481696,0.03575000667391312,0.02431394650094969,-0.058786871430331504,0.07614428007461738
TNFSF18,-0.021812096044762048,,,,-0.024507793190574216,-0.04416008483778755,,,,-0.01712245281955207,,-0.026348557181531264
RTN4,0.015330554116822782,-0.00718873821367787,0.013288296547220283,0.02273422023793245,-0.05337136132321862,0.04875961621442271,-0.0755307832649357,0.03214707522571357,0.026494626910944757,0.03693259663725511,-0.01933769509042763,-0.049402631075546155
HEBP1,-0.025563615360602854,-0.07339907200337431,0.03274736725208149,0.0021206094333166147,-0.016003506749859252,0.03363083699848165,-0.019548105816186257,0.04283455199139001,-0.01784180541083829,-0.049072543909656846,0.012226505082342267,0.03623291786343004
WNT7B,-0.050909674635395544,-0.022753991070447847,-0.07380289064918506,,-0.026980688209622995,,-0.013164530954170858,-0.04136336734626816,0.009761799408864383,0.009059254071834675,-0.020366673885378588,-0.014761580036613875
PTMA,-0.05038320976329005,-0.008998686307941973,0.02122037131992984,-0.01477074715235359,0.013085551127042874,0.003971191993947707,-0.04139079301567893,0.0024505185324970426,0.0031568889408715582,-0.01361066887203296,-0.016708878662963358,-0.04567220224284097
CEACAM1,,0.006935764786936611,-0.014562083584767524,,,-0.031052034242038007,-0.030154043751337994,-0.023177934842611447,0.0902242032157303,0.05937657825792371,0.04071322358195919,
PDAP1,-0.015297977849403717,0.00813208170611581,0.0036916840994232836,0.045936814063492516,-0.04701688375511752,-0.07557207649009573,0.05997780832135073,0.0009612832245937003,-0.042335737978013245,0.014070858291915771,-0.011250240883166649,-0.010027225187567714
QDPR,0.05907778696024639,-0.04624841692512479,-0.061872219714251935,-0.03649948864014475,0.0658698811385542,0.06865396563662371,-0.05827965842709342,0.09827759018622101,-0.0076122118297286346,0.011032275753054214,0.010643819177150989,-0.00171994308214793
POMC,-0.041184877480944126,-0.024467727927976614,-0.029302355699543165,-0.03513127446541278,-0.05476177546528884,-0.081234113602115,-0.019870439989397918,-0.05565180824618465,-0.024877714928042097,-0.021050745580842883,0.08147089585536596,0.04805894242877093
CCL18,-0.029251814278753,,,-0.03879860985946468,,,-0.021379712799736193,-0.042415336447658956,-0.03760517301942011,,-0.046551375588747355,
CCL17,,-0.015228930243627332,,,,,,-0.01644362292725221,-0.022230507854607503,-0.021890188449803,,
VEGFD,-0.03295824483281756,-3.2951345012676865e-05,-0.013932177095548493,-0.02241637428688293,,-0.04221456008311901,,,-0.015399751345296819,0.019447871122008797,,
