,UKF243,UKF260,UKF313,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.05060505993247668,
BMP1,0.1017675255986864,0.02170341183738666,0.08821246377868597,0.09794986183038214,0.08315095238622018,0.05297951793000091,0.2375881500482357,0.2016626912013706
NDP,0.07382348590090138,0.042132096167002225,0.10373325630780589,0.07631626092358267,-0.029374343263372103,-0.02766546379416549,0.02074631554228174,0.02528867034155639
TNFSF18,0.1994587032859387,,,,,,0.051685905030848286,0.07018922443065151
RTN4,-0.11735744312225965,0.0004903667056303485,-0.05780148078767999,0.12895709949387776,-0.00938034997289177,0.00719396660616625,-0.03643348309077293,-0.1963099919724966
HEBP1,0.0022911744325522514,0.028389758409725466,0.006842938681214813,0.023939272684798025,0.00044146256189386796,-0.05849803780888407,0.020181332905036712,0.03352159004258988
WNT7B,-0.06525376132696774,-0.0119984914279765,0.06754277693996336,-0.06967530794224097,0.019344835292445458,0.0011233063774619791,0.08647042011104063,0.0012402367692692176
PTMA,-0.053664299110591326,0.029026500991524717,0.14999376841751424,0.05513478346421078,-0.00930786423336373,-0.02153681571072257,0.14133561826893729,0.1025599704557171
FASLG,,,,,,,-0.008761848367298177,
CEACAM1,,0.01718338249436281,,-0.008789101526318585,-0.018763783347640936,-0.012712568843214147,0.022367129703386827,
PDAP1,0.047857211910809855,0.026095027676057692,0.12068937396899083,0.055470606473893326,0.0598982437498075,0.022713745031706277,-0.06709946330719678,-0.02883024503318827
QDPR,0.08684303547834306,-0.0017416945382555393,0.030942027209594936,-0.00420580265056505,-0.04333114226180334,-0.027387220859333743,-0.0006438798911075809,-0.1747297444293905
POMC,-0.008030548065897463,-0.030977710181167312,-0.024951085934456024,-0.010398847800546797,0.04001964206095465,0.014753132383958733,0.00882687575459484,0.03530396645450576
CCL18,0.03805023920108923,,0.07292173004562326,-0.04498792742426133,0.017226636998780943,-0.03487647290118774,,
CCL17,,,,,-0.013311996092508565,,-0.01325032898821951,
VEGFD,0.02639681274437645,0.05735313245679779,0.037418772977287004,-0.050683929055413954,,,,
TNFSF13,,,,,-0.025543721009034813,0.03752303041368006,0.12168027069802372,0.009494667697666038
