,UKF260,ZH1007nec,ZH881T1
BMP1,0.018840767831217894,0.00902245517095359,0.05373649400364444
NDP,-0.010272339035250358,-0.021710240673090065,-0.007651098170484022
RTN4,-0.016432951955100264,0.136426703173654,-0.030428014607445354
HEBP1,-0.03700119269920942,0.09618435114761727,0.03560362347978342
WNT7B,-0.01873685814029907,0.009647165642511796,-0.024656521021433182
PTMA,0.014865482234480467,0.06654269964183798,0.05070194612463918
CEACAM1,0.029121804869418448,-0.04831012061186774,-0.016364891598981003
PDAP1,0.007815298253353257,-0.1266359314769189,-0.025731802853815926
QDPR,-0.030268323322020542,-0.07447185154298766,0.004132245062846987
POMC,-0.042931799737859065,-0.0002901660092090939,0.0022042092928464207
CCL18,,0.07058534249108012,0.011996164694002092
VEGFD,-0.02041246932879871,0.07680156354176544,
TNFSF13,,,0.0017633483782615973
WNT5A,-0.05478514274608259,-0.025645116523499042,0.058868354347834564
CXCL8,0.05783271115288357,0.11478328483858596,-0.011286080341720468
GRN,0.04012527304610571,0.061952242372731565,0.07646892360632582
MIA,0.021177546498862197,0.08076225789736842,0.061110226559835994
COL4A4,-0.008051777164161063,,-0.009910966240014259
TAC1,-0.039263146612401476,,-0.028234100079348387
RARRES2,0.028276833909167316,-0.04516197425754765,0.05707103535790612
FGF7,-0.00023585176173230432,0.004566034541381711,0.07954517488278562
HBEGF,0.017677350949726077,0.04943805053697754,0.027840272348143978
CSF3,0.09674401156506997,,0.008630121328099318
PI3,0.08358928815064916,-0.010351322570671976,0.03069314409490002
PCSK1N,-0.08072236159913347,0.05508706038130988,0.0030970338059553475
NTS,0.06562206828177922,,-0.03149524333542083
SFRP1,0.03909076385086262,-0.026691445180747134,0.009497722983035589
CXCL13,0.0434468051679322,,0.04510888075764774
MICA,0.04824280923763042,0.013653627059999816,0.07533092433297223
TG,0.04683688532549699,-0.04675727926670603,-0.01930901661685601
ADA,-0.007397379395699751,0.06972054775146887,0.03856617763933686
LAMC3,-0.012357819052972095,0.09155167750419274,0.027408007875415023
CCL7,0.04008088833062824,,
NGF,0.07301840631122833,,0.06852056529095807
TNFSF15,-0.02265384840430281,,0.08893937741365374
HMGB1,0.02429261921376183,0.0642946347968087,0.018464400620156782
ITGB3BP,-0.03599043304259686,-0.019880784749891085,-0.009400155857999162
AANAT,-0.02041247224279374,-0.056412981103358906,
RELN,0.006522576620213284,,-0.017597856703453173
IL15,-0.0033471928187375367,-0.06502182383532219,0.09795655060411772
UTS2,,0.006037164311814753,
BSG,0.015365332916065514,0.007821913322322783,0.033326618536450525
ADAMTS3,-0.019233347751304104,-0.0016999893209918048,0.006685778324461125
CD34,-0.08408489787532654,0.07323134223947858,0.07493477056600979
PLAT,-0.0276694544975814,-0.04429015732744833,0.026359769639691385
NTF3,,,0.024218631241800823
CKLF,0.03233297641526237,-0.019364951771489655,-0.03289072681488693
CD24,-0.027497514342347925,-0.10299813842029518,-0.06230822876554823
HSP90AA1,0.00841976818407976,0.09628174754775451,-0.04687306228847303
