,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.005578630393280544,,,,,,,,,-0.023947198413581477,,
BMP1,-0.017366572596114366,-0.019020568343495532,-0.0031508369125535507,-0.03882896129289815,-0.015751604321244745,0.015136759005105355,0.07630144962593438,0.05132260869959304,0.04968409219712247,-0.10631215382595316,0.16291489291873745,0.04154433839886267,0.017718378421532628,-0.04205190828623503,0.0683116302402781,-0.010577016426038172,0.08294642940273546,0.05238346192503743
NDP,-0.0383580346117955,0.0027158931564407363,-0.020800659422775827,-0.014965532614353062,0.002950860545280363,-0.08906713845713068,0.024954874268305158,-0.019744639794025194,0.0193860028837424,0.015278327835362813,0.051028623200753166,-0.00026426480684104775,-0.016430958048121797,0.03905583278439392,-0.04152379573486287,-0.0036174370094117733,-0.03859725534608112,-0.05107340074976497
TNFSF18,-0.028284485584097473,-0.028170558779130623,0.03581344782943714,,,,0.0366957614661912,0.004978918459656025,-0.02253433553231828,,,,,,-0.04507248181091748,-0.05324510874412978,0.10192941090733729,
RTN4,-0.03105985117939795,0.0927102022584297,0.027641698372208576,0.000663194868198299,-0.046429062597726264,-0.05594010369703317,-0.07619313752684737,-0.015110010002428172,0.009551557988616113,0.07470033169654576,0.01239318948934948,0.019034575795901145,-0.06619052697608621,0.033572363502512026,0.08392652784948346,0.06502837009850311,-0.14256073250723175,0.0426823376176344
HEBP1,0.10845653323170776,0.07003371756392186,0.02310439712963447,0.030107607440599652,0.027564984136908718,0.05811612127442734,-0.01637598529416084,0.04821508514320552,0.05001473230922706,0.07359026878819293,0.08195118308900873,0.03054940608621782,0.08321447429333903,0.019620953499271728,-0.03548651532828976,0.035079085895434715,0.018930747412935496,-0.04265876843477227
WNT7B,0.05153003680028959,0.04086592544638666,-0.006829322646774276,-0.01848971072462435,-0.019658009461555177,-0.043515896563531276,-0.0596733861212083,-0.05583784364575378,-0.02480810394802679,0.126740712345192,0.00468758521011909,0.02164252932429789,0.10238339054392934,-0.02206736303427334,0.05300224507999263,0.033463872243023815,0.04002105226974401,-0.028768937353717425
PTMA,-0.053639056375967414,-0.06573094085859636,-0.12061857836960808,0.029150148997392943,0.026202293128969083,-0.002565304343922392,-0.11435127423375537,0.010498211188306784,0.013933394830652899,-0.031885791886305644,0.017711685550086897,0.004678370514740277,0.004239012174592295,-0.03605843139314011,0.04854481799623272,-0.045831813080168544,0.07271174310895302,0.08877051243126188
FASLG,-0.024917752949049417,,,,,,,,,,,,,,,0.03727792117017528,,
CEACAM1,0.006003550588384083,,-0.030570825043341944,,-0.04302712897413799,-0.002135742304190845,0.060901681374237175,-0.016761230690557623,,-0.014879327448038495,0.1395846954635627,-0.030265282014701415,0.033774879663651544,-0.014646429786964843,,-0.026435206340156437,,
PDAP1,0.012901810957248412,-0.049350755284919424,-0.08432124280500645,0.06814034653273711,0.019993345126186522,0.0513073659759901,0.05441586289535568,0.02943686553494636,-0.012234262420930479,-0.09510190644033999,0.023797259925226553,0.005389315107515405,-0.11279523737870281,0.013829954161943799,0.038227411844466014,0.009473039400542185,-0.015292831965296017,-0.021854701278485086
QDPR,-0.03550121483462891,0.018725513264594502,-0.035223051263235675,-0.024332572226037855,-0.057856024955685384,-0.11355335419605637,-0.06586066088966132,0.029572194692803075,0.01946435911862507,-0.023614084061321053,-0.0038947130542586936,-0.02239373890419333,0.003962027420076166,0.007379548374777026,0.05394153873356491,0.06496125238000887,-0.08343899150546935,0.157814946653389
POMC,-0.013054067309236467,0.02530433512777382,0.017588109729008095,,0.09721564706841367,-0.031614183664187896,0.03780675792916174,-0.027461749302805715,-0.023552722315632515,0.15411806898847524,-0.02115629946431993,-0.022234753766132535,0.008445850763736149,-0.023959635093975876,,0.0026488654056179704,0.15007277845734013,0.04426285149967364
CCL18,,0.023549829467875868,0.05478269430482535,,,,,,,-0.010910560660974568,0.014794827975289596,-0.04719780533135701,0.07016058547929763,0.012206480643763541,,,,
CCL17,,,,,-0.0034052926120338,,,-0.03800586937899183,,,,-0.02147175270860438,0.026128351028810108,,,0.12156523852711408,,
VEGFD,,-0.015118992500558252,0.03447492508054155,,0.03538245933605,0.04426703679505984,-0.015314430643601865,0.029328992025220463,,0.0756192245312708,,,0.06601956976354084,,,,,
