,MGH258,UKF243,UKF251,UKF259,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf
BMP1,0.023371003831206896,-0.006099269554463743,-0.027525678927797774,-0.02560620743128826,-0.017577853938050877,0.03324469999822039,0.016954412723233708,0.09476693465570117,0.07550682488035966
NDP,-0.042612099698909146,0.0005616971872626252,0.07084562293803985,0.06020291571665424,-0.020478509331367842,0.06224176122529945,0.013739421298154454,-0.05754603916433668,-0.015989850244755827
TNFSF18,-0.003410120456291689,-0.02795779326653159,0.00938696209652269,,-0.010647508685444212,,,0.0002947872956088372,
IL36G,,,,,,,-0.013752909901546135,,
RTN4,0.03408950287982785,0.05202691743625751,-0.023666606862935063,0.03377120708855556,-0.012546839009949122,0.027945011876675845,-0.01845438229339349,-0.014348888718892523,-0.0513013324937153
HEBP1,0.05285315104692331,0.09341947855998423,-0.006529023338147482,0.0665883692735189,-0.007635076582790501,0.022039288575890416,-0.016802071939037405,-0.029486264417994092,0.017732462325550636
WNT7B,0.036045611671304136,-0.06525380026760756,0.009323806954106681,0.13666515801550022,0.026830297926465373,,0.07374165804589523,,0.03671312419851773
PTMA,0.03733836841348592,0.06217904573256108,0.0799724376664242,0.05409076864522677,-0.0008414127982718998,0.0006735559397717918,-0.017882200432209432,-0.030129865868982825,-0.0062159143939163435
FASLG,-0.034398238720237916,,,,,,,,
CEACAM1,0.04058445529951667,,-0.02451687569757018,-0.00777635788713557,-0.016745994563221154,,,0.06485793827279832,-0.03486414360315695
PDAP1,-0.0206392034709282,-0.013703435274652724,0.09435708833262658,0.013624767421291997,-0.05611775816583539,0.015544322518740527,0.07317888332476369,-0.03347453364969282,-0.03225108846593259
QDPR,0.05386954817966391,-0.06560498118881182,-0.010528241833775367,-0.011265422049950248,-0.03323085925161255,0.043956818993300506,-0.006213021951490966,-0.08703723349264046,-0.008714448059132237
POMC,0.0029477272254968363,-0.05278897947069027,0.01758678123387723,-0.005723876136644836,0.009538264288036398,-0.0545319662199278,0.03282299522702971,0.054491042021280536,0.019316778813361746
CCL18,,0.01071230096740209,,,,0.04532382088140585,,,0.0940465839532253
CCL17,,,,-0.017096751761427692,-0.013279516337015448,,-0.012563673640042117,,
VEGFD,,0.018319922682819546,-0.015366533708581754,-0.019047669451748437,-0.014148201460144862,-0.022142149412414096,-0.013464878178927739,-0.018594969176617317,
TNFSF13,,,,-0.011792956728429746,,,,,
WNT5A,-0.010029819816329274,0.032470999754157154,0.018153201810384274,-0.013908608575520004,-0.002012690518258504,0.069405460263716,0.042236022702145326,-0.03009981891326452,-0.003709805816400685
CXCL8,,0.0754149465203118,0.07422881087863253,0.031102008825061825,-0.045163091505542555,0.03340632604510825,0.05333816760857898,0.16680036488286218,0.009443389347915632
GRN,0.12075725294070029,0.0375055878835954,0.039949111971591574,-0.045029091773943555,0.01652994876938697,-0.02103502263270641,0.008905255610760299,0.1286824056384137,0.02506271003447797
