,UKF248,UKF259,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,0.02343672770740537,,,,,-0.020915617667524505,,-0.013929163483335984
BMP1,-0.003049978811992382,-0.05123872964877607,0.09879575615335166,0.019700757141538548,0.0403032916191611,-0.008498964119116516,-0.02530244155721814,0.04622955960767699,-0.018363668507893217,0.006463606937057638
NDP,0.040050853427041996,0.018816720637036214,0.03812034295824306,0.014536279556355147,0.03195701908374957,0.045164756688543535,0.0047654674382723835,0.05267190129157062,-0.0171485222666999,0.017400586964073476
TNFSF18,-0.028201997404065038,,0.019489601424972598,-0.016905245152513525,,,,0.024347807706592974,,-0.005834839111510815
IL36G,,,,,-0.01596860017706421,,,,,
RTN4,-0.03507625420225033,0.030568114607698513,-0.1990547223519165,0.0006294878823275617,-0.0021464478100124227,-0.013262292637294672,-0.032414626156517586,-0.027111997240969566,0.08004565908623135,0.027131527300808995
HEBP1,-0.008115541065717751,-0.027542844178298102,0.0976506194200688,0.028350413195347667,-0.03446677891514598,0.03525942286086447,0.0014248606803549688,0.051285694781899,0.06155180660143105,0.07129807409533037
WNT7B,-0.004046832450942336,-0.01817426029908826,-0.09453370126695229,-0.013652391866902373,-0.01755133183842579,0.027679987569100676,0.11349748147421379,-0.010390069249207741,0.07412269298697163,-0.029730625307823264
PTMA,-0.02766515732120036,0.03346464631006043,-0.058718294372843226,-0.008533378620545599,0.11217211645685098,-0.021686092753983543,0.035959150357399196,-0.08610180938810677,0.01782860752335301,-0.006417827665757419
FASLG,,,,,,,,,,-0.012080758737094511
CEACAM1,0.0009314347217479852,0.0034121171293894892,-0.014401703198633183,-0.026587923220097526,,-0.03778933616413127,-0.00025146827601792225,0.016905262613261775,0.0034908830371741958,-0.0168086014421777
PDAP1,-0.01052027437405944,-0.03568132413027174,0.11855884321505583,-0.027623746523786647,0.026726144783513664,0.01665195595555218,-0.001355464141244386,0.04216856181678052,0.03707949842848925,0.022804221174934917
QDPR,0.01890127802417694,-0.018668549057778594,-0.15762133191912445,-0.03067450703401085,-0.005072147983325699,0.04166028781607777,-0.017245112561140568,-0.07145332874995897,-0.050847909988672065,-0.013987947742909882
POMC,0.0017344228653341355,-0.010203705610232065,0.002245336250486905,-0.019615509639680107,-0.02386803245211307,-0.020898083892956998,0.018073714476767606,0.06920208528147209,-0.007338442928419034,-0.020586343551436456
CCL18,-0.022399652499213666,,,,,-0.005754766512602054,-0.004293806570821314,,-0.04456197119826035,
CCL17,,-0.003785245378088083,,-0.021084132055318325,-0.014587769610153472,-0.026809704953167344,-0.0295003828482169,-0.009762148837319969,,-0.010949850888958538
VEGFD,-0.022399659612152466,0.020420246522706815,0.05351751762511348,-0.022463359384516927,0.027536104342372768,,-0.020435815655891157,0.04342989771243676,,
TNFSF13,-0.01690350194419085,-0.01308299413884394,,,,0.025691929476447006,-0.005634801617679658,0.03911035110746258,-0.029765561079153267,-0.017841868076639757
WNT5A,-0.03969723521438227,0.026154455021376175,0.1346949488628482,0.05632444571695695,0.014941991958869342,0.06351059638307673,0.011718093474644439,0.03272618831287774,0.020087809038665496,0.0694025548656566
CXCL8,0.030899266604345325,-0.011017444908312217,0.02059842037419527,0.020900790213956407,0.047606791150091726,0.0008207459348379696,-0.05253029459644515,0.04155114822217541,-0.056718790206675467,0.030478425629178373
GRN,0.040629742015143876,-0.07811640092229656,0.1877778767603901,0.08100612092446405,-0.01363067780542143,0.006713052987700742,-0.022447051499457204,0.10507733028023503,-0.0357581316149705,-0.014569869993977469
MIA,-0.04462785015665479,0.00494619957469048,0.05767349929413151,0.0009834121054517711,-0.021411704790005124,0.013995984149814936,0.006703127848768873,0.05949034298554025,-0.07419978676852908,-0.006713743560035686
COL4A4,-0.014368713306852786,0.058270438285397436,-0.024318581186663312,-0.0220124861807878,0.01242273266506891,-0.037520865793646156,0.017786987292174705,-0.042478650810961624,0.06390248558509937,0.11513861700747038
TAC1,-0.011683732029360721,0.0669973691114267,-0.09843884832320496,0.00514663156713159,-0.036809049081611936,,,,-0.04573209049814254,-0.01439469242123865
RARRES2,-0.03263389466486353,0.07318043240839124,0.15512403254052146,-0.025564446877142186,0.05645293175746936,0.01663944551041224,-0.010145004323180192,0.024932516992519672,-0.08866919581405115,0.011530280023878467
FGF7,,0.003413538311599708,0.02316188223448438,0.011887259179112116,0.03685567302845474,-0.032880613750995505,0.0511239771138147,0.04549934942138689,0.020141128480939408,0.019555004780567455
EFNA2,,,,,,,-0.019422875153256223,,,
HBEGF,-0.029479974418811696,0.007941908510521976,0.06583385322629935,-0.010053028195846945,0.012810615083792172,-0.04610958109875533,0.007848856104488818,0.020303552293865716,-0.04602986984410697,-0.018153098521534197
CSF3,,-0.022606979163002576,-0.02572859082092613,,,-0.011823077415148042,-0.042912933704214,,-0.038001375504388556,-0.011528503772197843
PI3,-0.023565378837815662,-0.022670671570192365,-0.0020842982935364088,,,0.009263175025864122,-0.0035827227029156397,0.060440604723855304,-0.11507193265423964,-0.02504760872707549
PCSK1N,-0.01295745348282595,-0.020282654265325877,-0.040647145691030576,-0.01711035642625015,-0.019180773723573567,-0.028766480604137896,-0.044789173816221724,0.060718705956343634,0.04122099250441747,-0.024920907383712394
NTS,,,0.06753268702139904,0.008510526504117301,,-0.03072333353033558,-0.023663087622953043,,0.08995746857839439,-0.01707214204581484
SFRP1,0.021730531365920465,-0.016549417914973948,0.022812460368150666,-0.01991755637833079,-0.033411061377574214,0.023472898384960663,-0.02342359432719051,0.08213368637893324,0.0019847564424549705,-0.016675428715949705
CXCL13,,,,,,-0.05236846073520488,-0.04990290314875595,,0.01070353532057536,
MICA,0.013745052847122333,0.013564974469734325,0.0787535475178682,0.05392765052603445,0.0008073093437674261,-0.040284591817280294,0.05365161432001768,0.10478787463269405,0.051587860173131654,0.03796009487045655
TG,0.09633867796743946,-0.017859443924765513,0.06912963322612879,-0.021241465148522216,0.038418865086537086,0.09257951742391413,-0.02914367917183582,,0.005388781063986819,-0.02248278133002734
ADA,-0.023626359134095658,0.021369956064214518,0.08939379052689651,0.050332059629665894,0.037919907053442524,0.08944243801947055,0.04146681133246943,0.011654795626385519,-0.02534639449152894,-0.0061135731673255195
LAMC3,0.026401216559125487,-0.05954667850026232,0.09677643841601073,-0.032117616695877774,-0.021104574145257755,-0.00360534399078926,0.0641197241966458,0.025534203813600786,0.050656794501826446,0.004669574077184778
CCL7,0.08329805134282092,-0.012912349423048518,,,,-0.007318958618519225,,,,-0.012080754441320904
NGF,-0.024463230810800166,-0.029585490497091218,,,,0.015204763906784458,-0.01916179903443328,,-0.033455882757370235,0.07681482129683191
TNFSF15,,-0.014378532617484948,,,,-0.002094193636487781,,,-0.02359820178510498,-0.03191944481309456
HMGB1,-0.02778227230831337,0.06421519205982333,0.16107040908631415,0.02933294650757947,-0.004071786208384386,0.025890719429840642,0.06884226791284717,-0.07416012769838833,0.011966040371764977,0.006840999973153481
ITGB3BP,0.040015319251491765,0.03238486767365963,0.14442847427241776,-0.013932876594605436,0.04079921046546794,0.07390065574783479,0.0366224903220827,0.08566864335148659,0.005667844733952261,0.015082470529956447
