,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.019281853449463586,,,,,,,,,0.03480074617592239
BMP1,0.04289268229894583,0.06440934940616999,0.06058865137739096,0.04237718858679022,0.09920501409047705,0.029806821608855297,0.13222735136703553,0.04054849728279337,-0.03823636505312306,-0.0054515865182866545,-0.022141807137488454,0.023099571541719092,-0.02658062518405705,0.018969756643054,-0.03748623760853056,0.02858968004523472
NDP,0.010338721386474842,0.04215498379984982,-0.013330165310426297,0.01144215369925109,-0.023988986712969212,0.024437568658896625,0.01198167306800026,0.027625135415186988,0.0247636542205763,0.0033003372376651623,-0.08380296059175216,-0.013919657270356477,0.045849999276382156,-0.031572843186086386,0.03806149414206434,0.09020780864301836
TNFSF18,-0.023591418436680354,-0.024830504610871256,0.0782903234611515,,,-0.011833029736928433,0.10411320969896007,-0.004410381186280743,,,0.07744979893346575,,,,,0.0992989752109206
IL36G,,,,,,,,,,-0.01631018646863789,,,,,,
RTN4,0.008854944842424824,-0.002854448788397207,-0.012834360581529081,-0.011648513545531943,-0.07715521002489747,0.014231411289525842,-0.13600706270448,-0.034175837749299935,0.003437685067687265,-0.018116707005739925,0.0016806484833806323,0.05318981670626103,0.018090251238696255,-0.1438211618884246,-0.045340521211132113,-0.0038760790992972164
HEBP1,-0.04537750221041752,0.056927141807193174,0.01805120744450495,0.02021565776417372,-0.019368513005492954,-0.00010032381142515787,0.061719111861977496,-0.036303580717923487,0.04281563344931226,0.06878559156284271,0.03361521192044932,-0.02102267330738034,0.04189750642499071,0.04497409553986978,-0.015031736244059669,-0.03497290904994611
WNT7B,0.13596066876089072,-0.0068274834496813465,0.034548763366744756,-0.03271438370235497,0.011806719567464265,0.01870907650169589,-0.05105878709220469,0.06453982406182732,-0.02237097614715976,0.03883342937030649,,-0.02999193098558492,-0.04519255292218283,0.15461903550069933,0.056994328886607847,0.038028205039893605
PTMA,0.08086333191566392,0.04274996474981713,-0.013561606158772777,-0.015955438566381135,0.026760273817541952,-0.027449284862162922,-0.06200902749972456,0.017403639731183737,0.05954510032370183,-0.022328751134341657,0.04442576478836443,-0.003335848036073032,0.03698236731679675,0.0021918987905812535,-0.059570435101957676,-0.013846232582846
FASLG,-0.02078330661432845,,,,,,,,,,,,,,,0.04799187526838193
