,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.008620702887333118,,,,,,,,,,-0.029258468257584262,,,,
BMP1,-0.0035957136244791337,-0.0029554622841638854,-0.004749227938493319,0.00046190019796077197,-0.018418536052053305,0.004577403108810906,0.17250512079250288,-0.2752780813915891,0.02142755170998383,0.020624322004095457,0.008155617552505347,-0.029019363671220592,-0.018163633973388306,-0.013574654090756174,0.08622899335407508,0.09751454800240947,0.044353889930950775,0.10336305735815579,-0.01832714156144802,-0.051541715019258826,-0.03680184766461751,-0.0009292120659376809
NDP,0.008142162977921492,0.009356527084826238,0.007957475902426889,0.06655826821492959,0.04455310844428344,0.0730227645346516,-0.03871122602999045,-0.08101947603202783,-0.03144450763076393,-0.03450501878048617,-0.024572901871287862,0.02287784598928202,0.0795220133317161,-0.0006085327112054839,0.005507095332367769,0.06348517856867307,0.07134529850001871,0.021284415926003317,-0.01989376355506995,0.016933505940521065,-0.02746135724192755,0.01991737735554941
TNFSF18,-0.025051853099164648,0.011423265440306423,-0.03735048359058095,,,,0.02053096254993162,-0.06577400413635373,-0.024409389340470006,,,,-0.024885306399845823,0.050728924255484,,,,-0.03017374187175381,,-0.0345814937746413,-0.04452417436233425,
IL36G,,,,,,,,,,,,-0.017771277381504816,,,,,,,,,,
RTN4,0.2192760813607594,-0.043507772068628194,0.0295192645177152,-0.08615010888995434,0.018504574919319422,0.08361275035732167,-0.2586978846209931,0.3161145938612157,0.08296882870969936,0.01824492666303175,0.09845557469665789,0.0670393711012139,0.029735720784961703,0.015409385907281288,0.00018344833168210247,0.08573710321902954,0.030740377741972195,-0.02330225759783009,-0.07081629338607648,0.05504564257473456,-0.011308746182512831,0.016492601153037755
HEBP1,-0.03743252474998539,0.019981135346019863,-0.012749625543928209,-0.040930711835722784,-0.02336401213113575,-0.03211611646564619,0.07674708405830076,-0.100663968500081,0.01032923934419544,-0.0139316337325696,-0.03226051250671773,-0.008750433588750344,-0.05073346885535897,0.045131831129179394,-0.002499916078431957,0.0066298522166923415,0.011063873257172698,0.04084180259411323,0.025028392172685623,0.00368036978263397,-0.04587158262957237,-0.07111787886401015
WNT7B,0.2712879061881202,-0.0130422545639483,-0.014936542352243959,0.051204308675234234,0.02332616160818213,0.012718769256556638,-0.015576718450443311,0.2502251659431117,0.01372230423593746,0.038114835406273286,,-0.0022066800994571603,-0.027396293405699518,,-0.02290247271676878,-0.02076065706940512,-0.007342158271608651,-0.04745021918359355,0.05696162727992165,-0.03458145791623001,-0.003704223680364194,0.11902015929513893
PTMA,-0.003765620304177805,-0.011054904282205007,0.008231603599813262,0.07359263680139852,-0.0014232514773885488,-0.10848622021503246,0.2832142016204247,0.08819377915421928,-0.027480328748319766,-0.036743434021084424,-0.05456073468854549,-0.07293559335384285,-0.06409286230338178,-0.009778132592605824,-0.13445721600445038,-0.03550101177923363,0.05217655036833262,-0.06197301283783568,0.0960733301238509,0.012387895128663133,-0.0583178206149793,-0.14715596187613703
CEACAM1,,-0.04757143253994469,-0.031054111546857326,,0.024742445049705786,-0.020246314061943896,,-0.03955042813604826,-0.038390154285185794,,,,,0.06261041101157067,0.153935120248023,-0.02482022247043533,-0.008054624436493662,0.10175507647066355,-0.008692808503010309,,,
PDAP1,-0.07463978395570096,0.048105629001949445,0.018284842469110434,-0.021053329340031922,0.03296723381316115,-0.04486759516610404,0.15393405029305893,-0.16858435711227407,0.006993678465667757,-0.017066857284076763,0.014960703121512367,-0.016072166114278235,0.013196751789501523,-0.0017136368807050344,0.011437105479470643,0.04610103469640167,0.029402018054039906,0.08528008631255768,0.11275655082119299,-0.06882601523557112,-0.032764721910614275,0.06741249783168536
QDPR,0.08898368219121644,0.015937606362918154,0.052106467561778815,0.06232571845595119,-0.01929641019579321,0.12394870764837727,-0.08501518038892514,0.020236290021236787,-0.00015400678027328694,0.010755867143294226,-0.03161061445141438,0.03502366752007212,0.06827240327854033,0.12501572445221787,-0.08585687051062442,-0.004081511480591607,0.01518337392917328,-0.0590631220870096,-0.04581226397455914,-0.028202298026680287,-0.03710848462002424,-0.06560074141201173
POMC,0.05721946338823434,-0.03109721923061948,-0.006325382434526109,,-0.06269231082650052,0.1273449390109499,-0.004985678455587931,0.016796674148381416,0.03433381571937809,-0.010618796300867135,0.008239165297145239,-0.018632286257421263,0.0437340042676815,0.02313340380220165,0.04380713832753152,0.0007821443558235335,-0.004333546933331052,-0.03448134653785985,0.004224472915037908,,-0.03513271743162363,-0.012321567603667248
CCL18,-0.03359659487522495,-0.030213978779178904,,,,,,,,,0.012248367216379386,,,,-0.042843600471325564,0.01835942543556151,0.01443287849249862,,0.025723763651818846,,,
CCL17,,,,,-0.0028524315502958648,,,,-0.011305609412226745,-0.025129604325665106,,-0.016234566414398445,,,,-0.06691836481843455,0.07363835844640595,0.0016619491250495688,,,,
