,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.023222019223190168,,,,,,,,,-0.016603068072194273,,0.053949265732521706,,
BMP1,-0.03724998276413052,0.1119126366778945,0.03217610930160072,0.04207136887330599,-0.004353526710545994,0.0375431412449022,0.10574511710054042,0.040232971987471916,0.023735724769840448,0.09714747942886727,0.08691509876991177,0.036059069204612514,-0.07046022569935076,-0.04118873334353324,0.056430151601979575,0.10063683168530617,0.04358861964911141,0.03660521969587797,0.056076166309899,-0.05797420144701416
NDP,0.0795983009736418,0.023194015242542925,0.0002011276816634024,0.010976540763384956,0.008606813300766897,-0.011894176320086186,0.037786348467828815,0.0027408628073405596,0.00018955015409456396,-0.02083977525410322,0.04136056756463144,-0.03094605956294104,0.08810342397910212,0.055106794706437055,0.046025841303431556,-0.0694294748680372,-0.017617051163378288,0.08299997224649278,0.03471706854335881,-0.03435145249105525
TNFSF18,0.07747515840735104,0.007428530645068994,0.03895946912043338,0.06817955938002097,,,0.0710158088421597,0.01801363657582407,,,,,,-0.04587752435793848,,0.011999514473378499,,-0.013207375664968263,-0.04304850809401844,
IL36G,,,,,,,,,,,,-0.012286833080715846,,,,,,,,
RTN4,0.02756012970882359,-0.053311879103130254,0.05175019697961237,0.005077832230970451,0.019120225695160257,-0.011159954438261526,-0.09860581406260688,-0.016025030582628004,-0.03741925484329921,0.02253174220092768,0.001641137443401411,-0.06811391337896192,0.03274750529206579,0.05884643994371252,-0.05894691410267295,-0.018253783012979738,0.00398560781969444,-0.027997430276026428,-0.028844110517768466,-0.035128342134424444
HEBP1,-0.025191852208658903,-0.002529647699287634,0.02177613540306409,-0.019003223351649643,-0.010817886289588876,0.03593970806161476,0.02051240981024627,0.03183282824152771,0.016856844233426604,-0.020187382661250735,0.0384290967483124,-0.023985303905332017,-0.02581665399627229,0.05152599671170094,-0.023284681111081652,0.0158546065078241,-0.008628811314364198,0.06789717745655872,0.010940516199744845,-0.05748087552006183
WNT7B,-0.01747154415777638,-0.02282579718272291,0.005292679241439412,0.08762837093056512,0.013602003416742068,-0.03906362538661224,-0.04545703139264026,0.05125574310211186,-0.01878564781268845,,-0.0021155519501902635,0.0608871020853153,0.030406227589811537,,-0.007316919237167266,0.03473285193602417,-0.020366673885378588,0.0009473009864450248,-0.021533007809295252,-0.012234700814005288
PTMA,0.06562902724276912,-0.045649924451312524,0.061252094452563674,0.015619593044688166,0.024764210600656197,-0.017026166049548597,-0.05627734083251646,-0.015855367012751316,0.025227837219691476,-0.04581136200953794,0.08101446537567503,0.04101153384876646,-0.0536308285175795,-0.05377274326270254,-0.0695386311683878,-0.03060299376665275,0.05149333663420775,-0.0749235223595247,0.020484905523178,0.07578352137792824
FASLG,-0.017471549096937156,,,,,,,,,,,,,,,,,0.15246581861930628,,
