,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.005050939871646908,,,,,,,,,0.006707710483798455,,,0.02837171093178184,
BMP1,-0.021102390313259226,0.02916188204585187,0.014038250023257962,0.008228661304097417,0.030138032813704408,-0.015232911887343744,0.016306341327159746,-0.0231274141610518,0.1061136343957287,-0.028455873992092786,-0.01909310536889031,-0.07932642852484215,-0.0370312575429658,-0.08126632656247937,0.05820339161077852,-0.051966742629679395,-0.03184394926826506,0.13676957952316138,0.010656989563084427,0.03256802921390985,0.037162964089107305,0.0030571323424269095
NDP,0.03394427188452903,-0.019282049855593276,0.01686148267240659,0.02212113752243639,0.02610811382232898,-0.06296607153145044,0.034479638190419805,0.019071408944269674,0.02190693817529861,0.0374707014808778,0.05411262635291867,-0.055337460080565164,0.019285983531604878,-0.003477052669167536,0.05130934818381263,0.013446600852769393,0.05630669373536148,0.09364234678825335,-0.06477627126910902,0.027642030089655906,0.03777076516815434,-0.016959128195321915
TNFSF18,-0.03559291754617798,-0.025517634960566745,-0.001340735312947696,-0.03543491079320408,,,,0.03432365032886225,0.057348763711942655,0.018801723819960106,,,,-0.022534320450624958,0.03708367072214208,,,-0.03519916208401527,,-0.047673713038003884,-0.016001235573961582,0.023472302036670327
IL36G,,,,,,,,,,,,,0.0070515045166171615,,,,,,,,,
RTN4,0.03673354551081333,0.02582104472813775,0.05390893261053806,0.07230417520953532,-0.0287589756965049,-0.035135260366989246,-0.018450760234186233,0.09824346717847417,-0.08256034764632965,0.042213891047710096,0.04736019876041384,0.18448493291122187,0.06918546116820137,0.030023469589153466,0.009440276036283357,0.02123669708515641,-0.05056618240246111,-0.13713812698211245,0.08105199908596686,-0.0017823082455098178,0.022636684613611305,-0.008247816555297913
HEBP1,0.028388336107808682,-0.014725978788954422,0.062289921400844904,0.024655642571632164,0.04761412770189176,0.023479546631645858,0.03750276605387466,-0.009407820247495455,0.04772482716449364,0.0030419415825593153,0.017694522233935445,-0.11391188130479517,0.00995248851355631,0.023946623060248196,-0.08074331672188768,0.05272493747903642,0.054209955702310034,0.02969313026472051,0.0601468298265114,0.07921637931407938,0.0067344749993902735,-0.017828413058090336
WNT7B,-0.03135624555700495,0.054412321679977865,0.02966433163935105,0.05311694827432598,0.05292985538623705,-0.00480750495447734,0.05274778207975354,0.04658005596606961,0.041959569068257686,0.015520505478667223,0.0315088823411933,,0.06181399217996227,0.03393478386816003,,0.0017058445379979229,0.027310944446114944,0.05077755585556806,0.017979146621402292,-0.047673663603944705,-0.03790906989867598,-0.014879814306966306
PTMA,-0.028587693285501276,0.025867875389936616,0.006714354246140871,0.02245384266649312,-0.04483165573157084,-0.0037553569387460115,-0.021495253675967118,-0.09704226985984159,-0.06379873120894136,0.006864287018915899,-0.019040579929665576,-0.2624745466365948,-0.012580837155035633,-0.02671071545152534,-0.06850194138480764,-0.0979175735822447,-0.06655967672504066,-0.14654865423427732,0.013703375320156372,0.07787365301802611,0.05518036766071029,-0.019531909005151584
FASLG,-0.03135625442133524,,,,,,,,,,,,,,,,,,,,-0.015403992437153579,
CEACAM1,0.049748391635713214,,-0.009121076904348144,-0.016892170925886896,,0.08010916698518168,-0.03528047838331124,,0.01653796892751969,-0.03983727768908442,,,,,-0.03193206462544774,0.08424950840315612,0.021176702495422285,-0.011071776194906659,0.0382876951297553,,-0.02143239304162328,
PDAP1,0.05435143635138375,-0.07541170235737979,0.053693009751118966,0.06624758779149448,0.06403062531497702,0.0342701316882837,-0.009837549490936721,0.003356409375874109,0.07781621835713963,0.028054671828900868,0.003325918839494817,0.01846134868463993,-0.054351334874511686,0.003439769855737101,0.07423638601046399,-0.010446555440449045,-0.052352805679148504,0.10486412012777925,0.07572777739551581,-0.029673748262596663,0.057731790674736085,0.07820704773891139
QDPR,-0.056600111160028034,0.11478418125294707,0.035620929290578,-0.010303848479795813,-0.09257138773366283,0.008891988467904462,0.08539560206741954,0.0348449601728068,-0.11243554944487524,0.07205476102772988,-0.006295189940130044,-0.23207379756465832,0.06594872497556818,-0.006181800548941281,-0.024388597827086602,0.07971802419051195,0.14209079470574448,-0.14472835616530122,0.010444669486979086,0.1350351797373972,0.019190904709148887,-0.02790721390756394
POMC,-0.014371694618843292,0.0036593246897683564,0.06775927326241779,-0.030014692714472827,,0.035966804134487114,0.006816946245643104,-0.012573111129513741,0.03196718232388953,-0.02558144169312182,-0.05224570520107808,-0.025837012799254936,0.06544589574894276,0.027391778104163374,0.048630355192992004,0.062347971919328046,0.055780575811919975,0.02565018280455366,0.0910761986701988,,0.03292310707617225,-0.011443803053342421
CCL18,,-0.03422124664991846,-0.04636227509541295,,,,,,,,,-0.05273386368950867,,,,0.035096575800257115,-0.010672729960635008,,-0.05650043883153316,,,
CCL17,,,,,,-0.019404142233774457,,,,-0.012842882569466753,0.05080522219973142,,0.022089900459560205,,,0.009348271464935543,0.030186925621459217,0.20926166643001504,,,-0.013961988973719303,
VEGFD,,-0.006392239295870345,0.0262246004178502,-0.024194645785787797,,-0.024884571753063918,-0.0005838125093384115,,0.037909655029629626,0.0280111933189835,-0.011068433722313106,0.03015235044734419,0.038431388011941,,0.0017538377322989331,,0.03678128110700127,-0.045209668307261024,,,,
TNFSF13,,,0.015089873330060106,,,0.022290132091545727,,-0.029410770062409025,,,,,,,,0.11871662215253467,0.04158867760989395,0.06137975796652933,0.06790173903246022,,-0.022749895672806907,0.028238386349325188
WNT5A,-0.08414765720965219,0.0013602545833871613,-0.0013547410643873787,0.001119516114388229,-0.005094670084100185,0.06271573435985381,0.050460997294790984,-0.04809820021595287,0.09149384002370756,-0.053281892016850685,-0.014039991601148128,0.02261209611204164,-0.011232105908994242,-0.007558052183142787,-0.03720334759872851,0.12207678644421154,0.06729333586662126,0.07537573553521296,0.01772685283099482,0.041241208350928774,-0.019781397091027678,-0.029098220353662285
CXCL8,,-0.09326109793117632,-0.02599143843772817,-0.022654432251421115,0.0055798901790101805,0.04065439593310951,-0.11887776770154666,0.016501530645396747,0.05414729453438609,0.027644359070914653,0.05906214866964984,-0.05148601320456304,-0.01972413911024577,,-0.010043799048458093,-0.1543685609989489,-0.1991270312807766,0.011135080317519266,-0.07539015973153361,-0.02874958110725101,0.010461651709737983,-0.018225032859812938
GRN,-0.029931174932957504,-0.04873175212113183,-0.0480036126802563,0.0528460029066727,0.03171166411755155,0.014373854866439955,0.023581947176544528,-0.05683901396488639,0.08014727760839158,-0.025197710360478076,-0.006307930617187178,-0.18113693185053165,0.05706994871949955,0.004987168991371851,0.039481631488702706,0.03634645505832828,0.04455961829094516,0.11393461403251605,0.048584218708235025,0.0032168111675207087,-0.06011409268617345,0.04483324060576257
MIA,-0.01806485709208945,0.0007426546946002046,0.009945972340041869,0.06709437303471459,0.03888611519053218,-0.047861707214487896,-0.017108722580112232,-0.025138206524520375,0.11774268769567246,-0.01436808800057478,0.019121943808080757,,-0.016990002064717912,0.046512437884848774,-0.04964627958559158,0.11176934719268435,0.18535346280803786,0.12150316213884235,0.03430000658841954,,-0.004285932443805007,0.038295699202692046
COL4A4,0.014318968243971096,0.023592692282510843,0.024126250172541622,-0.007918926943994315,-0.048556797405484485,-0.004290272011601224,-0.0022272407481395843,-0.02798304833433018,-0.022092072249091085,-0.03855873533861528,-0.044751005626994994,,-0.03055290902009591,,0.07602124063245305,-0.007271890188816197,0.07219844149093062,-0.05591859481825435,0.08109347735961871,,-0.020423267621683085,0.01827751847021628
TAC1,0.07360969975627313,0.07704427042131012,0.033717509210576035,0.032244548483056606,0.0119651702555293,0.053956985638271525,0.08242665504652368,0.06927760108761981,-0.017551989930509784,0.02349541781281143,0.031294675497011544,0.27237839086818977,0.09324415607985888,,,,,,-0.03532623515647836,-0.0027544775790469002,-0.018354454220748787,0.04017135958820148
RARRES2,0.1284318345819592,0.13440007402940127,-0.00467045785887082,0.007603591826548184,-0.01318877152434218,0.03250966837348744,-0.07459346563911022,-0.01372114305522646,0.09845319390924122,0.04719118371965109,-0.011915546483375578,0.0020671443961603987,-0.05922207063849941,0.04656348028698743,-0.09420241415305915,-0.09238102415823678,-0.044918128167573186,-0.03562704277895859,0.019814722719989866,0.0012419341671296295,0.033030875027613385,-0.06661400801398501
FGF7,-0.005889902103506121,-0.04299616442574826,,0.021415308770921317,0.027157832396849442,-0.002906666344346423,0.004179526770049053,0.01966266794198465,0.06839871925664472,0.035365012523232105,0.015322042892567818,0.03820395809109862,-0.021308687470490247,0.10788955124941273,-0.10135273747425391,0.08710587837365663,0.081542589436279,-0.0494079371177211,0.0758861223388388,0.050947523741661456,-0.04721487725652332,0.04392870562479846
EFNA2,,,,,,,,,,,,,,,,,-0.027708447319402085,,,,,
HBEGF,-0.05589426943204522,0.03311386197841546,0.05364180842872774,0.08746734494802774,0.058881098354455125,0.03850701063619276,-0.08217007294977627,-0.0378586304495539,0.0447969771325262,-0.024892832107972527,-0.00978113717984461,-0.10823980537153463,0.02472976209656646,0.029505280522311314,0.04256238937461479,-0.00016860686500669577,0.0677999238532502,-0.03559922633529492,0.020141678510774357,-0.059117097274537844,-0.03192803281137336,0.006081068935907892
CSF3,,-0.038814663687756726,,,-0.015395040464029806,0.04833420588381456,-0.05820990162273033,,0.010985024347318972,,,,,,,-0.06644218555521744,-0.12201249396781379,,-0.10312491169847655,-0.01678455154655586,0.06902704718217625,0.016682962840136654
PI3,,-0.032821763623082416,0.03143163948554349,,-0.03796725963378006,0.02941056449071158,-0.08179154661858234,,-0.010253893681604795,,,,,,,-0.16527782020053933,-0.16652699900504606,-0.010130418007065664,-0.0867522375155086,,0.009464809398819647,0.042035228041905334
PCSK1N,0.08475802430173242,0.07605344196767365,-0.033619308233563426,0.03197230804639524,0.07080032422522765,-0.0209642222540458,0.019143529846467548,0.039899790481086404,0.0138355576175813,0.007113420165315032,0.05227187712674294,0.23610511859998667,0.10478549840979935,0.012287890958832716,0.07419792985253029,0.036778237197741884,0.04657384188931621,0.0461635442163003,0.18042806730712424,-0.1191650619145627,0.0344638842456751,0.04378058644142159
