,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.017257035545283433,,,,,,,,,,,,-0.027608088485522785,,-0.028094031765844404,,
BMP1,-0.019427797551635984,0.05150434927726641,0.032425415826470586,0.01006012966324432,0.009420383225766596,-0.018723189795746727,0.11956995645665512,0.025858715667530896,-0.011556774173310457,-0.012383529118117392,-0.04611681560923789,-0.03482399765014043,0.04874901795226055,0.11738210443531971,0.019807798886368817,-0.04224384968506881,0.09429882693242754,-0.007983329813921091,0.030528292600942024,0.05890587438766339,-0.040253584573819834,0.027014691022729003,0.01136760814741091,-0.05988440814205836
NDP,0.05636874483228001,-0.03534261717767472,0.015417987377202513,0.055599753302450976,-0.08155984226560813,0.08044588409451152,-0.030790613516524148,0.026755225977804258,0.057518864212696426,0.06216329011927661,0.08059182032918635,0.011478083101345375,0.007297529091765076,0.06518841353534084,-0.10603887344774549,-0.09891109978319185,-0.05671038066937005,0.06007242850370938,0.033997044686226885,-0.008684553522878674,0.012540674655448442,0.09629047896261951,0.019203155064410303,0.14468461679369063
TNFSF18,-0.018712514416590043,-0.023357423476288105,0.0027129609265646153,,,,-0.01568268301000273,0.004064544047479699,-0.016091834962624403,,,,,0.13131126727427367,,-0.00029221003574614123,,,,-0.0284717343437405,,-0.013250559294193913,0.03070400906382959,
IL36G,,,,,,,,,,,,,-0.01273573388015179,,,,,,,,,,,
RTN4,-0.06686914314864627,0.045008434186419255,-9.710856507264261e-05,0.019336393089901684,0.002751206506939095,0.02624852764860146,-0.05320360616105684,-0.06171270636007449,0.027195217407197988,-0.05461890818522573,-0.031373250640450455,0.028953262754766118,-0.02755271202227749,0.03736231473800391,0.01542598200843561,0.020745102587536268,0.034161689159715944,0.020052753712271176,-0.0077768953722672915,-0.08113291071043738,0.040409606495799937,-0.03118529258578195,0.007767232532484352,0.04090661568312642
HEBP1,-0.024137981082010644,-0.0016918435208770066,-0.045828906575997946,0.050777553125967725,-0.02649244368942361,0.06155998049866621,0.003916515754186465,0.013681528468020579,-0.014593909574078297,-0.0015736979310269114,0.0011623591244291289,0.04223479456813304,0.03206146252241734,0.05679279503879329,0.012324738417171159,-0.030344201204646346,0.06668072660822909,0.02074777522179506,0.0157621212089482,0.05301613308030332,-0.013354178495317774,0.08332081042233129,0.06827532241894939,-0.06258456972085874
WNT7B,-0.016485139108766287,0.027015239017183088,-0.0530302004303786,0.01096167946794893,-0.023278855187405998,-0.004360676662648828,0.03127364602343926,0.001837682236080403,0.030267862439135994,-0.013606577293142049,,0.01732426298742181,-0.0033362489021800438,0.11388513352264334,0.014996015773425556,,-0.04182065452290553,-0.03132302720044001,0.006869304885595731,0.0698863790406705,-0.028773496276173486,0.011137623867628161,0.07414654452181964,0.08026201728008431
PTMA,0.02683223460125924,0.008300615373774115,0.08274869515871618,-0.041698900308929275,-0.02657323538339272,-0.034196134280455634,0.10481116809912173,-0.037814848281720326,0.020491822224781815,0.033750530789113956,0.0249803482101208,0.014210158497679681,0.06815394348565218,0.07531628989338009,-0.050555762217644185,0.07419083368256107,-0.01798837293315623,-0.08508228723417241,0.015047729153880045,-0.039117496075656,0.011438435970985586,-0.08264585592897024,-0.06272405358396621,-0.07920606637362083
FASLG,-0.016485143769072882,,,,,,,,,,,,,,,,,,,,,0.05658642654012251,,
CEACAM1,0.03866745114409448,,-0.02280727767729248,,-0.029843566216784675,0.035845603398693276,,0.07181751634068197,0.05001879114246432,,,,,,0.003139980279480388,-0.037257157994553085,0.060719911499087634,-0.027509528549427478,-0.024966868015173897,-0.0042074304260350005,0.0775778265497941,-0.038018182905274096,,
