,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.05130525018342778,,,,,,,,,,,-0.021872565317086416,,0.05381965783808742,
BMP1,0.035853808402623394,0.05595308836589239,-0.0017557187711908443,0.05416188789304642,-0.029883329584308834,-0.007935940486679697,-0.009024195495283395,0.1802546291633291,0.017061074311723923,0.015153729136589487,-0.008084047317343919,0.04143887422184726,0.0683196034023202,0.10756011538426717,0.06459594121103202,0.056984628492938644,0.1384664821768738,-0.04156633217915753,0.0940877725777042,0.013526538202958785,0.009650934474379856,0.03765775494445868
NDP,0.03387222104387555,0.10240165336592502,-0.023504352315077037,0.03945450139900522,-0.0362227427164912,0.015470143163065895,0.03409025774934554,0.047997487544072216,0.0398542045101611,0.04729004062827878,0.10184349967645381,0.10110598067450431,0.09985941388666103,0.07597285719781893,-0.011364423954354191,-0.04517232668410497,0.1183390193419313,0.009996199965046868,0.035133726370373285,0.04617202204898292,0.16119263493142047,0.055777297288294024
TNFSF18,-0.030016887617317783,0.09349733847416161,0.05600674838041242,,,,-0.020261881198257323,-0.017276365085051842,-0.03126661098048237,,,,,-0.03557086495427519,,0.07714063457532795,,,0.00038480741913512757,,0.006016809843086311,-0.012510501298261287
IL36G,,,,,,,,,,,,,-0.012544976973671218,,,,,,,,,
RTN4,-0.038549039238831545,-0.1291977408559189,0.02703232075510853,0.010987707105838636,0.010877205637378248,-0.03978555287155784,0.0029225539650445482,-0.22824971577813055,-0.030938659402439422,-0.014426731660088619,0.021960271454880314,-0.12200737017282358,-0.0818368646748945,0.008389493946171252,0.05679908319136608,0.037598956073554776,-0.07963471294970668,-0.012944216419238395,-0.0955623649266193,0.019790029254818552,-0.028100639530542582,-0.03325286718667196
HEBP1,-0.06607447760405713,-0.08074649375593451,0.03424762851154531,-0.006432582182160573,0.013185393060264398,-0.03955057471384446,0.0075112638723979965,0.08197997923736193,-0.008484340552922662,-0.0024530036439630973,-0.012269320705760865,-0.07969471245442182,-0.0315956835416878,0.027892609664131752,0.018733680849996902,0.021656101692061714,0.005461231759743011,0.04977198041977907,-0.022091901946968678,-0.004052570889603572,0.13225484804204163,0.011834784139143328
WNT7B,-0.026443937835793026,-0.01250739916419907,-0.037735303246014595,-0.005994376799836063,0.015214604399238704,0.018985734290492873,0.011227355861992696,-0.11802370980942607,-0.031762236619705356,-0.021700879002665912,,-0.006861543588911702,-0.04884169882460612,0.036161371746498756,-0.02639489738273658,,-0.03356244035246768,-0.03178787522193887,0.020475024623215102,0.004370769940694455,0.059880426034078824,0.0707538149996143
PTMA,-0.07511266221311547,-0.05633596374165248,0.0102776338915589,0.08422342096741592,-0.033050630149934666,0.030617937851615994,0.015290561023403927,-0.09932286366200259,0.012924100491469599,0.03064628241203813,0.028820480746319824,0.07725805938303455,0.06886289544129535,0.0975962294269733,-0.03926756375251695,0.08048602752125521,-0.17818115181841399,-0.012000272092976348,-0.07720318389695605,-0.004201498345353448,-0.13704065993894426,-0.01424802950357475
FASLG,-0.02644394531142651,,,,,,,,,,,,,,,,,,,,-0.027765090712177285,
