,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.0210663382273356,,,,,-0.023059382002995954,
BMP1,-0.01973581290056821,0.07690130816215983,0.07147767662911098,0.02066260046926685,-0.0475910054188953,0.008231866033048046,0.14336541309229858,-0.014113210441473522,0.031868696211352646,0.102645399144477,0.10252830431316752,-0.038887965059836826,0.01732857795002879
NDP,-0.016353470952924068,0.009917945864819384,0.030420961917724084,-0.007030334539567029,0.04924430142120488,-0.038668324463990655,0.05558846691898443,-0.027150355421000423,0.03137441597506575,-0.07806636912144385,0.07297097871980161,0.010487719031210109,0.0799130786123969
TNFSF18,-0.021812107582778986,0.0135809866741846,-0.04341211434044635,,,-0.012941580512707704,-0.03128287983878931,-0.01796889860389229,,-0.029395999486490482,,-0.01691522168612104,0.14897424009165341
IL36G,,,,,,,,,-0.021214449553542073,,,,
RTN4,0.007378680184060431,0.02828300403406693,-0.03877522801901579,0.007584986514196732,-0.019449290887661765,0.011414875325085018,-0.12566856502537796,-0.031414655067525804,0.007673482122727573,-0.07746072641951003,-0.07958585288567278,0.018163359923834606,-0.0819786142155009
HEBP1,0.01066330421768845,0.015903340773811645,0.05527336433035027,-0.020037695680863093,0.020958104536268844,-0.0006999867195409188,0.10690450618919431,-0.018658356613336993,0.03870801701030928,-0.00890525879329942,-0.03844927183680916,0.010504865304482372,0.01305590334318972
WNT7B,-0.026639706423909323,-0.023322352504542697,-0.002891756216797852,-0.03824826952098963,0.012108051248700732,-0.017395461095601233,-0.00913084582709445,-0.051506175165263644,-0.02331712484219859,-0.0323621262260478,-0.033891439474489,-0.04921830711379119,0.04354634311537606
PTMA,0.04390337747801324,0.02146665789552451,-0.006396354487823855,0.043869541142913374,-0.009695816401975579,0.05277959546285654,-0.08875642670251023,-0.043960912434954404,0.04898281553789076,-0.021110539595953933,0.09270531950467022,-0.11275602483748674,-0.023865563595663202
FASLG,,,,,,,,,,,,-0.019999394144376546,
CEACAM1,,-0.03358554679853425,0.07596784974250685,,-0.01456208407713227,,0.08771310291698373,-0.02826079670066019,,,-0.004122673489999151,0.0021664533807481054,
PDAP1,-0.045070767184127246,0.00011810518577596196,-0.005199894408275978,0.035896678712536906,0.007706655568511993,-0.02961882416460229,0.14781372273431326,-0.0470184089614906,0.11604671064113262,-0.047842737114188336,0.06825090532150661,0.040971730613263466,0.03104184299499713
QDPR,-0.04947468052536852,-0.015338623169011852,-0.0191179907882007,0.009539123442573707,-0.04643257199281319,-0.06876949716130078,-0.14508331289859813,-0.020316586209401938,-0.026147667121596337,0.0026936262498389544,0.008381910182736168,0.04801844030097572,-0.047041693142216345
POMC,0.07411392293801954,0.05352578917672178,0.0352959327667306,,0.011322633119510902,0.01971529035645526,0.021783355107218447,0.0740348405563057,-0.0002960341374881718,0.014338676021895062,0.044708855356134565,0.005072164330874392,-0.025445625357794426
CCL18,0.05295269801392507,0.001434083900042391,,,,,,,,,-0.04298070929604599,,
CCL17,,,,,,,,0.05371862666969313,-0.00144945400183295,,,-0.018127204467548376,
VEGFD,0.038182360728618345,-0.009024538196033082,-0.018549133276264305,,0.08898669103054906,,-0.023458889714323045,-0.0007895405958626743,0.012570563750559748,,0.04248792661957382,,
TNFSF13,,0.012005932164182725,,,,-0.01255063333133769,,,,,,0.026598592784806824,-0.027941967880384208
WNT5A,0.022374006461855812,0.05675445546997654,0.05963913256051304,-0.014237865624361997,-0.031606500335722,0.01926560236895539,0.10360929667149588,0.026863453012996967,0.031994228803948664,0.002553116938717673,0.04105841246870193,-0.010461669335268221,0.09424228279806031
CXCL8,0.09890934129335081,-0.0030515283571570725,-0.027754459689657417,-0.049269771930490154,-0.0021575528854145504,0.13209526038835268,0.04290636049256523,-0.026128879925350984,0.02428204227840512,,-0.013465476006117895,-0.003387420176250557,-0.007844948461808015
GRN,0.002878084231720195,0.06668957310396834,-0.04451565342762136,-0.0007675457128508951,-0.04155972292042395,0.0021478742050198146,0.11124447458671467,-0.02017131147865635,0.008182350423207429,0.019603885505295217,-0.05512648775841253,0.04253967418084769,0.04874246688832601
MIA,0.06250288807402299,0.07661009975224851,-0.014186170599690691,0.020462946878545947,-0.021459134959981665,-0.02269396559342191,0.09150311387688867,-0.016175872407774634,0.030628111371846692,0.051662619452244186,-0.07296841477924057,0.010710950830997086,0.14975213011139035
COL4A4,0.0025497313358637526,0.10814759192931278,0.03384728149567026,0.01839627825301178,-0.0492420052889323,0.049423587127589035,0.0562430874756318,-0.023397479813733798,-0.0032700060415153595,,,-0.0025130126772034884,0.003138769762550094
TAC1,-0.02719334658344501,-0.02435342689135369,0.042124038734176264,0.05504902661679083,-0.009540681171635465,-0.00947931725355392,-0.061441655650671806,-0.07775768381256207,-0.04890120024279261,,,0.0461708995330349,-0.0645132513378127
RARRES2,-0.09822372721001227,-0.0017262318174811784,0.017417541982565135,-0.006032090395794875,-0.041116727577163927,0.012987000408288665,0.11339992645715623,-0.022454751919806525,0.0720433119146902,0.014376120706401032,-0.05684735359666472,0.004225915236802657,-0.008794517126106257
FGF7,0.026312223854956313,,-0.023977563387684097,0.0034420831018097467,-0.026676068173105385,-0.023439347327791186,0.026601034450008346,-0.010679355763450934,0.021286287928210957,-0.05450277252804637,0.09598637743364745,0.10483608270782392,0.0008030096852795483
HBEGF,0.027898370651879948,0.09609614724425303,-0.01275516574448838,0.02583979735660506,-0.040104370316887364,0.04391561636991462,0.11699560439688599,-0.012520260417145072,0.040139213167158426,0.09674484947515254,-0.057640898392103124,0.01912379532900965,0.06478932808377935
