,MGH258
BMP1,-0.012991464562739226
NDP,0.02064001170926607
TNFSF18,0.06078341629008461
RTN4,-0.026317851043598895
HEBP1,0.010751678993764757
WNT7B,0.10479951050460591
PTMA,-0.007254123407949553
FASLG,0.1036331464799302
CEACAM1,0.04528161716094935
PDAP1,0.0783468634225863
QDPR,-0.0318023384237974
POMC,-0.05005454749827421
WNT5A,0.022542368050850792
GRN,0.007169178053127783
MIA,0.024878716749335013
COL4A4,-0.017881111741540112
TAC1,-0.01543974152908353
RARRES2,-0.018974519494885336
FGF7,0.02969655164716025
HBEGF,-0.05581105341128584
PCSK1N,0.021839455783018033
SFRP1,-0.022465213929398053
MICA,0.0004878452649883959
TG,-0.017881107711962736
ADA,-0.016700371255237975
LAMC3,0.048839185642329794
HMGB1,0.02464189715888826
ITGB3BP,-0.057962082201894256
RELN,-0.014823912359868399
IL15,0.0036575920498964024
BSG,0.060538937250730646
ADAMTS3,-0.03565225905523843
CD34,0.0781418942468378
PLAT,0.010454266143697386
CKLF,-0.029547086857564832
CD24,0.003146237149087641
HSP90AA1,-0.024834856917539488
BMP4,0.08202525896935788
IGFBP4,0.015906804648214187
LEFTY2,-0.017704312222661837
ANGPTL2,0.050596761890902196
LRIG2,-0.010303734270423017
ICOSLG,0.04119320780330339
NPPC,0.036668786784893305
LYZ,-0.023472650024622628
SPTAN1,0.020747022091694118
LIPC,-0.022893170563428315
COL8A1,-0.01559203297735242
GSTM2,0.026653392472386336
SPX,-0.04583835109864364
MFGE8,0.02137544743173294
TGFA,0.06555171387322863
SLIT2,-0.018402252787672792
PLTP,0.021480437770062703
APOD,-0.01186299276854784
B2M,0.026294175688512465
OMG,-0.020712048896327773
CXCL3,-0.014399712752876593
CXCL10,0.03301883167917539
CORT,0.008074025423587674
NCAN,-0.008226498542481827
TGM2,0.02899526369823125
VEGFC,-0.017881112605021333
COL9A1,0.039774046511216264
GDF11,0.06778018336889871
SORBS1,-0.03416799900177804
DLL1,-0.004890827128740327
TLN1,0.03113001056393734
COL2A1,-0.016794936587231128
PON2,-0.012174298109472119
HPX,0.004756176734694899
HP,-0.03332489215791184
CXCL2,-0.006931857684394577
CCK,-0.03842390805538609
SEMA6A,0.011078765467574178
IRAK4,-0.019330908812236133
GSTP1,0.01445112268528523
VCAM1,-0.03466911640808959
NXPH3,-0.019370268328128992
MTMR4,0.0533614882763635
IL10,-0.018573031343347746
SEMA4D,-0.02208455925386322
TRH,-0.016418292659431014
SEMA6D,0.029961420008505612
PDCD1LG2,-0.0032938667724360547
SPINT1,0.044551817828620256
CTHRC1,-0.018179882841156302
PODXL,-0.011407870730983101
JAM3,-0.013255719266336594
TGFB2,-0.012572632412484656
COL18A1,0.014409882674711922
NODAL,-0.007542451202518612
INHBB,-0.03937172078341792
ARF4,0.011756820656042867
CXCL14,-0.04551402099006613
LIF,-0.022175989317731973
ADAM28,0.01517392930885489
TCN2,0.01724803394211439
CUBN,0.042988134292545443
TIMP3,0.04468515644393619
PIGF,0.05131253536742465
CCL5,0.037741332443523345
GAD1,-0.010716210293568805
COL14A1,-0.03182824037914231
HLA-A,-0.004490995119939362
CD5L,0.028030046768890912
ADM,0.09185918908742992
GNAI2,0.0014803824352494362
COL11A1,0.002443471176597913
NUCB2,-0.011572518752489649
VCAN,0.0271673737558022
PTPN6,-0.005381789984742088
PTGS2,0.03837729439779529
XCL1,0.04180676915404029
CD58,-0.011606667003910092
TNFSF14,-0.02622826294493378
MFNG,-0.04317060360507619
ICAM1,0.04105119341265707
PROS1,-0.030700556006006522
CLCF1,-0.02300162806549803
PSAP,-0.025222465164874166
EFEMP1,0.009664728328614492
C1QTNF1,0.024896611575080174
ALB,-0.024138094909993753
EFNA3,0.0246413787933031
DRAXIN,0.033550506163397095
NPTX2,0.0025173801482245217
FGF11,0.04612441043665511
CD59,-0.04849728077557968
COL9A2,0.012057942439460873
DLL3,-0.005577430297825195
LIN7C,0.021588329099825568
GDF7,-0.016607597951690405
PSPN,-0.011798815292583167
ANGPT1,0.054680021452628666
PNOC,-0.023453380978466016
L1CAM,-0.02493886835453459
APOA1,-0.006065376026654461
PSEN1,-0.05036006200809053
CALM2,0.01647108266783527
CLEC2B,0.04472688472091929
NTNG1,-0.007595094654032931
LRIG1,0.07005782153243645
CPAMD8,-0.01461326092394842
GHRL,-0.023314407245991983
NPY,-0.02143822410402497
MMP2,0.030913554803767004
ALKAL2,-0.021883478482566544
CSF1,0.022178920890669845
SEMA4C,-0.013838194235824821
ICAM2,0.017185264989161272
SYTL3,-0.03993361403308335
IL1A,-0.016980374333440375
PGF,0.0546536565887891
