,UKF259,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,0.10805874582816916,,,,,,,,
BMP1,-0.013411012847393919,0.048031685209943165,0.018904630402221893,0.01917736134005624,-0.05596654636351058,0.04587240965443145,-0.04946570467316561,0.052401238079479516,0.004648445942672425,0.04591952058178818
NDP,-0.014359067658371706,0.010115058614075342,0.022026552737255387,0.018122707910663415,0.09019308423201791,-0.014556341386508732,0.021775039265839242,0.012716883019119083,0.0049998158101384,0.04105934031277088
TNFSF18,,-0.018777282901708405,0.09134733630537269,,-0.024507771851444836,,-0.004202231436848728,,,
RTN4,-0.034112593093057954,-0.08891644122642531,-0.02140355711158692,0.0013423658370584218,-0.014879938982358837,-0.09311850437708212,0.10386718506993532,-0.031884685766075956,-0.006106757885933241,0.04330300376113759
HEBP1,-0.04027905407091119,0.055352641080432,-0.021025002893612584,-0.0185780496492752,0.031274515001404726,0.007092358942241562,-0.010948043082918897,0.014090043784427481,0.05919707269169562,-0.00588697022450844
WNT7B,0.00812765901898361,-0.05233681157738601,-0.020137282302159887,-0.011723842777462929,0.05770016415132122,-0.032410651747446395,,0.005308834386736694,0.013567448650086024,-0.02877349315558905
PTMA,0.04272424503686115,-0.0614266505032194,0.016364833154490686,-0.02304707790431602,-0.036895388990184554,0.0202442972594426,-0.015603436130942385,-0.0187120061394436,-0.03535983297654838,0.053077826080081734
CEACAM1,0.018331088662981467,-0.00884353370346639,-0.016745996129576765,,,-0.0008122448241917333,0.02988367585969451,-0.022267308296688656,-0.02160667402991926,0.020837470870422748
PDAP1,0.006279263238541747,0.020363076673464462,-0.006793803044270335,-0.032728157071564526,0.10374039494828606,-0.02980159333546944,-0.058407149845934474,0.00026392687405792125,-0.017532460788747,0.036004502201816814
QDPR,0.0026341335593839314,-0.07148773938417367,0.018813033730638053,-0.013022655810653691,0.06086725489653875,0.050943800098517844,0.021461964591740528,0.01621394331028639,0.07132778199863837,-0.04241045552033285
POMC,-0.022046914236756764,-0.03185234699581277,-0.012354528249030876,0.07680320419339978,-0.009896835425803021,0.02961180110097533,0.16040816591249793,0.05552790450838976,-0.01783676007185933,-0.007346363454530858
CCL18,,,,,,-0.04926093266424066,,0.013827893781140107,0.05825051058562091,-0.02495963944708163
CCL17,-0.01132250745728864,,-0.013279517579130084,0.08279849582453797,,,,-0.01579757746848374,-0.01772870819627216,
VEGFD,-0.026305809391318657,0.033559449427172885,0.004895573067796699,-0.010643869905026984,,0.06596076018802167,-0.0434109594105094,,-0.002888983730709203,
TNFSF13,-0.016286678674469833,,,,,,,0.12108947952524181,-0.00899042202738528,0.014011103547458492
WNT5A,0.010814228527738199,0.09286196791062658,0.008666499398964288,-0.008647947287181754,0.0028080574029590365,0.011162589686635912,-0.011435577795960663,-0.014492068042965229,0.001556561039698173,0.07638017301269145
CXCL8,0.003721943286405286,-0.022167789491601954,-0.03331141096774016,0.13028151092289583,,-0.10548033343970079,-0.04364642821471564,-0.0575487943185576,-0.07167611956054704,-0.0644140015770874
GRN,0.012159813990966377,0.08434493164042967,-0.001059429920447784,-0.010595639788527851,0.05148674214499824,0.046510351122387154,0.08348939191084534,0.09970986827977714,0.023500853397543788,0.013486524568056409
MIA,-0.014423787998132315,0.05965667921764543,-0.026101067462027047,-0.012105160438838136,0.04958765327812513,0.01649962231236443,-0.08683398929332556,0.030752293427918426,0.11942104629962019,0.1000944994298363
COL4A4,0.00933701643676691,-0.01246060109775609,-0.013864227203243833,0.007827154789390035,,,0.07805168451494933,-0.03062345417573287,0.03793533859353959,0.06259735984189177
TAC1,-0.020342172399389246,-0.06801943472217205,0.015591973838420791,0.005741086954626588,,,,,,0.012211417931666779
RARRES2,-0.005576437579851848,0.10250220772987072,0.04377663835137574,0.007448857971311592,0.0002350929892186472,0.06534050228557448,-0.10597721027768672,-0.024201217281314198,-0.01979519882305947,-0.032943989193223416
FGF7,-0.01214633542663233,0.08713882414150532,-0.03160527851273665,0.011709125926931128,-0.07316616272230511,-0.037660081428635285,-0.033511513525360616,-0.05529607469581182,0.022099812529379006,-0.025577337832165325
EFNA2,,,,,,,,,-0.020535697680324604,
HBEGF,0.00396047384416354,0.02696629411116434,-0.013479321583233658,0.023995516497951664,0.11909225369851908,-0.08738368837971128,-0.012314076411804395,-0.05414673584768777,0.0022758401427713385,0.003063348303049402
CSF3,0.06553144564133799,-0.013183076124637073,,,,,,0.019215273458311873,-0.057376207461666204,-0.013528671127967044
PI3,0.043224560867462986,-0.014844317714112569,,,,0.023407827330618816,,-0.028095695908362788,-0.103178773069787,-0.01771643450167673
PCSK1N,-0.055747380200603006,-0.022440112395811146,-0.010270949211231851,0.018611143116956063,-0.011834305878864084,0.07321117560882653,-0.014471807253901908,-0.09860655156247312,0.005636776950463172,0.04118107525680187
