,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.01855793364615886,,,,,,,,,-0.032489709275963424,,,-0.023562649484446606,
BMP1,0.016961244451364408,0.08008360250576745,0.015844604865500884,0.108378303034879,0.002129705062470851,0.018204846578531653,0.020280662928834365,0.02517824066119165,0.035042999428582265,-0.016204464810945608,-0.02247432308489526,0.029510821763248922,0.06721875042028379,0.10220797846932383,-0.058310743149879524,-0.04284575014476979,0.08306034143010928,0.04639156446185633,0.014342277531308411,0.09815797798819448,0.062290368823203206,0.12321896823230416
NDP,-0.05349597763515599,-0.020078683416484024,0.0033312985762812652,-0.0037803327084836814,-0.060049446499724435,-0.028322308029527565,-0.01944464745678946,0.04299949453493085,-0.03405933648564922,0.03761519577132679,0.001307031738468953,0.04458872405076663,0.025185297926425532,0.041691261886013874,-0.0021101823118598925,0.019982804152176046,0.05163246282729553,0.06379069736015434,-0.02176515985800005,0.0623226699066817,0.048799049346385785,-0.04787602541760488
TNFSF18,-0.021153801817755953,-0.025517634387413588,-0.022802274072788984,-0.012027913115425224,,,,-0.019545628602303747,-0.027557974340110952,-0.013506324708277803,,,-0.028742946675563867,,-0.06580953551486907,,,0.02825129271395167,,0.10113111823467018,0.03403094433770565,0.015475352188059548
IL36G,,,,,,,,,,,,-0.02409750198635132,,,,,,,,,,
RTN4,0.0005907461329032877,0.06558243242317302,9.051156138521952e-05,0.05732221830942761,0.09506081059281449,-0.0022322104280693804,0.00306865420506735,-0.02264611766416283,-0.05902289740813663,0.013528787519852177,0.008164813509711787,-0.08152195124314833,0.07447714052096553,0.030912740691190082,-0.07318999593584384,-0.05977386564132237,-0.09193369998651456,-0.09960659885705558,0.011978019752058857,-0.041442889337637186,-0.034395529625006985,-0.10803270928163884
HEBP1,-0.016550765680608655,0.043672522428521605,-0.038293305329103314,0.04904532130822111,-0.02358197579628626,0.042560670740992936,0.004096316205677381,0.043345394369411344,-0.0201789968350886,-0.00010088793572862147,0.034913939671724646,0.027508525207676965,-0.04404337678029143,-0.0052155907257958245,-0.04148678203836654,0.07122498167461835,0.10075656921537213,-0.08230553682526526,0.009349404015648686,0.0031212381755813816,0.018562103031940443,-0.014810163793153901
WNT7B,-0.018635836845945764,-0.05955844231853046,0.03024094096338071,-0.014953823696061465,-0.03985030559587712,0.023528868326649643,0.019511488860666767,0.08323464005609257,-0.06679005424268245,0.057322657414331464,-0.011083479626138534,-0.013605489564127968,-0.031643178822704864,-0.0168005701122601,,-0.02545304931831665,0.022189205261665533,0.00831644013591528,-0.03410682265772929,-0.03060752334286382,-0.007235614495152539,-0.008226876492029519
PTMA,0.012376377295415492,-0.09164884326789985,-0.07031621131182363,-0.0108164763491135,0.02561619506857952,0.02423974855282414,0.031679960452980716,0.06811104289783745,-0.011469195823066365,-0.024959911914501236,-0.04490945768669963,0.09985976099704061,0.03418128824310054,-0.0783656542410188,0.005183534942249507,-0.09864923698794024,-0.013372968843618218,-0.0923433306014725,-0.01292509962897354,0.04258526694626484,-0.014113747729245677,0.03128768236006134
FASLG,-0.0186358421142491,,,,,,,,,,,,,,,,,,,,0.04149605088391575,
CEACAM1,-0.025876029870695913,,0.10396895157065203,-0.020694982539122008,,0.004063817139901718,0.03429314682782207,,-0.02526462722524199,0.01799845156121134,,,,-0.05670877144993886,-0.046275272290955856,0.04352900047324296,0.002207149554166668,0.06582354220638163,-0.022637194237346867,,-0.028433522557159557,
PDAP1,-0.0034367606310886463,0.045449496097918915,0.003525066010220583,0.055541207049752364,0.022678165907038982,0.002201439005014125,0.02182283640947367,0.041420075669457435,0.016469376418722842,-0.028362883779135633,0.05481255813326877,0.06507555122097333,-0.0346550070190999,-0.08713025666403362,0.04638503352903337,-0.048241380352216146,0.020368230925322396,0.024164371948231057,0.008317636383451916,0.07899269471093748,0.02606329307505772,0.042507761381318475
QDPR,-0.02117725095581434,0.0015078659752429543,-0.061552004999378185,0.0023950520745491615,-0.051377153236367594,-0.06326198722913826,-0.02004838082060319,-0.08037095697664805,-0.029205647762976357,0.0063654359843164825,0.043111125439285095,0.012074817462711818,0.09035920219018648,-0.03724897580990062,0.004527268846036173,0.053266670762255254,-0.009575299900684089,-0.07255916296629213,-0.05391243714006925,0.0568181952760022,-0.02021703599223606,-0.05976135769023763
