,UKF243,UKF248,UKF251,UKF255,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01536775213715043,,,,,,,,,,0.06046775310645563,
BMP1,-0.02644925007116248,0.017374381058331587,0.03846879801467128,0.08774913700210792,0.08445028187234405,0.05637243521912109,0.027141428701710133,0.012919107341257162,0.05821307116381307,0.011058327057520372,-0.10214157769178489,0.10405842346967976,0.05208622057037432,-0.05225937952785168,0.05713678270114918,0.0955027364441783,0.03947718318266569
NDP,-0.033533918381578535,-0.03821742382104431,0.014463551016710216,0.0769800029170629,0.00920920970502216,0.02080244875443355,0.018670732134547282,-0.003566063937736982,-0.019691566262144283,0.027516718202708308,-0.0630961568915088,0.0655319199962649,0.05228537654505442,0.08318214330134611,-0.04948538408261513,0.05792491037251206,-0.10459359223167523
TNFSF18,-0.025747744944083415,0.006337451377185926,0.02086181186172265,,-0.013291559787160224,0.045109203256849396,-0.0196842821272383,,,,-0.02942882803091293,,,,,0.049575814386339206,0.03903399816482646
IL36G,,,,,,,,,,-0.014899816502640367,,,,,,,
RTN4,0.04625354121782496,-0.05255641272781498,-0.02775895961219735,0.02343190830977535,-0.08054388823685882,-0.06904489494937999,-0.013771813650103605,-0.05675029205539912,-0.002688898572210906,0.016211983997297702,-0.02379928324053276,-0.05727863267749067,0.017107141316133914,0.003987281617876208,0.020238442137480942,-0.04601376984997757,-0.08597008872992336
HEBP1,-0.023022663435091538,0.018056936424536322,-0.013087611802486961,-0.06170585974302641,0.032095221539061254,0.01767855549105694,-0.030554853842704923,-0.003073199862761318,-0.027817664251343157,-0.05318739130175843,0.012754633606720425,-0.02877603410678187,0.03771101555629842,0.02476424268298065,-0.02052497169245776,0.07340879729287209,0.03325304481220182
WNT7B,0.015590684612175118,-0.028000911294361875,-0.0168071410330764,0.04752812971951478,-0.02959589080371465,0.013117344592723372,0.016691091359644663,-0.017860924798216483,-0.020400361105425507,0.08817703822769507,,0.007582712042139589,-0.004448646064060497,-0.024232527945131806,0.0053573784479858996,-0.03138795676028898,0.006118094930500846
PTMA,0.03458034243794107,-0.006286618521053619,0.06394213401591804,0.06210787062749149,0.13020472989686724,-0.07786745438177001,0.030584489835238437,0.03138871635756199,0.1012183774730474,0.011083124609162345,0.005436271980780924,-0.12466686436797253,-0.06474148971320727,-0.005448445443248818,-0.011333247890804584,-0.007328184780170506,0.09233535071993729
FASLG,,,,,,,,,,,,,,,,0.026034748247287857,
CEACAM1,,0.03215906722708379,-0.012898469861422445,,,0.04972638473219432,-0.011999007659384787,,,,0.15670897781312879,-0.030154038100917133,-0.01850439200402877,0.05255754599041101,-0.04559002530441568,0.023256505371978823,
PDAP1,-0.015719555636084417,0.04691662129402718,-0.006556821523158332,0.05249471675038715,0.019931834011256082,0.018955675839046306,0.002151004785203179,0.030617390143885297,0.06840770381452407,-0.026461486647771842,0.017100937508934825,-0.035496256130971744,0.035604353276027394,0.019209154245476392,0.04533710545622652,0.02311527752041466,-0.052819386046306115
QDPR,0.005517244100905872,-0.04462465904233553,-0.029321305689275174,-0.00044881841048357077,-0.06493407911418761,-0.11642447160205278,0.039872321372967354,0.017212094096240606,0.06886177498452524,-0.013339528607154654,-0.014971386035572213,-0.1431362095107541,-0.005779418138141008,0.06215615466107973,-0.040864431859462653,0.08166255857897692,-0.1682163448407758
POMC,0.07957920152366516,0.07376602892846582,-0.008920422224117035,,-0.03506581549869981,0.04472480169283662,0.027443466799266427,0.025609092029323842,0.04933264294580495,-0.008845861472254652,-0.07620405528756964,-0.010744177992907467,0.07427989511149218,0.04744688134076045,0.006980748395280864,0.0770606077793955,0.05614855210240246
CCL18,0.05244318129481914,-0.034899752804914065,,,,,,,0.12666223787177125,,,-0.0213797087934949,0.026265380292024285,-0.0062634053993192145,0.0411636573777392,,
CCL17,,,,,,,0.06686135371804469,-0.022106817983615187,,-0.013611405380809063,,,0.011389231007508457,-0.02194772016476601,,0.007868952534786174,
VEGFD,-0.03890504058017041,-0.02424822881379396,-0.01847447026465549,,,0.003938361647165623,0.0065647094073212715,-0.016215618338139018,-0.022214493737810117,-0.014587764737255713,0.2093747293945657,,,0.010653983253008828,,,
TNFSF13,,-0.0263364817561502,,,-0.012890040217761505,,,,,,,,0.0479655892359991,0.01897874661356715,0.00867296002959918,0.0394500022266746,-0.04389439924113211
WNT5A,0.043599087738700235,-0.0036065156200523808,0.01129876431064013,0.04109502307523948,0.07305596755202783,0.08835308756547997,0.05554637522816325,-0.011085738201831922,0.015898015772175884,-0.032077157105926624,-0.06288538982426148,0.05499807234524919,0.06808334596752358,0.003924351919899663,0.020731702793794046,0.06761393943423441,0.16078283481427913
CXCL8,0.07062626953015556,-0.03792655245482375,-0.01729839893904874,0.0237953852100508,-0.018335246172641647,0.02690970963867697,0.009224449260209766,-0.015100688875000927,0.08799549129263357,-0.015712408241619045,0.007998920601685186,-0.03764234342142561,-0.030269424016073448,-0.1848564336091232,0.05232322556573712,0.020764808141735928,0.16321543845842593
GRN,-0.016878074383320524,0.02990231073065332,-0.05480200659469232,0.01297558374961002,0.09398087974234541,0.06624285210304819,0.011454848816819914,0.05071780034142274,0.05237716415187182,0.03497303263728314,-0.05503020011335853,0.12012349776342518,0.10353739520319298,0.029592018804369628,0.048939502656078576,0.024360928303805884,-0.027632505200264515
MIA,0.013335755462811178,-0.06357983444829701,-0.01642990188151673,0.08910425380912987,0.0389351686458637,0.02734184519120528,0.0018635276657228068,-0.018441850882208902,-0.030126844407120837,-0.019978612329339132,-0.019356540814068728,-0.06782022589513338,0.14153606470702362,0.15621322174622013,0.11887912051181124,0.13465117558901868,0.11525376954865967
COL4A4,-0.039164713089118605,-0.006773473870922661,-0.0025904592965402123,0.021737818762072425,-0.01226430377986285,-0.015143779057190939,-0.0033821218367562377,-0.02153755486361956,,-0.019379995147963812,0.09468860280226438,0.07381430751874468,-0.01785543772263666,-0.010564665420463616,0.06830146232072343,0.03720845288448861,0.007034194860730905
TAC1,0.029088408039054856,-0.06744761959285887,-0.030739846184779582,0.031931957797373754,-0.043955585056462396,-0.02132556608003053,0.001621183350641867,-0.009048903769519159,,-0.02387163201671793,,,,,-0.04368582447782457,0.004550390353496679,-0.029063671220227905
RARRES2,0.07414066578583987,0.01218674802499337,0.051033174488147696,0.004778251250878638,0.07878601595055572,0.09236413554531585,0.01804969870476991,0.06031877979011348,-0.030281682316792412,-0.05392384605671658,0.10344979753976172,0.03750406002033415,0.03293718005205369,0.0010865202002099783,0.045904728263467094,0.008757533724241122,0.03454368667881947
FGF7,0.03085921384088841,,-0.005306375759930877,-0.05584697599263446,0.007662792950667318,0.04722656716476356,0.00308353756192268,0.020496580808501943,-0.008692768970303749,0.03607740357425992,-0.005098353308919599,-0.019744171333827273,0.045539572966948036,0.07854578272964004,0.073143807932508,0.012414569793666013,0.0013398711260140988
EFNA2,,,,,,,,,,,,,,0.015715715451581024,,,
HBEGF,0.04558201269166289,-0.02506882982151028,0.01683850102510527,0.09342494960784761,0.040582887566574265,-0.017603226524677478,-0.018583972975015135,-0.0271384466058205,0.12077862148530007,-0.03931294334746819,0.02107094751927069,-0.033254220464718494,0.027633811080697974,0.020623061046323197,0.04705396223411997,-0.045975542990558754,0.1008202907021295
CSF3,-0.039164682082298265,,,0.008749404002833704,,-0.016021826760956526,,,-0.03337341683388646,,,,0.015104942760191673,-0.107202661151679,0.017126444489334695,-0.010011703237932162,0.15230336534390446
PI3,0.00383360918612502,-0.00015221182659197138,,0.036024366606879736,,-0.018040788398061173,,,,,,,-0.05034661705270311,-0.1282806505141332,0.0747525388763851,0.012747224930706501,0.07454225790646939
PCSK1N,-0.0638951288013477,-0.009249027558704161,-0.005372198926524508,0.01329590241127317,-0.03942791231054027,-0.02024984684485493,0.025297884939228278,0.022282944786969332,0.0572066587292005,0.0001664723325856207,-0.019237593018446224,-0.027669485387907863,0.07724244970826796,0.05082639237259101,0.08427234153397788,-0.020092917514317025,-0.11742519516163666
NTS,,,,,-0.014971928365099236,-0.01969275237662317,-0.02928054957354336,0.05070334910464297,,,,,-0.0017278166360012984,-0.06430080024434714,-0.048723486212754206,0.11828536048913606,
SFRP1,0.007746750116651354,-0.07287595414665701,-0.024697886240740236,,0.06796194532305316,0.06869143193995063,-0.02078392872717862,-0.022106818206249,0.03873890412584638,-0.010775523239856814,0.026303668777086137,-0.013182971125731684,0.10869513775604993,0.002703373944200677,0.005883327913539188,0.042201550924394086,-0.015128642469993762
CXCL13,,,-0.010796615147653541,0.019957672436171806,,,,,0.1023714154835339,,,,0.02697567469671936,-0.05443430422580373,0.02936362445987447,,0.011772620104028063
