,UKF255,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,-0.04595881597626035,0.10432094274823327,-0.03245997371308371,0.0793903086316494
NDP,-0.017764650377948724,0.07161955015426368,0.0979153125163261,-0.05048109212542424
RTN4,0.08992838033654432,0.04162353985380298,0.05691040691833919,0.08616547163986585
HEBP1,-0.02322931473278728,0.07433264601964448,0.04361789780260033,0.018386797825211482
WNT7B,0.026025793486788934,-0.0822699890997942,0.005302717577041179,-0.04320519230371982
PTMA,0.024034664222992837,-0.07136448847079878,0.0342708856758559,0.08474119739779269
CEACAM1,,0.0032610919934154565,0.024894486316851476,-0.008219628820643395
PDAP1,0.07817258421938167,0.041237785799731905,0.01198061564137853,0.06487722783810036
QDPR,-0.025956463180545394,0.014970336178271764,0.10286019902689737,-0.08650200697984904
POMC,,0.0643308778360087,0.10000348393095386,-0.060037769594006356
CCL18,,0.03920891812479002,-0.0950335068347579,-0.0025128765819072193
CCL17,,-0.051152404179392326,-0.02936589938079856,
VEGFD,,,-0.07295466046686401,
TNFSF13,,0.08209595457259983,0.0821915137487056,-0.011150599583509467
WNT5A,0.03603717668255035,0.07754201896148323,0.07238652799896811,0.06245075244896587
CXCL8,-0.018926023269585982,-0.09714431360872006,-0.29495641269186934,-0.0600273905837786
GRN,-0.007983065436946364,0.16825638690665354,0.06324559457374583,-0.02649945018470509
MIA,-0.03588869491447858,0.07148382177071769,0.023896459731258795,-0.09772853353536073
COL4A4,0.05393796921868537,0.07053508968925427,0.07128401141050598,-0.025091891644641113
TAC1,-0.03055170486420402,,,-0.055665813161293896
RARRES2,0.047470226527153526,0.010861512873401511,-0.05075682798620286,-0.036137183450465765
FGF7,0.17239380588939196,-0.024969741044221026,0.008039261409665559,-0.04345782445896545
EFNA2,,,-0.041053569219343326,
HBEGF,0.0050182253567318,0.06610730815711177,-0.0023164358806989347,-0.035915873602976885
CSF3,-0.03886495646787197,-0.03538352661777524,-0.17509980261790567,-0.03134179659841768
PI3,-0.07314945483400558,-0.07531922829847476,-0.2250243090944989,-0.05863143902452135
PCSK1N,0.012286671781649253,0.03634307399919284,0.033244430866829815,0.020854076070325852
NTS,,-0.04803497007391024,-0.048220046204900016,-0.0951018426950723
SFRP1,,0.09603067692501434,0.014481968385862541,0.05117001919968827
CXCL13,0.10747886733909766,-0.053182778850641654,-0.10223588188800244,-0.09651423758049991
MICA,0.0320669792295371,0.049696905855411276,0.05739597220131845,0.02295594101174228
TG,,0.0014175099463387896,0.008203831806461302,0.005124046610048777
ADA,0.11516731272275699,0.03258521096471707,0.09312144206981451,0.05554736526937757
LAMC3,-0.019893184073783092,0.07456888680885818,0.1204207992159834,0.09291206509367252
CCL7,,-0.03826401511809876,,
