,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.020688231023163774,,,,,,-0.020915620924416106,,,-0.001885615338594035,,
BMP1,-0.013440247516131158,0.01566631612783925,0.030419210769639483,0.013817036473652594,0.009022177449303266,0.1095993779311259,-0.054663380134330905,-0.02970151981033944,0.022942483931753712,-0.009635888825984979,0.07143707203702142,0.01037165864491139,0.0088946354932484,-0.02979351677374721,0.051953892138816016,-0.027671731049593556,0.027692541926927314,-0.05671922400306083
NDP,0.021561162063932104,-0.04498707782698133,0.0060492214893450805,0.015281743628877048,0.04578297895863168,-0.02680038905489872,0.009034085461358388,-0.022100838384757012,0.012271305829328708,0.09733943106839026,0.04638221732295273,0.06373003320222138,0.013389704225288332,0.09980036511830143,-0.039591933153313434,-0.038575247277850215,0.03134067836280672,0.061322073040986996
TNFSF18,0.07939202769712911,-0.01958115303989743,0.012137501284079259,,,-0.0122131917229923,0.06947539679333571,-0.011098932834487969,,-0.0104032738844874,,,-0.021569910676960763,,-0.02954108456847613,-0.03593882659565962,-0.03062211456950531,
IL36G,,,,,,,,,-0.017297024629589847,,,,,,,,,
RTN4,0.007969902994782738,-0.012148296653889718,0.010891061898479189,-0.0170267753954709,0.0690685266017137,-0.020693347525336272,0.05557997855837728,-0.03593315515805764,-0.020317760590422448,-0.03162409758408187,-0.05856803478105907,-0.07828276399083293,-0.010328028825699734,0.01074318805971884,0.002381362034722569,-0.002322798617444393,0.02008176682936298,0.05456965764000101
HEBP1,0.015850127137090435,0.03900387251039872,-0.023305256007412498,0.039465679676901996,0.02501765320674293,0.032006397044028224,0.00745322253845062,-0.02133147431749265,0.029801359798502722,-0.13809458532597546,-0.030951012548346268,0.06546586133202353,-0.006434961764717992,0.0025222440778631438,0.0031053106117380942,0.011511201293434963,0.046605404170594555,0.04075581969985587
WNT7B,0.03859898533531132,-0.04570262886250461,-0.03783921023954818,-0.007685501198947297,0.00993236053750764,-0.021052686073778124,-0.022574405120634206,0.05478018762535997,0.05371114435367628,,-0.034052723952550996,0.0025672461253946847,-0.0207786912389273,0.01146348315180222,-0.02954105393659055,-0.027014857756429717,-0.023438996011191204,0.03747191448887357
PTMA,0.01250912341965675,0.0856576622815362,-0.011836059650779863,-0.01760044481859275,0.01188141237344669,0.029472104972856728,0.02193167419933881,-0.042026221009741196,0.019600306564804347,-0.012369553395889943,0.011128101241899458,-0.040216427285965646,-0.04402829959410442,0.005019468738294359,-0.08040938750395667,-0.004958109307775876,-0.010466131693542779,0.05052623113578008
FASLG,-0.016736854324988754,,,,,,,,,,,,,,,-0.01847838508705085,,
CEACAM1,-0.023239268705960773,,0.05057194586714877,0.0072963913883943915,0.10162039833637468,,0.02567535174941794,0.04818565657393026,,-0.0352614916660277,0.06170126358924996,-0.023621185595870845,-0.030993709713638188,-0.014826658843116418,,-0.025709958867866416,,
PDAP1,0.014566306632966075,-0.05132974600840743,0.0034825484058344618,0.04878133959309027,-0.001424887241975753,0.07197495459350838,-0.00295949528805249,0.04461011926369889,0.014676087553463044,0.031138306810127758,0.07722841779368377,0.01874992901420334,-0.018016887981981214,0.0973013225503245,0.0586716479712771,0.024642925482808612,0.044651078765570694,0.013228413568157989
QDPR,-0.034378229478425795,0.011637199010995235,-0.04636882031588442,0.04920044541791335,0.03928203118161772,-0.07550847134728522,0.05772284435423331,0.04301220095149144,0.01400027789758008,0.07999471759575039,-0.09704665058602882,-0.018374871866224184,-0.036930157723893575,-0.0031548746476687205,-0.07281783952152607,-0.007687706741715131,-0.021310837472548534,0.13609684311554185
POMC,-0.018961960957279735,-0.02027714437245936,0.03710923559892528,0.0802142360452177,-0.018857939022561575,-0.032220863048925553,-0.05211343736786992,0.008304999664659732,0.004050688659193802,-0.018547193658134856,0.04856482727338479,0.15633085379318598,0.036067193172245375,0.007358648238420184,,-0.026143479044008575,0.04296867300564777,-0.06742489884677058
CCL18,,-0.026259936271666458,0.031803530672271006,,,,,,,,-0.021652673156755013,0.145391207242555,,0.020768524964896975,,,,
CCL17,,,,-0.026112855013711002,,,,-0.013842530140455216,-0.015801323061493063,,,-0.01675808788275024,0.048516168708347816,,,-0.016748580596240323,,
