,UKF243,UKF255,UKF259,UKF260,UKF275,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.023562638127029634,
BMP1,0.038862602085654514,-0.021210461140969583,0.01080470576745328,-0.045226796344080195,0.03917184623091383,0.009481353514920436,0.0032541167840897784,0.07867930673128674
NDP,-0.0019340044902880558,0.08192257182792399,0.007475026167097625,-0.00810783877313723,-0.00018824827616808432,0.02915543856204531,0.004429639616340427,0.0805207207990133
TNFSF18,0.07566706926086307,,,,0.046631968229045515,,0.0648749743637414,0.09396983450116679
RTN4,-0.045231234199971986,-0.04099199474658883,0.02477707875376611,0.0056851161602352275,0.05114807500170058,0.042447204504781476,0.004920585827515637,-0.09417706439733926
HEBP1,-0.08738029748506977,0.06759393548254924,-0.03214866937051469,0.016386632164134253,-0.015685540117182546,0.007505556310787944,-0.006105821775271747,0.03177034468829502
WNT7B,-0.06525383055482008,-0.0027576629352330396,0.0009060227691520886,0.023656013891882623,0.029687737009268723,-0.025860407247953292,0.11297341456750302,-0.009484704826042394
PTMA,-0.005051947839029939,-0.027984206630150197,-0.006374099396443165,0.07922786623873732,-0.015672600096356556,0.0571492971394652,-0.045192444962525495,0.004605483038321702
FASLG,,,,,,,-0.02043586800906265,
CEACAM1,,,-0.009807251944024707,-0.014562086703078427,-0.006166384976488379,-0.017163928396483053,0.07390688002630326,
PDAP1,-0.00962547349288675,0.01980427717087533,-0.022793329653976825,-0.0022952633307087955,0.022778422581606807,-0.019543025158095757,0.01169630441286147,0.045745317766438046
QDPR,-0.05593066715770551,-0.03700899688527976,-0.03559620397577074,-0.035605816106033125,-0.007058519701294319,-0.0239508754416886,0.003700453881532606,-0.09588302882482823
POMC,-0.029890078597311083,,0.025893343233022437,-0.016165273575203698,-0.006339925376203255,0.0003666189051347902,0.03654965859392829,0.003932829626195463
CCL18,-0.03749371698085267,,,,,-0.052477088979561236,,
CCL17,,,-0.025979574188874918,,-0.021575051033457728,,-0.01852281900130817,
