,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.030840830301893517,,,,,,,,,,-0.02168418665984676,,-0.004037685057478617,
BMP1,0.034876718135335154,-0.01620262354315276,0.057426859978064924,-0.06250274808592747,0.04102941041842843,0.02958888992513855,0.09367109761346422,-0.03848411330684992,0.027526507806853118,-0.055074085111519115,-0.03387213087215225,0.01399384457759575,-0.03841029572971527,-0.0006108858240612101,0.02178884981065578,-0.011206229971009642,0.060001983241253186,0.000106460620738685,-0.004699401356090651,0.07520359722848909
NDP,0.03900233874995058,-0.017255767902794743,0.04819955501519032,-0.03124604186691341,-0.059266111221864724,0.029144181093403096,0.014255782131878886,0.027872911398098072,0.04457637369042453,0.017363212970861283,-0.03505050172271518,-0.005859784643897495,0.049822059268928486,0.1084829194593071,0.028099350098223532,0.012907760819815456,0.0852371992864655,0.006799260711694088,0.1441453354503504,0.1115224820189522
TNFSF18,0.014016169866822976,-0.004736289127561707,0.012573077797076048,,,-0.021853000283623664,-0.012088319187765529,0.053489982915816164,,,,,-0.08588696228326777,,,,0.001186837081407262,,0.055374519367170104,0.03997264780666988
IL36G,,,,,,,,,,,,-0.021998691729058634,,,,,,,,
RTN4,-0.028443333566091106,0.07885698089010215,0.03912388953174479,0.0450799526847226,-0.0007702544537963418,0.05458990370908488,-0.17436669497017385,-0.035220526538073234,-0.1399024479986012,-0.022982129738465928,0.047134992947712374,-0.055681633456783286,-0.0036237352102338146,-0.10963327644611529,-0.017015086022284277,-0.07097126533295868,-0.08607208690421106,0.09484205163289681,-0.04369990717771067,0.03375280592510516
HEBP1,0.0756848968892833,-0.032257048595772,-0.015207990548042054,0.06712678331038163,0.053702045001412076,-0.04315840805550298,0.062420681205770906,0.07633514712379491,0.03442381129050518,0.015432165997670142,-0.027540411596475523,-0.008133301853939309,-0.03897978082510688,-0.07066565378646732,-0.02613010100661559,0.001219841711511408,-0.013107019840003158,-0.008141941668109488,0.1251934026277237,0.04865402795072959
WNT7B,-0.023171764426223075,0.007510910880766957,0.05037998627143421,0.006495403917554666,0.0010550183846265624,-0.010138496920428085,-0.013034559106201283,-0.05069958130355191,-0.05128649729586307,,-0.035749273809944526,-0.024179097370257134,,0.001204556228425055,0.04765808390639146,0.003929786748625214,0.049214065613815784,0.05953118152054945,0.0821891233537518,0.07749512800213018
PTMA,-0.05301162760018881,-0.00930160715057834,0.012988527480205314,0.04803423002192793,-0.015403521189353812,-0.014213665496137977,-0.10254551915692793,0.06435077407305917,0.02245389792772648,0.027097994279703306,0.08758850417372609,-0.001580061397358192,-0.1084663507235968,-0.1331941776597267,0.03979043878354038,0.06251412359791092,-0.11107001784995521,0.01347593943636918,-0.12207936016809791,-0.034237933719754886
FASLG,,,,,,,,,,,,,,,,,,,0.049100187422190716,
CEACAM1,,0.056256546471111314,0.07446357062367247,-0.04295836912059626,0.04440824437001819,,0.009249810721939403,-0.012898789242216699,,,,,-0.07448884943469121,-0.007508142138839273,0.0033327490447187446,-0.023491952281097205,0.07746749319879669,-0.027246230817678452,-0.0014256835717743187,
PDAP1,0.016923124056778024,-0.03692391310258287,0.0287558686572485,0.014962242137294038,0.05096751104864293,0.012745162861635803,0.0753378829476552,-0.0020239671471220947,0.04794016628744178,0.021602006563254828,-0.01054078650975361,0.010013726174691573,0.015958892632821707,0.030879811605182262,-0.10026729507454982,0.03356576501347484,0.03138636651990959,0.007411275089395971,0.09115953560221597,-0.01823173356722501
QDPR,-0.020244095579545623,0.0005323316453431008,0.012484079371946332,-0.017701307687333672,-0.05334071723094052,-0.0019467261533465373,-0.12331152823303534,0.04375038661430319,-0.0015959352002699327,0.06948795521033102,0.06528063363661521,-0.002141241655411026,0.01204217752605827,-0.0923252346178638,-0.00411600375972178,0.003005493568973292,-0.10370869901321575,0.00587186392076823,0.0954923787258266,0.03977061598256334
POMC,-0.046397436684070474,0.020920851787995045,0.025523138420027437,-0.0013635554365788404,-0.044437262159448106,-0.014443134164153826,0.00791964187327196,0.05560146895944193,0.024661246417443564,0.0222330229019875,-0.013655062857091149,0.010667842600198752,-0.03424049333929884,0.07321450833350944,0.015057386842672885,0.07545035761641376,0.05885893934007904,0.0496170527866699,0.052725630852722354,0.05604633834268507
CCL18,0.11062344947297255,-0.023145816884459918,,,,,,,,-0.019005942647463574,0.0728236519718005,,,-0.042684672368872766,-0.02620446812885398,-0.041651010662991476,,-0.02835815810764073,,
CCL17,,,,0.007732199692709293,,,,0.008490815707896218,-0.022915526149482182,,,0.18670532931525433,,,-0.020449250887035395,0.0160254863061834,0.17972180814336142,,0.03680096261363491,
VEGFD,0.03363610471530688,-0.023145824234340865,-0.0204765843611416,0.024215829158163973,-0.004087228310818005,,0.0916916789235053,-0.03714928629928823,-0.027494256322843556,0.03373317926535594,0.08818545213495387,-0.021537965881261178,-0.03914482004334971,,,-0.0064134002142350495,-0.030152937554708544,,,
TNFSF13,,-0.017466581712376486,,0.004606370773181104,,-0.021192851482094228,,,,,,,,,-0.03923904092761464,0.05457046080655356,-0.014419438834446841,-0.004005047029790424,0.00609635059393959,0.05159997336221174
WNT5A,0.09442520837498251,-0.009377446267031861,0.015234992911859356,-0.0367208776390505,-0.014439929274460271,-0.08811947875041486,0.07569983503983961,0.05796832770308729,0.05573772219408869,0.02566217988160923,0.004966374618329289,0.0002053366399671878,-0.08289341528028132,0.08764345184000764,0.01022283046735133,-0.005311073826633456,-0.04677263474329174,0.031023635230906354,-0.0031756140891271165,-0.021187493726381523
CXCL8,0.06438415627714732,0.05468568469051923,-0.01917305990991126,0.11772680801815462,0.06485747229714375,0.07291552855098031,0.06900287963158741,-0.0005448971209431641,-0.013138906257385858,0.02528605860114503,-0.011002360302844889,0.03770867575214293,-0.001646398126544769,0.008225538061673442,0.02458875027920609,0.019408494061264832,-0.012950501533087548,-0.02820536969473958,0.02602051964173529,-0.0667316323467987
GRN,-0.0011833467393017702,-0.05657379166137796,0.012100152555029603,-0.058006357153731605,-0.03052826398116338,-0.035643241639601746,0.11874743693725069,-0.014402083570791228,0.07620807623101772,0.024924318485551687,-0.013234904401810396,0.00969039170564743,-0.04591464471786539,0.05564898789269287,-0.07703612336898903,0.03512588794985475,0.10882640272175186,0.019600521388181805,-0.09791354873244898,-0.05088235100292174
MIA,0.07801498718685498,-0.04611446752173093,0.05395504057948815,0.04978926750237312,0.08757833887904551,-0.03832076275866196,0.01465252711411808,0.013402319815534067,-0.0403090022490331,,0.07423604850542871,-0.0294972313068163,0.03858933126736997,0.08049959338277983,0.062050646553474274,0.017703458865707365,0.08342913330567449,-0.017523060875390864,0.06740257248232995,0.01153597502737265
