,UKF251,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.030500235919651692,
BMP1,-0.02068875714281872,0.07184081747615892,-0.031113187899387648,-0.015222031824800766,0.03498528594109884,-0.06329043758714172,-0.04631255543982464,0.03601881973148425,0.013567941887747294
NDP,0.04446424854143073,-0.03488202725572082,0.05610875209933149,-0.04503557990773979,-0.003948443354308957,-0.045159658151835654,-0.12398735181609288,-0.008213226299422262,0.08244191044096952
TNFSF18,-0.02378581165388127,0.010415088547336348,-0.010799995582131886,,,,,0.011856646544725173,0.01748339720900496
RTN4,-0.060100858856359296,-0.04258670813077236,-0.0005013976088391138,-0.02698831389760336,-0.059336132680576366,-0.059624715952741776,0.006254199100283438,0.0029485710827453363,-0.06419179016413329
HEBP1,-0.01790968266925731,-0.05194227432782444,0.011005602460576046,-0.030504172559895338,0.05203161397911334,-0.061112791714489884,0.031191887286591682,-0.009836117944282035,0.018810288438418213
WNT7B,0.13647316257741057,0.05240542815727523,0.026673444073030936,-0.012074435701481388,,-0.006542953392918394,-0.026446333146436674,-0.01845813009267669,0.04366844044753084
PTMA,-0.020001232940428475,-0.045686008864923536,0.013344140806454881,0.05951060021245078,0.13265603146842048,-0.00649825648373068,0.1439443297297555,-0.003120862171745683,-0.03438904509751287
FASLG,,,,,,,,0.08698115619187406,
CEACAM1,0.19059960324663533,,-0.01698582012414181,,,,-0.023717495165851827,-0.036805247499545876,
PDAP1,-0.06622702868306819,-0.004790666227144372,-0.007667184551269886,-0.04400871467029147,0.019145006071744637,0.0063519975894556855,-0.03259912892655239,-0.04517945598470356,-0.1285417543167523
QDPR,-0.03422644843567688,-0.0002983838417963251,0.014288780942069916,-0.06896486801611786,0.140970077484356,-0.018694682668340974,0.041811808580694616,-0.005829669626002823,0.06619709008023406
POMC,-0.020147470722361564,0.12279046663698404,-0.012531460829972788,0.06449687102552382,-0.02938690900640429,0.001976675359498091,0.037327054929268126,0.02352626146910447,0.10235929511198494
CCL18,,,,,0.12169501642079752,0.0014008592527507586,0.4836795752120825,,
CCL17,,,-0.01346969718547186,0.07128206787715285,,,,0.011296587719357685,
VEGFD,0.06359212839394411,,-0.01435082306845769,-0.022071089489490724,0.007217952728565887,-0.0223745830178393,,,
TNFSF13,,-0.014170978363320751,,,,,,0.04420838607453207,0.0601861059594931
WNT5A,0.004392719186132721,-0.040316353311718615,-0.012548842515237708,-0.02491715442487691,-0.04854547218259783,-0.045278614507769085,-0.07558165012634153,0.13480339280971126,0.036332053441020945
CXCL8,-0.01520686934426432,0.05574989672214053,-0.03427444936982234,-0.006407019024792546,-0.035287177161636665,0.15390160525774396,-0.029607381112310874,0.010011920210200975,0.050702499092680944
GRN,0.11419922762252852,0.02109891027414358,0.021572318956038367,0.04869104736791961,0.06534643259138179,0.013124626535730707,0.08055735615969359,0.1723006617171763,0.023120331914791206
MIA,-0.01444338127081297,0.01777334085672444,-0.02647486799397028,0.06035146069883141,,0.12224487069600981,-0.0022376420729746994,-0.11059450950687781,-0.04722629898381545
COL4A4,0.03310279723651332,-0.013483059832982518,-0.014062780596169009,0.015311442389693711,,,-0.021260797091970682,0.24891374262889251,0.08759158556721926
TAC1,0.001271743893935366,-0.0063192496212119975,-0.005972901501849583,-0.10361074167188367,-0.021867601453265106,,,0.10473702633607786,-0.0330243499889049
RARRES2,0.03679186452569221,0.08332883794875959,0.048477133008852674,-0.0437559650348445,-0.010264849501302742,0.16082263133560787,-0.006642165990665233,0.04375490078195179,-0.04433725516026667
