,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04005829730887093,,,,,,,,0.0012103899714105571,,
BMP1,0.011270499801464887,-0.012258217548553637,0.005425238133527814,0.0401368397740211,0.037454706308999136,-0.028128482014093924,-0.09037476461467268,0.018074737478917354,-0.2692556899751553,-0.08100591376499482,-0.010225871142308373,-0.09111792087350817,-0.16267354212900934,-0.029166002228112678,-0.08089363182223347,-0.06282841525058601,-0.015341107289432119,0.035597501748666646,-0.023394996085956656
NDP,-0.030094408648986645,-0.09566450921948282,0.04728968850642184,-0.018244531822261306,0.013386507783111477,0.029431118533976054,0.12700692337502054,0.03924314799925647,-0.08299023094679499,0.052131176990162106,0.015746193243327766,-0.026283752520493604,-0.020975091234837432,0.09858781319675268,0.1391460479562141,0.0241355580539271,0.047402761616734,-0.004736542449161415,-0.05864337716195551
TNFSF18,0.082817880868551,-0.03819162922719253,0.013583585361255968,-0.009789997651985686,,,,0.0067427329419263455,-0.0594853689206337,-0.020783144255616854,,,,,,,-0.009747081059217216,0.00480190152350386,
IL36G,,,,,,,,,,,,,0.039904138891705444,,,,,,
RTN4,0.048222701871056,0.30530094523358925,0.052840406554938525,0.04565779071314128,0.03977294720979198,0.03446908649058958,0.2322385190344854,0.11588766901031076,0.3643587153908097,0.18584305015661817,0.0505706213096503,0.2991449856233219,0.23893268895970085,0.033396413662585236,0.06576521501062448,0.11292349186464326,0.03434905906243825,0.26049728752365375,-0.052506322923533015
HEBP1,0.02695432691124518,-0.07425922008223086,-0.0007301710197112418,-0.024392854162395606,0.003406904153356705,0.00721166370061489,0.018679288624707777,0.026720228638169783,-0.14858170877829288,-0.017781930648404366,0.03336218398509303,-0.09712160917415029,-0.028950877611616133,0.051034598672283445,0.06792430008138763,0.04016679233130669,0.021120094817532954,-0.07174217602224274,0.019388835428856867
WNT7B,0.049725253339838654,0.32758037080731905,-0.02402557283278863,0.07672364692578912,0.09213439142880211,0.062919879868945,0.04512805398095918,0.05416715825457573,0.22412924693672726,0.013460460252488626,0.06568169710125916,,0.03327171533925457,0.0034076194566167103,0.026163281051015022,0.059520247624776285,0.03495149246706375,0.02232164288219255,0.004037596930610356
PTMA,0.020759891104961622,0.013052065769408318,-0.005456718006963746,0.051878495441421174,0.00302383528516032,-0.015784036106954457,-0.14555643057903056,-0.07720858811335961,0.03486133931838167,0.1272184422592882,-0.09405641529135542,-0.37590052285946596,-0.2627972163102122,-0.10304144337117911,-0.006579687249923029,0.03237324786860277,-0.06141816509926045,-0.1056930460467912,-0.1502425443686275
FASLG,-0.019736378593722445,,,,,,,,,,,,,,,,-0.02454611156978609,,
