,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,-0.013231780539485666,,,,,,,-0.018395382552662726,
BMP1,0.05617373821093482,-0.023914144936625418,-0.03760447546175049,0.04295430920373299,0.09371887418547648,0.0343798092006802,-0.05015565813431631,-0.08863280843420422,-0.1181904366968876,0.07210749418650224,-0.0027024209578245337,0.06298396493897046,0.15985357774719766
NDP,0.06001787026871313,-0.021245380309013465,-0.03176559762301959,-0.031967799935836955,-0.02738000099118508,0.03397973792403447,-0.03296581108752552,0.04253460972669729,0.015161691079365113,0.06760407393145146,-0.007514626306532928,0.010849411809766743,0.03429274228782187
TNFSF18,-0.03179350203242188,0.06695041325757305,,,0.056897097836990575,-0.011390333453262283,,,0.046619937533905656,,,0.06549758186055168,
RTN4,-0.05727179643455079,-0.03506941941164762,0.010208604286422021,0.00947864903271115,-0.09548310874446737,0.001744627758097358,-0.029134349194971123,-0.09610438732640242,-0.06740385691061537,-0.0005665618592214943,-0.02883982037746778,-0.009703741001701712,-0.018369613189989396
HEBP1,0.019444786746363688,-0.024215042188526048,0.024619596543462432,-0.017724722970990328,0.04916570940742483,-0.0014888036661936494,0.03151033267796482,0.025530642360840888,-0.046665122501166896,0.007010787906637516,0.0005364585047116027,-0.0007866860272385577,0.040087911391796884
WNT7B,-0.028782740272771012,-0.03134565202084898,0.0565685052783803,-0.04761960995111083,-0.025669870934006134,-0.0326493305442443,,0.07738252400993756,,-0.05484636642207155,-0.01915366957085235,-0.01799194003964142,-0.04256272057592363
PTMA,-0.15977570378300754,0.054531819041313066,-0.053360459615440274,0.0738267761830113,-0.03119714852584683,0.008300408561995924,0.023301140056088538,0.08554091250725182,-0.058038903243998935,-0.08551530734394733,0.02887402350404233,-0.01833787484898645,-0.015603059781675036
FASLG,,,,,,,,,,,,0.08624278489684092,
CEACAM1,,-0.02405590261198341,0.031008282998062665,-0.017345626561911655,-0.025856697572023243,-0.0022853849254663616,,0.04393127280806202,0.02394293803145707,-0.017826632385264073,-0.012712569059407408,-0.022198077729075852,
PDAP1,-0.022611122951593936,0.07047614819387835,-0.01891887513931539,-0.012526334506933568,0.10212922461130146,0.022902602546915774,-0.08482949543953153,-0.11401167273319587,0.030333499649374453,0.017283143726059304,0.015384510237521003,-0.006406907176861615,-0.025341794005827926
QDPR,0.02626986628568187,0.02559743485315269,-0.033434413790257925,-0.06958253040806517,-0.10378282756695886,-0.026161297404795735,0.013713109173609397,-0.15083404852423923,-0.0076507212242622165,-0.010203336237667426,-0.0023014323795227786,0.013559512269389066,0.0057013440756137675
POMC,-0.028296437275788257,0.01125495651301976,-0.012380297054491193,-0.03490350239990698,-0.009684036909213302,-0.013216442212813297,-0.017294134298579004,-0.06465264527044609,-0.020424931013233935,0.026508915843141963,0.01604871616438036,1.2091769926452042e-05,0.09597076639725512
CCL18,-0.0005843193731890736,,,,,,0.04475494076519543,0.1219719983919472,,-0.03487446254306988,-0.02504561587182125,,
CCL17,,,0.012213577077578449,,,-0.014205963446024617,,,,,,-0.014460789137695246,
VEGFD,0.01707281858204654,0.002810969482021789,0.03452067672080295,0.06988057009206092,0.10117657392453944,-0.015135252494819545,-0.021584117380777916,0.04905227903779729,-0.07490273591193598,,,,
TNFSF13,,,0.07290396480639198,,,,,,,,-0.014275363025106598,-0.023562648906847658,
WNT5A,0.00314214072119818,-0.023533414308873155,-0.028286037820865566,0.025346417708062563,0.05040045922126619,-9.065213130472553e-05,0.04250197504501066,-0.0017311299697766662,-0.004532485872523206,0.025609135016457778,0.0763254866352549,0.07161017893996287,0.016131113737525463
CXCL8,-0.08391603132884211,-0.032261857777842094,0.027215087212443315,-0.0018634162978709997,0.004289621973098998,-0.007978837452449258,0.047470069397026145,0.07426967656196143,-0.05162942818095133,-0.02559001911412722,-0.07130030420389008,0.02148576725771145,-0.10076627656832082
GRN,0.018489845481654325,-0.026777259287487344,-0.031192745709192306,0.0337080279366304,0.11319425131352716,0.00800882833752228,0.020851347884648864,0.12374763635518173,0.024768333599494426,0.01639083691868666,0.031478072533443216,-0.018848382937230592,0.04480880680849878
MIA,-0.003420644073318774,-0.00808040110289942,0.02858221922767802,-0.024680674202162595,0.06781831261119799,0.015282941133170223,,-0.007304686604099087,-0.01587788247718227,0.01682985774470536,0.002776737455351173,0.11499578580094862,
COL4A4,0.208402546779971,-0.03847042467459587,-0.016837779480697104,-0.0214086083694135,0.10446192358643597,-0.01483146535128606,,,-0.00593980897833031,-0.009250219291645444,0.03593122355366939,-0.031706205645901236,
TAC1,-0.04943790053490682,-0.023472748065101627,0.0002785311232361255,-0.020402372672176653,-0.03334644002686352,-0.04130071777319506,0.0614744211874218,,,,-0.003947999965300623,-0.01901017775643065,-0.031091240978571105
RARRES2,-0.01968494410959658,0.037476963614274286,-0.00930535503093715,0.0922922019524252,0.07251830415122933,-0.015006457929319603,-0.038944826375011274,0.041936805348226504,-0.03295709608944617,-0.01803256946567446,-0.05147465429730404,-0.022691599521013406,0.1164084095434845
FGF7,-0.014279264213591405,-0.004867315706631291,-0.03393539221039194,-0.031775198812195406,-0.014913753101014969,0.0004722365759039348,0.030843038502514828,0.026531963420635275,-0.05667146737143917,0.011756123882263665,-0.027137330359956,0.0017068971552870952,0.06562828171018822
HBEGF,0.03818986968335239,0.03548848159360004,-0.008882226381076852,0.07133293683386975,0.03501027454508711,0.04798525339304699,-0.0002053875423014945,-0.13116230931658115,-0.0821630162769895,0.05243648958878961,0.04558185329691244,-0.013517835511686538,0.1184699394211408
CSF3,-0.008619810774455646,,0.04050848696456007,0.06282813718008289,-0.013794945002408457,,,,,,-0.01822520426663403,-0.015224980121965251,
PI3,-0.01581273828115952,,0.011847282077622945,0.041762040697188994,0.009124503860086612,,,0.10990098400236242,,,-0.08835179779061494,-0.03307882380124213,
PCSK1N,0.049146143839247355,-0.00959184800053816,0.0010891052217005752,-0.027107338776877408,0.020942286513830483,-0.035865687066315946,-0.0358485991415361,0.040818867359068686,0.031728792425328015,0.06085750038659739,-0.023358414565889163,0.05309099339429614,0.011063897049371782
NTS,,,,0.046708323467982434,-0.01695564682072162,-0.01694322511644613,0.09440015026689653,,,,0.0058349287754669524,0.08978550298314641,
SFRP1,0.011164158113010622,-0.024717768172853323,-0.016704311173283703,-0.018932378685063773,0.035801673202946846,-0.031460014471420744,0.0459925398194473,-0.1478145297366739,0.0704428073361683,0.02035110835446142,0.023748713767275526,-0.02202220476674931,0.07259775661240203
CXCL13,,-0.02296285790282305,,-0.018762229054418565,,,,,,,0.035418473607933834,,
MICA,0.019569568824643023,0.006258808818155535,-0.016890812458314725,0.04253603342520719,0.028158910201091365,-0.04020005950348761,-0.026089099503833,-0.10888043346213788,-0.04437741884433067,-0.01646630391396061,0.008994063826855473,0.0672558869686856,0.051315671521191826
TG,0.04027855831254524,0.03884311359417219,0.015293143677169342,-0.040154848658553885,-0.0166492644121073,-0.014311970568586754,,-0.006178640904953243,0.12631349878426526,-0.008852378400293499,-0.01499962317051411,-0.02969161528676849,
ADA,-0.0026887060555880263,0.024518813776866162,0.05202113569938767,0.08884927587515416,0.10999517122893956,0.0022104235502541933,-0.06029973689947193,0.05460308757027187,-0.07555440335514085,0.05177890379932484,0.07956630262688022,0.07084452314431937,0.0016032821584930036
LAMC3,0.050667069392585605,-0.05816923656780688,-0.04012947388024449,0.04298741446203571,0.03749162096896386,0.01651279648408951,0.01083163356154207,-0.04390123048849471,-0.09506300938652983,0.05157552648315465,-0.026982117718403812,0.05996910052187561,-0.018410149809226235
CCL7,,,0.05238611353997518,0.07605780578742882,,,,,,,,-0.01595430333908709,
NGF,-0.027862050755042844,,0.02962734235117664,-0.012317455938195736,,,0.09148237260971297,,-0.004881065100192982,-0.05182565314374091,-0.031288692992565585,-0.04776670334215605,
TNFSF15,-0.017935153741699808,,-0.014513107608477249,-0.01841755195390611,,,,,-0.09559853297048382,0.0025957935676020932,-0.01131753896142834,0.040983029908932864,
HMGB1,0.028759567260805856,0.08177878214673046,-0.015306797764177562,-0.01830981106372973,0.09054885422346164,0.03511486432830528,-0.009650753810944022,0.03160250724753963,-0.09337300251305505,-0.006494199172163618,0.04710640947229808,0.00964105174433434,0.11765475445825242
ITGB3BP,0.09324037941700207,-0.017019630369687802,-0.0020026785711237324,-0.015030837177188429,0.07205309613626969,-0.056592299771223646,-0.03633221955020221,0.06573054204156777,0.06121376942355106,0.047329746667538794,0.0288632024527691,0.048697521834278425,0.0008275103442226297
AANAT,-0.014529106778096915,,-0.013205445026581471,-0.01659531578607692,0.018659865556895378,-0.01287083877174641,-0.018269550616896946,-0.04763423488324538,,0.10545289857448051,,0.00759862199858334,
RELN,0.0053661488968653045,0.025400980722504407,0.002225348126277222,0.039870828555127504,-0.03651288007084334,0.03150608303630612,-0.06419515287983948,,0.034417668095008756,,-0.013670360557361353,,-0.04492367926987024
IL15,0.02682418350641738,-0.010261656322629617,0.025244486630005773,-0.018237633567125877,-0.032457493594278256,-0.02803858380620477,0.08416832491115747,-0.01006976787106334,0.02544948371875073,-0.013390651115065622,-0.027606960736131256,0.038245497738357496,
UTS2,,,,,0.08703014477257846,,,0.023287863584650136,,,,,
BSG,0.03309334690402473,-0.017817443594060716,-0.03832393036557981,0.01099282510912352,-0.02352807855478382,0.08719032389905737,-0.01685202893326435,-0.08332039579391734,-0.09400356243435604,0.009309355866559794,0.0053978548254365565,0.04690653217528843,0.11376802117271821
ADAMTS3,0.003603556995940479,-0.027457101210777074,0.002556087869997816,0.06132943832501537,0.06904622349164663,0.007210993263247825,0.046258673939910795,-0.11503269126212112,,0.03947309341253517,-0.04320453892546854,0.08747385016604722,
CD34,0.0064553167365456535,-0.05221501660625912,-0.03171813334384056,0.05034485924635326,0.060383055526928624,0.026602895450874586,-0.009625350715695027,-0.03126353271590539,-0.028655938797918508,0.09007649065855863,0.06630191358615795,0.02090294033190115,-0.08705077473059689
CCL23,,,,,-0.014158629539925095,,,,,,,,
PLAT,-0.016522344487732106,-0.07183194485425898,0.027298572790654424,0.11720372015481996,0.09835300927507944,0.029193549114096294,-0.011535453647772507,0.06262962041304611,-0.0075326928067845165,0.04338268849695768,0.02779767073893309,0.10206468540891114,-0.006719643410979959
NTF3,,,,,,,,,,,-0.031641306952366194,,
LTA,,0.030845106272930873,-0.016704310391829773,,,0.0323605055422294,,,,,,0.03336797891922895,
CKLF,-0.024279044380686992,0.01227464592002284,-0.01805704218158763,0.03772447899115577,0.08072784670895647,-0.03072908433152351,0.010738455470089992,-0.012197107726538167,0.010880851977534996,0.08337032182303913,0.014381024053561542,0.05955499644809534,0.018027291185592074
CD24,-0.057369472853683684,0.04340667109273613,0.04782015326755525,-0.03939092554450268,0.02260594024299366,-0.02314863904096145,0.08170552847240997,-0.09024357146342005,-0.01115605390167121,-0.00817750182074593,-0.062340889932062944,-0.07206630126518174,0.17104267646687138
HSP90AA1,-0.0531152093143483,0.05017297906157562,0.008391674689371336,-0.067911640132602,-0.0588816427004345,-0.022121441651373995,0.030456248219246827,0.10506489964604328,-0.03029024136370058,0.02539923312711192,-0.00981826808142662,-0.11112219654860604,0.019054606116082524
BMP4,0.009344869287992183,0.03769035838420536,0.02301426076113938,0.03727588053856854,-0.027764549904675688,0.017617615942686495,0.009279493793829094,-0.049271112713557136,0.03438994834891734,0.08928860571942883,-0.019446243377173687,0.030593042266595778,
SCGB3A1,,,,-0.01976297241608279,,,0.040299280711465026,-0.05393088664640022,-0.069941075019991,,-0.007246666114667904,-0.00924251330626515,
IGFBP4,-0.03194596035246364,0.01669713317400841,-0.020638442889697805,0.06441564921171257,0.051678469843325206,0.029734183257906686,0.03981424679985128,-0.005783258207864215,0.010301897960220373,0.03895149423486746,-0.010942881797269566,0.0475155168059286,-0.04726345722929783
RSPO4,-0.017580231260102355,0.012810417888735211,-0.001793292335563895,0.04356004135531332,,-0.014417255066553432,,,-0.0749825664965954,,-0.015828241470987006,0.028679510554507813,
LEFTY2,0.08027152612615014,0.003961561048133645,0.015253774459148392,0.07503088758176447,0.14694262474131026,0.007534922427946134,0.035228446127658825,-0.07049009309848518,,-0.03113452188508348,0.06653489486932306,0.05107033608577613,
PF4,,-0.021882115210223863,-0.011371211768553336,,,,,,,,,0.014705267973082766,
ANGPTL2,-0.015188739230144223,-0.041278845466420105,0.011654107470642118,0.01316635231483611,0.040528569742111796,0.00918435347156152,0.008380689521801153,-0.09758524038584952,-0.04188952398104646,-0.041639354669317986,0.03328998539395296,0.04145043068163388,0.08274809199437115
LRIG2,0.007184189650804568,0.062347625169812695,-0.05362214762633688,0.017870316189018562,-0.010658625162518007,0.014222564064814711,-0.017888560998483294,-0.061385617877102554,-0.0505647253912242,0.04606692061562434,-0.028854737721308938,0.023909328742180772,0.12227003353697193
ICOSLG,0.0013035756718690027,0.0471942397378848,-0.003985614849536025,0.012357636781375962,0.012377934601786881,0.012310625277062484,0.06287206690364677,-0.0025555820316447643,0.04639204159220353,0.01435760718254026,0.016187026797243268,0.008805165248682438,-0.06258772902588604
WIF1,-0.03943508089632916,,,0.025997807340269477,-0.06550869626424297,-0.011125454252332205,0.008326453304801393,,,,0.08528110573898277,,0.07603027395477863
NPPC,0.012104671161291589,,-0.0015633976685037057,-0.021296318068464094,0.0007311456052318582,0.004451723785500258,0.022827723222375015,-0.01319929010405109,0.09765784608471717,0.009106212897739665,-0.011465375552919991,,0.175576768150093
LYZ,-0.06554832281671948,-0.059810680365560684,0.06006881509851691,0.09705959884805886,0.09985286807843426,-0.02811715676930168,-0.010783299248731493,0.01716123094746495,-0.0797674177357561,0.03528056119098026,-0.03305796780881837,0.015746399044977332,0.030776036571986916
EREG,,,,0.03855130796957039,,,0.116681511836546,,,,-0.019714341617381087,0.013812377440461293,
