,UKF248,UKF251,UKF259,UKF260,UKF266,UKF296,ZH8811Bbulk,ZH881T1
BMP1,0.0721782903592851,-0.008811850625555326,0.04828400666712349,0.0035538298202699922,0.11784270756735221,0.03352835079603811,-0.04663631159836817,-0.031384992191887194
NDP,0.1103405466892422,-0.01930331269130041,0.024450598278014088,-0.04981407813013305,-0.010634872037442492,0.028148271826893136,-0.035119165885933286,0.052119102616554586
TNFSF18,0.03975380161183125,0.005809314075071131,,,-0.019906588039694792,,,
RTN4,0.025510647455669645,0.038535465100645205,0.025957156000823902,0.008625358472912913,-0.16023398231352454,-0.059699008756436404,0.043174029216119236,0.1007482840134802
HEBP1,0.06870402853852771,0.048219126786162365,0.0016585035935451652,-0.01573947134143625,0.045985168999753585,-0.030880718679321323,0.027814480756153132,-0.008408306797381889
WNT7B,-0.03781622313179683,-0.020824296808864634,0.038282443880241185,0.012941761130858412,-0.03226899805111349,0.056244421654252,0.00806335538906605,0.014784852485476962
PTMA,0.09271601375497952,0.03959789322180611,0.018593358124074984,0.05457648395906334,0.2235513564037124,0.00465871108772359,0.0852935816036581,-0.07024386909402316
CEACAM1,-0.011019187300836914,-0.015981395303689607,0.02260181759610019,-0.02593396591143596,,,0.10538580484749653,-0.025309687636346348
PDAP1,0.03472008189518764,-0.017620183944833306,0.023260430105649373,0.008147169378832808,0.07103519923538432,-0.01063481759749265,0.003635795594836947,0.02132881020852062
QDPR,0.07451543293108759,0.06401591425055744,0.012627749624098709,0.010949195491948248,-0.08123141594304267,-0.005603440406187913,0.02452017712543502,-0.029367618449243883
POMC,-0.04110934081103833,-0.028396389741336812,-0.0008553214004264706,0.00964284754712527,-0.04533713081737389,0.003544333842899438,0.03688610773651881,0.042641520500420145
CCL18,-0.02268159250787984,,,,,,-0.005321993321728807,-0.04504172268859456
CCL17,,,-0.0012081525323365096,,,0.0748075870635277,-0.032802481912805014,
VEGFD,0.018017009638748093,-0.008988402306182778,0.010803263324473417,-0.004321161158983873,,-0.00033236785471986425,-0.022723280469775505,
TNFSF13,0.09177430847749912,,-0.031700490517753206,,-0.019305237649982276,,-0.012350391830850719,-0.0026918423937138582
