,MGH258,UKF243,UKF269,UKF334,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,0.009556967406845088,,,,-0.022718367602560584,
BMP1,-0.03500012662204157,0.004632623455795917,0.0016394472965399719,-0.008822685852071398,0.09024219403600503,0.05101480569142821,0.018538058491289207,0.11466897822829189
NDP,-0.09103151488867846,0.031091962558447615,0.0241872359878145,0.018211436878416896,0.054114014980345106,-0.043341299872602365,0.0315888746928786,0.041147350511487095
TNFSF18,-0.021409017082744553,0.025612783560885137,-0.02282065194714307,,,-0.040202490695778616,-0.01504094764912613,-0.028861148393898486
IL36G,,,,0.030213841207862666,,,,
RTN4,-0.08395850561131542,-0.05497418944987994,-0.008043444099700689,-0.021334314568273016,-0.038755418250522755,0.1000900255198384,0.030343806749680128,-0.06068235719903097
HEBP1,0.013797391179005289,0.05047555904504512,-0.03095649140113808,-0.038768947796020685,-0.0023488735575549567,0.003978448570371881,0.05259020953824944,0.0037116206305362917
WNT7B,-0.018860673500836336,-0.009438707410009474,-0.007884029057740672,-0.01617301002367282,-0.03278944506474353,,-0.00398115761690051,0.0386677409452952
PTMA,-0.01153798966760008,-0.03267268658343683,0.1057804668706891,0.014572704817457274,-0.17287535202794144,-0.061763038384699716,-0.04517415096909993,-0.03256917594547106
FASLG,-0.018860678832700418,,,,,,0.06460016899364204,
CEACAM1,-0.026188217621966197,,-0.030030678195292468,,0.07045283337383965,-0.028269173899600594,0.003802593382205865,
PDAP1,0.01059859524579655,0.017932023523101873,0.01914552719850172,-0.016494587638878587,-0.009310130515092203,-0.009048288627445856,-0.009809116016282001,-0.009607571157512984
QDPR,-0.09336381144482161,-0.02233465275438495,0.03908786751418982,-0.049865100809065095,0.01827728573698465,-0.15478349237879271,0.051617188492683874,-0.0429102658706147
POMC,0.02586547793591125,0.05237282018237395,-0.038711209086855526,0.03609327077582996,-0.057825530820847515,-0.0739539724224966,-0.04653753647714474,0.010354704576058858
CCL18,,-0.03132422854507959,,,-0.035226821413923484,,,
CCL17,,,,-0.013442178992452043,,,-0.01785912973066829,
VEGFD,,-0.03529324997587386,-0.009962354437668863,-0.01440639957534758,-0.0396869520250043,-0.038431322430697724,,
TNFSF13,,,,,,,0.04527553632217513,0.015412029761330761
WNT5A,0.1036602431128912,0.017940834259657954,0.003878627584932269,0.006114041030079175,-0.07133448481131256,-0.049484955292125606,-0.04773663851492774,0.03926182299723945
CXCL8,,-0.036531144252523406,0.004657993489569083,-0.010742854221758033,-0.0722591812521221,0.02500032165547183,0.04254239338455972,-0.007816056971799547
GRN,-0.0017397590786793647,-0.03876667544731814,0.020541185923908353,-0.027214030420280276,0.042369505082621786,0.0791285550639156,-0.009369985805408184,0.03099140645198868
MIA,-0.024687001817841434,-0.03272423377584999,-0.024969480615520397,-0.002313031590693794,-0.03606686090782231,-0.03913081725592414,0.07022760095309077,0.05119457945856819
COL4A4,0.06183901903026245,0.06637962273883753,-0.015143779970328343,-0.019139049669263244,,-0.03009248233859422,-0.04379409310976514,-0.02090574552754108
TAC1,0.03070441049394838,-0.04449707156892985,-0.037914527497374,0.032207501305900894,,,-0.023477642023709774,0.002478024294475683
RARRES2,0.04633353215968216,0.024406981788648134,0.042996516944211846,-0.006151284501419492,0.11833454316465777,-0.030355431253651526,-0.021777944627842747,-0.08260871904237112
FGF7,0.01546135170286814,-0.030403425992368747,-0.007573430101914773,0.012655228848486499,-0.001999973339846018,-0.027284121985795304,0.037872318623271034,0.026311647879469904
HBEGF,0.06833629999723237,0.0786448954527354,-0.022688621517005347,-0.009110199396083056,-0.10254566995969125,0.027178866395375947,-0.040110172642168894,0.06103539811634062
CSF3,,-0.01848525366715388,-0.016021827727038324,,,,-0.01880290851045211,0.04548783741180277
PI3,,0.015325947093570382,-0.018040789485882027,,0.06987795611293025,,-0.040852473539245315,-0.12056465679541828
PCSK1N,0.05350614642184742,-0.007250423512172633,0.004114574901935644,-0.003215485538318153,0.010072986389234307,-0.008661503898492622,0.039486684613617026,-0.04113025819768045
NTS,,,0.118619966448853,,,,-0.027844543516482814,
SFRP1,-0.027442749187829272,0.10968548522092654,-0.041409364387697496,0.032731471839808894,0.05521362862884675,0.03601853962620289,-0.02719750686769237,0.020635146030387325
CXCL13,,,,,,,,-0.013278929379941894
MICA,0.08235618116239005,0.017665218347070816,0.025467985733510435,0.03094453203415533,0.005244899975548866,0.002928419596410781,0.006798990093877025,0.0727185232800245
TG,0.00010856048367353921,-0.028322114358465825,-0.019336912626046792,0.0790933781146757,-0.0556613721901975,-0.044352257912277246,-0.03666925810689235,-0.017471108651011532
ADA,-0.07139955981961621,-0.0418837802626933,0.02997622296258259,0.00553007767113701,0.07700539504311474,-0.050295147365741706,0.017313889707094805,-0.03746161962529768
LAMC3,0.0019032925894594593,-0.03345046934012261,-0.006335432871039106,-0.012126198655795804,0.043420957437741985,0.060280839517118844,-0.023664581102151798,0.09188960558467557
CCL7,,,,,,,0.0010327106222215265,-0.06250301532174495
NGF,,-0.02046914437120054,,,,-0.034563998275291566,-0.05899206078388843,-0.04183193760736797
TNFSF15,,-0.025322886206117015,,,,-0.0432447629217837,0.06390771270517291,0.0358042760391609
HMGB1,0.0012228679010725405,0.030735972438408393,0.06604173261778622,-0.012938012937919489,-0.04809719000598449,0.018715623315779892,0.018289102401479105,0.040964875751485726
ITGB3BP,-0.049605446451229794,0.02496121976664129,0.05505095644861908,0.01154676879129907,0.08200672707785293,-0.10053625137040523,0.016889215956446355,0.046180385992455095
AANAT,,-0.02007380224048724,-0.014452122191217826,0.055977274848799885,-0.04797408898094267,,-0.020847257425902207,0.02269032837145975
RELN,-0.01810839238623405,-0.035293231657216435,0.032701157743055584,0.08341271431745899,,-0.0574102186678977,,-0.06039263084855514
IL15,0.00564894460835106,0.1602825652886498,-0.026756330615972452,-0.016723287653832204,0.009467264089710126,-0.0025025869805981667,0.03360612008054874,-0.001708092240764054
UTS2,,,-0.013463879335519048,,0.028326272234955766,,,
BSG,0.07732585172493905,0.08952241658378371,0.0020041813999363703,0.022733682697384558,0.002014078692541499,0.04489140505087228,0.02306283469400218,0.03374255074833274
ADAMTS3,0.044253683767331096,-0.003112779673997997,-0.009328232165213671,0.043983203789629985,0.11031485430947084,,0.09869125119181808,0.020464416850789983
CD34,0.05036936388992659,-0.07367674627447124,0.006455131945053896,-0.018298969841805096,-0.027211014956509003,0.10388360351188385,0.009687033259287443,-0.011757170188824875
CCL23,,,-0.01644422093020527,,,,,
PLAT,0.02393658211481149,-0.01843057550812186,0.07519566317341804,-0.07328184516368601,0.04080889899578801,0.032465411324337945,0.02338591438133302,0.10310695919973738
LTA,,,,-0.01672328971816264,,,-0.02805726673816786,
CKLF,0.019141397481719356,0.006660198841604407,0.012173370783781053,-0.0034122070991313347,0.016793869811381697,0.011835252736257615,0.039962814606756075,0.0017601674090479587
CD24,-0.05047241943041867,0.10584660652408548,0.05329768827503198,0.060772176342574605,0.04609238170000659,-0.038463420888949676,0.07532540534103857,0.008007540827329327
HSP90AA1,0.006336991369583512,-0.0921623735463667,-0.03173194379014717,0.010724616851387044,-0.05889611326238547,0.11019883621392827,-0.07156988492182542,-0.06219042930195318
BMP4,0.10360619062278559,-0.044300235436004906,-0.0442673432634983,-0.014249970095245082,-0.03625785718038152,-0.04495616720309938,0.039302104605087256,-0.03689040770981539
SCGB3A1,,,,-0.011669290409076718,-0.03968691344570514,0.031403673188797956,0.019512446787450607,0.027423278582072982
IGFBP4,0.05107948898428063,-0.039240380841650796,0.03633120948303583,-0.037348460351853435,-0.026800215552194626,0.04533258786728854,0.005456516215625264,0.07484599175181994
RSPO4,,-0.025005158423373235,,-0.023197835617179,,-0.0377042401690594,-0.03700459787882373,-0.011056426733162178
LEFTY2,0.06665895835192735,0.12655030219076807,-0.029932784063950054,-0.020644714397487295,0.021242337198162573,,0.01665231451749911,0.07370552610899184
PF4,,,,,,,0.09122170331283341,0.08912358807017665
ANGPTL2,-0.05432618057533781,-0.00657484124462673,0.051724316190624335,0.008126302938750711,0.04449380777215306,0.05238823021951867,0.08898135743195514,0.03829968054810456
LRIG2,-0.025806895866113302,0.04147605762546364,0.028191857917671877,0.0010105162416464513,-0.04101515895588048,-0.025385788121541953,0.002406204263014155,0.027793712081597612
ICOSLG,-0.0067039117647727025,0.0011348350713198117,0.05258789390942329,0.007667361238847137,-0.09348425730483996,-0.011519990164746306,0.033047440110282295,0.060690430421859974
WIF1,,-0.05819100006641183,-0.027025499166989136,0.05389934723013497,,,,-0.01464035938246497
NPPC,-0.004115090228646489,0.15168850844972875,0.04541583817499859,0.02701636660377851,-0.0495801125780528,-0.06570674876645649,,-0.04341876593586036
LYZ,-0.039978488773810605,-0.01601556809177783,0.02997776352880409,-0.016915323403095827,-0.027639432859559776,0.08684644114057723,-0.021089003558078318,-0.046844033869684575
EREG,,,,,,,0.03659867412905771,0.09078710478876309
SPTAN1,0.006620216218450904,0.05467426101033726,-0.02362051689968432,0.015857504838968098,0.1710277293732359,0.043834937071978726,-0.03501023659884269,0.03681229086670478
LIPC,0.09293310851117824,-0.02774441498581019,-0.02678555954865381,-0.026270724275007786,-0.035745502266241146,0.026262871847384676,-0.02366075760085367,0.05281575436317101
