,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.03651288759165805,,,,,,,,,-0.04247943912763297,,-0.05823047485889019,,
BMP1,0.104134157629646,-0.05158261992351043,-0.016581775195834685,-0.05576607031752378,-0.133559697492251,-0.011863977846048533,0.04322851873100905,-0.07360261511183049,0.009051937639253662,0.0710033708181851,0.10203142036610445,0.20111816318152984,0.23419667972197913,-0.008190111865098437,0.19026050510978876,0.21719131544613635,0.07661724994876423,-0.07476752549188702
NDP,0.018841681940623113,-0.004290293506983137,-0.0032023004821786615,-0.05498944472896265,-0.017832552501445005,-0.030395294067979094,-0.07823894934837479,0.09505768473336378,-0.000452539130877394,0.037503173071794266,-0.015319769542755102,0.088211977320131,0.12077783187838703,0.07875723372504569,-0.046117764485356795,-0.08592387690238981,-0.08078662792145967,-0.057608514102276236
TNFSF18,-0.05349406123630717,0.036755937210533676,,-0.026223019754197205,-0.05422054192668896,-0.020028802237252796,,,,-0.041317908896980116,,,,-0.008756832109591592,,0.037217957744648485,0.057803729711145134,
IL36G,,,,,,,,,-0.02313065074425552,,,,,,,,,
RTN4,0.016201766041955574,-0.04234868176667132,0.040093448905806774,0.08063530997748464,0.21037157709210139,-0.031468835078442774,0.021760783507614834,-0.0015681288022255829,0.06323753449459636,-0.005801681624221692,0.053901647207947746,-0.07132695266529737,0.020892427245359366,0.05061911278357162,-0.07101999563691389,0.0429578005276395,-0.17531361547005675,0.05763670519682124
HEBP1,0.10463508711022136,0.021768811346587032,0.019474816598277767,-0.00022121221697759652,-0.13954946912870148,-0.01965315203240746,-0.07875667468867485,-0.05477278919286802,-0.061693978647395266,0.09706932337576228,0.02892931716325932,0.015788376541356598,0.08588765786415052,-0.01414944424858965,0.019681737979102196,-0.0345495248155775,0.051085944650769696,-0.121300390166649
WNT7B,0.007576855271171893,-0.01680714086476464,0.0463301440721898,-0.03918031073102896,0.08175488542741449,-0.0030905410332644915,,-0.03394709170785295,-0.01178121934946691,0.005616718096039321,-0.03202865115959937,0.018759199918292495,0.06075901982678873,-0.022347766773080757,-0.04708925117499638,0.01678294748124141,-0.013702193243870923,0.016844820360434117
PTMA,-0.07905602854942076,0.004273625572140836,-0.027259012330888906,-0.03974056500028793,-0.022388965460520754,-0.047233662247959406,-0.08527520667995865,0.00783486141473073,-0.03273931926912609,0.0768971782512846,-0.11181377543489275,-0.12008991174226893,-0.015377734573241337,-0.03307414620868735,0.12375796724550758,0.19603157435992952,0.11411342369081694,-0.08189339413566711
FASLG,,,,,,,,,,,,,,,,0.05711835270045649,,
CEACAM1,-0.034047503934873234,0.01222219785941262,-0.018066803619214998,,-0.05358192864468835,-0.031500534376776995,,,,,0.035318290579745,-0.06638636562060046,0.004714822053120464,0.020446501981520968,-0.02789137990272345,0.0171605076474186,,
PDAP1,-0.05284461978923042,-0.05914441122708057,-0.016404611363561274,0.0041933947466757234,-0.12168120996042645,0.032897423031576625,0.11786442039423882,0.043886866215256476,-0.0468995532040932,0.04745432524471806,0.03794778041344207,-0.016425012275771436,0.05585257360154967,0.06340412426987978,0.015608716221908524,-0.04803941069765101,-0.024394302883529034,0.0726715510447547
QDPR,-0.09867479461668296,0.029042256054413303,0.04933337237801978,0.03633592975221872,0.09388444194592896,0.002997088196930042,-0.14943804371011268,0.020369140526759314,0.10898619091376213,0.002228402287834768,-0.04576000637904119,0.03523674179667357,-2.773275230355892e-05,0.0009575587240150407,-0.09885532157071039,-0.00046936909392173315,-0.06004257669812949,-0.01128469675551999
POMC,0.11481864040796728,-0.022918522858848277,0.004649753828543796,0.04946252957857662,-0.016196819927346066,-0.023239838275735673,0.026702398650717385,0.05337886732742805,0.003478425051304608,-0.039730006395618384,0.03939068364295928,0.020286803434323767,-0.00822145903007213,0.0028689467536927296,0.029520132402942125,0.05995289143365985,0.052778125670587754,0.0009879807873406957
CCL18,-0.024963113162602947,,,,,,-0.007786183165848584,-0.0363722616571574,,,-0.04316026579586534,0.10871744740693506,0.12596909335989506,,-0.0033692263937671555,,,
CCL17,,,,,,-0.024979815877873006,,,-0.004524587278559291,,,0.1637299406882145,0.17340128105921063,-0.019650453505319177,,0.0303685289013929,,
VEGFD,-0.034375111824013295,-0.018474470079646595,-0.017285294793713282,,-0.04791793337393664,-0.026613880995977838,-0.03348130652803419,0.07208177041373738,-0.022646217905907366,,,,0.007424466083063349,0.049851845244921,,,,
TNFSF13,-0.03206286970228024,,,0.07487563929484825,,,,,,,,-0.04008662771479116,0.06352623753701737,0.07823822698471727,0.04582070579873485,0.017092680724959557,0.0499084283389998,
WNT5A,0.027952167117690108,-0.05132751554116201,-0.0973462740211874,-0.06272651711412122,-0.1263597117837664,0.009480941855909714,-0.01250511711110312,0.005078210826536438,-0.06371876356327665,0.028666147441224574,0.004104661340688069,0.07335476953960798,0.11857080569751854,0.047254294587143766,0.07328006407572052,0.280186037092458,0.10741787944856937,-0.1193856532164928
CXCL8,0.042190722038736035,0.001368223311014586,-0.08231070781912897,0.016290259300508866,-0.07839686475466655,0.010544268324446713,0.060030684760477,0.15281392563665006,-0.05209563801236664,,-0.07599044322541464,0.12567521002670393,0.12262712354648962,0.007780395749460664,0.029004997951773012,0.014676973311933017,0.13380710331169815,0.09739566496585682
GRN,0.14542727313885132,-0.015693841795136484,0.02478045912033287,-0.045793397037814806,-0.11355441482931931,-0.008722374419070518,-0.053714778408212455,-0.016045055915018834,-0.03894515015304305,0.07236466128581519,0.03165227142691069,0.12029596407996779,0.14365475311625026,0.008347603307232785,0.13991206338366644,0.3814066390934758,-0.000422867936287597,-0.07077078540775546
MIA,-0.06636656334249855,-0.016429901716982758,0.05043633181924012,0.030668452962988348,-0.025938036836083415,0.03169952669292201,,0.09986292580345815,0.015528129896562508,0.13640512410645939,0.21269165241349267,0.07396385581683876,0.0768877763868056,0.036624838372282136,0.19840701084151946,-0.10566526281730863,0.0430953936052085,
COL4A4,-0.007739201514290017,-0.02763020109867622,-0.03841832661665749,-0.024196338536692622,-0.03598074054639508,0.0470195304422469,,,-0.030085732875534413,,-0.05456806153221968,-0.0010745625201993023,-0.039748094727748914,0.016273074088979923,-0.009753908209409233,0.11296767668648999,0.10460953123130236,
TAC1,-0.09566247431443811,0.017831142059437415,0.07258310624399915,0.06487557981992408,0.21163387869886838,0.002820393499120452,0.08415744692825997,,0.0824383217452692,,,,,,-0.1528738471722821,0.13475415275503327,-0.10504944486399102,0.08251020349614421
RARRES2,-0.0294565351197074,-0.02582784719238318,-0.0377698644127956,-0.012872850278537707,-0.16091339138578523,-0.01008467079730004,0.06400381363919386,0.15200542320240365,-0.06179455637119969,-0.07983236183688171,0.007058962857377216,0.13809780905033858,0.19117782082561927,0.08039784258637986,-0.005553805995627082,0.07485707092805288,0.08729392654203479,0.07023907803554327
FGF7,,-0.02085185556094086,0.0692843409281671,0.015640475086706535,-0.041690928086606634,0.06392267168881668,0.04230768481608922,0.010984042233843415,0.04065491919707786,-0.007745979117749205,0.06910454684998833,-0.016262425322123793,-0.02407044017262171,0.007096239517960069,-0.017906187443081176,-0.0057512557011450485,0.08098386365995223,-0.011312767671823744
EFNA2,,,,,,,,,,,,,0.03132713125754185,,,,,
HBEGF,0.1069489198263358,-0.05026104770028892,-0.053095170498155216,-0.0425025744048252,-0.060263491731010956,0.019166929276401404,-0.10116454945721429,0.07622739226435102,-0.042143879744246555,0.04855903030735225,0.01450705421426024,0.04984922529423748,0.0411992854688848,0.012915213630659185,0.111301142906187,0.15234144216007142,0.15033618219596462,0.01991506503517145
CSF3,,,-0.030155136160313713,,-0.016412706591143394,,,0.2255135693631037,,,,0.15479029180530046,0.22658866178629106,,0.011602636326241823,-0.015193052955923131,0.06324670211749112,
PI3,0.10625651002141928,,-0.036384296017802006,,-0.007618243718574271,,,,,,,0.08066743634987057,0.16646901800150396,0.053370925844885134,0.11590511727290831,-0.12265805390426679,0.04109531600471253,
PCSK1N,-0.08298500101774978,0.06314133916704562,-0.03176001418839518,-0.014058811643958547,0.09665113391000008,0.006117826629176576,0.0974897166651647,-0.007274785824686096,0.11908215277456828,0.06994115726627355,0.0775860796829525,0.08726813517826092,-0.09243200987988509,0.0019120041340995406,-0.03382369993934005,-0.05925731704509229,-0.13561069216544058,0.10579961066834485
NTS,,,-0.017025572602232038,0.019496569414669672,-0.04678883726656245,0.03613619178748337,-0.02733672672441147,,,,,-0.05996720969174628,-0.10460896269962774,,-0.04716368920115706,-0.0878282287382686,,
SFRP1,0.02493235120262473,-0.020807731518299306,-0.019719527947104732,0.01293479376653575,-0.03200947406720924,-0.04425163193959012,-0.05294482548212811,-0.02676127561340136,-0.04200643954554173,0.0024459085100528018,0.1793221604566837,0.06592891935401592,0.09068243722345418,-0.04280572053819299,0.022010710232192032,0.15486449207283606,-0.008451288835371175,0.028928539649316274
CXCL13,,-0.031189606413777594,-0.019542304025456432,,,,,0.014293144038142323,,,,0.11085198667259753,0.24766588372128034,,0.053114592834508347,,0.03717818581148063,
