,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916inf
IGFL3,,,,,-0.018557933451269614,,,,,,-0.010667242493398543,
BMP1,-0.04027357598903621,-0.046199600557234766,0.07272931920031436,0.0365271948209187,-0.01950956784993843,0.01330343920451495,0.029980355622216886,0.07819627588481967,0.008715235591254717,-0.01963727710379567,-0.01043119180981768,0.03896388791486771
NDP,-0.010822353041546577,0.04806396486158637,0.04589970945457381,0.023760580999296774,-0.01685858181397341,-0.04581117152713697,0.031817106268745864,0.0767751165922138,0.08043565963154291,-0.021200870701105195,0.016417795770269233,-0.04621840300789618
TNFSF18,0.06537606698233514,-0.022813320311555956,,-0.01568268189554969,0.08637223767066066,-0.010950445511749063,,,,,-0.03988654110913464,
RTN4,-0.054071910780882845,0.027824806040253374,0.00830913854026077,0.030456455601490868,-0.004546513469252769,-0.09643264800328741,0.03655468399173657,-0.004218451932193906,0.02117188503003459,0.00864656952254954,0.09352606986922114,-0.021273082525699736
HEBP1,-0.03844294227132447,0.03319508866279623,-0.06253720094928632,-0.02267349579429993,0.003082019075338676,-0.010577340805266061,0.05633871830726154,0.05267246343795189,0.047732812293960765,0.01198285333354448,0.011648128366721482,0.03192200825348557
WNT7B,-0.035096186502771305,0.01319311132277137,-0.06362116705333949,0.057181140137457204,0.0006801855060853638,0.004750879446539155,-0.012182919158375032,,-0.028603762678309448,0.14020166713812468,-0.03168885514688866,-0.044425921529037626
PTMA,0.07564925065584888,-0.0928812273761435,0.02866267351166419,0.0016492488435221738,0.007813808028726828,0.10073041875023106,-0.014047195331335385,0.035174208453526624,0.010242879525198437,-0.04906094654524231,0.036526094644469244,-0.01792818798907977
CEACAM1,0.017082594700770008,0.06960867397425698,-0.02591795529154364,,0.05219690650811418,-0.01722244202113547,,,-0.0030707329604558386,0.05014289120739252,-0.018940334241866353,
PDAP1,0.008001080594946463,-0.007109695280342459,-0.006315833980440141,0.029909496698293805,-0.014031134814779784,-0.06225863494335903,0.029439684200295947,0.1144180778059126,0.01315773085768124,-0.0033803425314384923,0.060855506650361435,0.03166941315500647
QDPR,-0.056331616587101924,0.07824293336908282,0.005412043262347507,-0.08132384334283502,-0.04248582091844067,-0.02292974983774192,0.03355568146769016,0.027270317507746174,-0.00363039841841852,0.0649058480314623,0.025643029203856176,-0.039820246607663666
POMC,0.10536409631775019,0.02372366802129008,0.03785950764230601,-0.023004302144381848,-0.008764448963904199,-0.012706031031000374,-0.005261478972805329,0.02133299931484395,-0.018634081284246932,-0.017143963471748833,-0.03126700388566354,0.10977103774490322
CCL18,0.03536619611267092,,,,,,,0.07203063199385147,0.03406286797826273,0.0062717841597244115,,
CCL17,,,,,,0.08637618034824453,-0.015079038705218047,,-0.015797574454704883,-0.021480941071223107,-0.04019883011036764,
VEGFD,0.021140305104201198,-0.000529845243047846,-0.024796832196047225,,0.021492884475953527,-0.014550737994735077,-0.011060657247509278,-0.030213847771424187,,-0.023491956882216412,-0.011945808970302646,
TNFSF13,0.12054420014151268,,,0.00883782079967874,,,,,0.100650908803706,0.1016693719090144,-0.03329391980646772,
WNT5A,0.020719856025142973,0.011425743630170248,0.041975897240559695,0.05532701907374923,0.04187488646684402,-0.022484384716277325,-0.06789980407314132,-0.04213159384421735,-0.01978153508548835,0.035807642895833866,0.08172306213290798,0.04097096319270016
CXCL8,-0.04203410769283679,-0.031162052436149716,-0.047633762465032474,0.050656005486666905,0.010081255629560538,0.018703968362883638,-0.010300164962246524,0.0020019546258238617,0.0035566849338110784,-0.04408972761954078,-0.021563976822647882,0.03961025164499939
GRN,0.04177348375959064,-0.022090244097999437,0.01929146140557248,0.04043312094343918,0.05130551419875845,-0.028674329299272217,-0.04845369129374305,-3.1024518114760527e-05,0.02469823085423325,-0.05880538702805915,-0.04217510343989983,0.08245550883674799
MIA,0.0298671840368301,0.0271276385434178,-0.02756449218914263,0.001498577731737794,0.007486620887835861,-0.026843677591717414,-0.012579168266314717,,0.06037524366022333,0.05961273654325858,-0.029156571596636534,
COL4A4,-0.02809068671340005,-0.020378412490078518,0.0437881016327502,-0.014470624812279467,0.06925345617442673,-0.014258682931019577,-0.007812119761928421,,0.06916276164936676,-0.037614296145263154,0.028523796097784184,
TAC1,0.023786071328269313,0.0718141023857893,-0.03648748030151427,-0.01480274707879053,-0.044432082335361105,-0.06668733213896426,-0.007297213754197886,-0.03329962135261208,,,,-0.010281164063183438
RARRES2,0.04643891201614286,-0.05619493754867836,0.02751143291376872,0.056113626609785125,0.05108847037396099,0.03367636067433937,0.037362131041994366,0.03793973862892626,-0.033199834679084446,-0.006138927906948697,-0.029480104655919315,-0.01632514347102511
FGF7,,-0.0377349253661835,-0.03947385870647908,0.004205478891020113,0.09014710570960505,0.0009033820753219009,-0.029438064468998423,-0.045324302752013705,0.023520108999212686,0.09250874067965938,0.015850053493468033,-0.003156654083620538
EFNA2,,,,,,,,,,-0.022327532862503222,,
HBEGF,0.010285947949539917,-0.08659931338096537,-0.000382851711008802,-0.05174368837509476,0.018077246814375995,0.019241415716115567,-0.02840482833625878,0.07098894173446386,0.029818856511683173,0.011723995056988786,0.06797939568433334,-0.005697313756032805
CSF3,,,-0.0692066970741965,,0.05984397869781282,,,,-0.009725214260938116,-0.04923106160893893,,
PI3,-0.024606816569319068,,0.024465443558338722,,-0.021785863508970972,,,,0.002084956004267479,-0.06472423879857439,-0.04332680401721393,
PCSK1N,0.007273223186100161,0.07319721267978115,0.016879042187344383,0.043341100499727954,-0.0526236746844876,-0.026434993541770226,0.02248854506733477,-0.051717446909459446,0.0376757999535505,0.020462130074005096,-0.031013580145643628,0.058769739864438904
NTS,,,0.02996454864244163,0.10935394047438482,0.010230427112403307,-0.01628888778298256,0.013150094166731288,0.05205199709713558,-0.012327080621313729,0.06858551489135642,,
SFRP1,-0.04087350299604415,-0.05308244026593274,-0.02828889129894758,-0.016783500850159727,0.05499280005679389,0.00911541417926391,-0.01507903885707635,0.0767665686065534,0.08738440025812323,0.05719052723581586,0.053969201889319,-0.07955285025180216
CXCL13,,0.07549438720459752,-0.028034652542901793,,,,,,-0.0354845911818499,0.0293377129139672,,
