,ZH1019inf,ZH8812bulk
IGFL3,,7.74842907283835e-05
BMP1,0.03201668040287133,-0.027784627032114595
NDP,0.03794103294781463,-0.06583562609732471
TNFSF18,,-0.022940961677645814
RTN4,-0.03207844530580216,0.013987396540329617
HEBP1,0.030912816666774885,-0.04605172643104986
WNT7B,-0.017388055919060067,0.028015362942071905
PTMA,-0.06436672293583273,0.08025595693008837
CEACAM1,-0.0334769813495587,0.07369413360548173
PDAP1,0.037403054599777594,-0.042207277189059624
QDPR,0.0026810420112194063,0.0640567656548651
POMC,0.039650408701114935,-0.030663831640565554
CCL18,-0.023735730191209656,
CCL17,,0.04109590745069738
VEGFD,,-0.030932892056397605
TNFSF13,,0.03294810221506923
WNT5A,0.04917514651743561,0.015875986720922917
CXCL8,-0.041790490031728834,0.07523376738306833
GRN,0.024357284606591062,0.0007804848716338438
MIA,0.1195410427095463,-0.004793690357687971
COL4A4,-0.030009379268238233,0.060247354910585034
RARRES2,0.026181393428575086,0.023635877401044853
FGF7,0.0586160797505671,0.022122421755705453
HBEGF,0.006876207041414486,-0.020262524696156994
PI3,,-0.024919647653933657
PCSK1N,-0.010680450218303137,0.01702501200740583
SFRP1,0.035817466050866845,0.08291672133101104
MICA,-0.039796791158528355,0.11881116919811809
TG,-0.03864731811412437,
ADA,-0.005271100078412529,-0.005610666706727716
LAMC3,-0.01884567953053562,-0.008543534107126383
NGF,0.0050897075678045965,
TNFSF15,-0.035622539298061,
HMGB1,0.002758745682287816,0.04235527308872966
ITGB3BP,0.09341246408089417,-0.04360237690892798
AANAT,-0.024721757951813878,0.021022016648571944
RELN,,0.01275756793688889
IL15,-0.04179059925488359,-0.04517872805395644
BSG,0.004179892241727153,-0.06896848929958327
ADAMTS3,-0.029601788368012426,-0.01788877288484199
CD34,0.0030487288975165044,0.020639313085217156
PLAT,0.046543123072204894,0.0017219020281192645
CKLF,0.011023719281769708,-0.03784677208223649
CD24,-0.03630082504050281,0.04003575218218477
HSP90AA1,-0.09153593580328172,0.026379668361431
BMP4,-0.012341950784389853,0.04234420083924102
IGFBP4,-0.05019445932222025,-0.06501113354900187
LEFTY2,-0.03159231149756203,-0.0325023565312063
ANGPTL2,-0.00042312344680248023,0.010716509330431227
LRIG2,0.07587376924350073,0.03867145983432013
ICOSLG,0.037772243655140536,-0.006128801715081162
NPPC,0.13763503751805597,0.027106269430221715
LYZ,-0.056006321569601995,0.015357452745774797
SPTAN1,0.045494732169204556,0.04702600111606877
LIPC,0.053602040193712,-0.0422464245332564
COL8A1,-0.008300278256226375,0.015018734863279263
GSTM2,-0.043722292643974446,-0.04406310645257234
