,MGH258,UKF243,UKF255,UKF259,UKF266,UKF275,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,0.00973598844098048,,,-0.03636403275359234,,
BMP1,0.10827651003695732,0.003057656490437998,-0.11279781019199223,-0.0003837555541857796,0.01921736224730857,-0.03329010278084732,-0.021762362552924026,0.0014323071824551418,0.009043740689038947,0.0673784406868988,-0.014344829421666021,-0.049194660686339646,0.0681606954166431,0.016782441236920315,-0.048345934215259144,0.04510911856673589,0.041671204938689546,0.02978044301024671,0.03888926957593023
NDP,0.07399422457311965,-0.015542021736442266,-0.0763209270519611,-0.020534537600621863,-0.03195304072573138,-0.02069637443633259,-0.0045496772643041855,0.016114999839126457,0.008434806912526597,0.05497348419057468,0.005318319198599051,-0.06475903289865502,-0.021801010359953646,-0.0036468138292903066,-0.0568148989504218,-0.09587493347742342,-0.07754200842031767,0.031840007819665894,0.023009962007539433
TNFSF18,0.2859346092188399,-0.026979812835435876,,,0.03589684214932127,-0.013506325325882383,,,-0.03219187644038339,-0.06488938796566776,,,,0.04034749361449772,,0.03821493944719725,0.07853217903623223,-0.02303276300484297,
RTN4,-0.00603548370972466,0.027081661976051795,-0.03369874936282241,0.02573392663356783,-0.07375682458813285,0.04134352889345377,-0.022933521497972557,-0.014550863797629281,-0.05757133276684869,0.09923107016988915,-0.00033981190597096256,-0.06178520161271723,-0.01643447201669268,0.03090902888255386,-0.06657891299433802,-0.006298972640670627,0.009720535232532305,-0.012545197901628804,-0.0010175717087022315
HEBP1,-0.05372195286894262,-0.0016232359809207942,0.07003441492607256,-0.033336773406765524,0.017928841145421794,0.002423572746679418,0.05817871179187629,-0.06456354261783569,0.029989885780594343,0.05577674301216748,0.06247621706052064,-0.046154237910152864,0.06111888836495724,-0.02173724083062926,-0.04673563880424153,0.01639478554658746,-0.008405674073443507,0.04084881795079447,0.025973395821746167
WNT7B,0.1177430923655137,0.0054749832279206035,-0.002397080450048821,-0.024342217109589573,0.002367754753004735,0.01751356374656244,-0.014901626677094661,,0.008797536377610974,,-0.03591080535220515,0.02798797748512464,-0.0007330170392359972,-0.029729617443281734,-0.03083435633844233,-0.0006879067221694955,0.04045570088975341,0.030579538565798224,-0.02930244690618352
PTMA,0.009172277880696954,0.04762548668538317,-0.002191441325807217,-0.022212702979688803,0.09262979700579564,0.008087789296288315,0.06630087990083952,-0.02797234646890397,0.03173057131264573,-0.030542848050546877,-0.08043904219355097,0.05561857474698899,-0.04265161280824682,-0.07350790471776068,0.0051487868044352595,-0.049530580863166536,0.08985282639489212,-0.016829371716218258,0.006645894695977798
FASLG,0.027189828345982048,,,,,,,,,,,,,,,,-0.045971448653667604,,
CEACAM1,-0.011695094289365559,,,-0.028108281955126616,,-0.021242232071199903,,,,-0.04562825240160373,0.08221201242732812,0.050474150408117424,0.0032840258673993987,-0.03270682550383922,0.07680721019594722,,0.01913128838025496,,
PDAP1,0.009011593451443922,-0.07045397756826352,-0.012411232730894176,0.0155850754982225,0.03593564585691098,-0.02025433750644973,-0.027435954664781503,-0.04933401130143809,-0.0833540902531886,-0.03971244065729238,-0.0005978056189166766,0.022678670495812812,-0.12924507724115514,-0.012342668481126317,-0.04110463894786076,0.09108352858576686,0.01946436446533046,-0.0510417398784212,0.05039102255306369
QDPR,0.05389080167208481,-0.009208158097838441,-0.10934597346938273,-0.023267662908988507,-0.014063602482686288,0.0056994376626547565,0.013692636173021477,0.032649483037951156,-0.009679515972346826,-0.03829329679658781,0.03700810937270037,-0.0185586392491939,0.05238500801444899,-0.005912268472608532,0.005275778544866949,0.02892916824368134,-0.015956207278947046,0.03767670726827521,-0.07914935461152475
POMC,-0.019937286670376576,0.06640334099603121,,-0.02617557260865411,-0.0002472486726373679,-0.015671671853105917,-0.01735901726942936,-0.02848713335779667,-0.034446449592012734,-0.11936643538927723,-0.01240400639071405,-0.005172340151289752,0.008946609822164678,0.03191499096637695,-0.015909006956512834,,0.04738869342678102,0.04067313476601665,-0.025277332595418627
CCL18,,-0.054908653820981264,,,,,,-0.009658432891563516,,,0.08488976291582527,-0.05207021426053814,0.016077036552152986,,0.01973634131346711,,,,
CCL17,,,,-0.01629190787626845,,-0.016845017282145363,-0.018444036483665802,,,,,-0.020186636267712027,0.0053772717820271595,-0.046959659471199115,,,-0.04166795470895561,,
VEGFD,,-0.06186600389387783,,0.013452982126644293,,0.013349363478514484,-0.013528923812350796,-0.019515862514851372,,0.0021337954262789856,,,-0.0274486464396278,-0.04952794667520806,,,,,
TNFSF13,,,,-0.011237793429384945,-0.014016876743208666,,,,,,,-0.014898247969922573,-0.03366776433255842,-0.04055692667100187,-0.016670428406993978,,-0.020716518421879607,-0.0008616491101261404,
WNT5A,-0.01666064440927059,-0.025375032041865565,-0.03047808786569567,-0.021512363568853728,0.054912062636479755,0.008749610053299472,0.0008452109898362954,-0.00831610021423566,0.0035062552468901704,-0.009613616433985938,0.03505960060530577,-0.0072699346036039034,0.02772130168154843,-0.050537331521408276,0.06734833534446975,-0.08341769162009526,0.0009389420417195692,-0.036510976899851555,0.026037948844046494
CXCL8,,0.03766981510375786,0.07470010522994884,-0.001123858539860008,-0.019938098044424698,-0.032827305676653165,0.03221175881599686,0.009803514028275322,,-0.0379134080798571,-0.057777033390894135,0.04609167351852289,-0.01901950091836805,0.09265871596964088,0.1355600984937192,-0.016559730355538593,0.06618898779417244,0.019560536215349852,-0.019590555049411013
GRN,-0.047297301168935595,0.0035014611611971077,-0.16093369953717573,-0.0039206343647221215,0.048227982176292206,-0.015528717170853282,-0.0677372037780425,-0.022259570348422613,0.07718588073800164,-0.02787694652753818,0.057961180363433236,-0.06575836400785375,0.013369243589047458,-0.027049441040767817,-0.03137817410376253,-0.022679073553705548,0.024028449832226857,0.0010398793070341618,-0.03562325060494567
MIA,0.13164842647115882,0.034279072700207386,-0.04692684309365326,0.003118346086809287,-0.010436771534340295,0.00046027432394042217,-0.015386301671723498,,-0.0483416729361931,-0.06947123571479821,0.08764915487701364,-0.0059152458126879226,-0.027573705112000108,-0.003825314866323448,0.025595237792029383,,-0.0018108542605298169,-0.03578192633763873,
COL4A4,-0.023349016528711693,0.021338265755258486,-0.024664053636605645,-0.03926569816696927,0.0417281086237231,0.10919240360669591,0.03195518835725557,,,0.07778285968297635,0.06897468283388052,0.022968701043341647,-0.007485902433671417,0.06582827830774837,-0.05363562316712753,,-0.027242712826702282,0.02854774929166985,
TAC1,-0.020161094308477116,0.05823977121781148,-0.054517524942570235,0.027393861344718707,-0.045694879778628496,-0.004578525447833672,-0.044248347599432795,-0.01582527751360186,,,,,,,0.027926947610335314,0.01301997206040967,-0.022279181396504328,-0.016826895854426344,0.02084983992262509
