,MGH258,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,-0.012843355087035034,,,0.09964465647193306
BMP1,-0.015894683879980786,-0.013209354602556605,0.011104728836752106,0.033478490727972494,0.10460713585677556
NDP,-0.06357150333320545,0.030551376415280468,-0.02503850044280083,0.0878899907090641,0.04278407236049128
TNFSF18,-0.02166145413027534,-0.01907199673616158,,,-0.009123428982981015
RTN4,-0.1071377094688261,-0.042527666025970995,-0.031936195280987976,0.028927803205356623,-0.07637829046665676
HEBP1,0.041653500139990925,0.09324938859543319,0.003165126236992842,0.05606143923215968,0.019240128565648846
WNT7B,-0.019083062633162767,0.012894685143795583,0.02324823211004434,0.08628972315271526,-0.017360072185118838
PTMA,-0.025929555087039844,0.003991610547431988,-0.07713257306475643,-0.01650045095471346,0.024535647613389985
FASLG,-0.019083068027895687,,,,-0.020864249728067958
CEACAM1,-0.026497006965775505,0.006561422143609642,0.07268234521065361,0.11479759459651308,0.028813732050136317
PDAP1,0.022421885471744354,0.043026369792542624,0.008458076058154114,0.003093681798215667,-0.028030417028141238
QDPR,-0.06129233486665515,-0.05450904307903664,0.06297580888426581,0.017831389930353454,0.03492024295510296
POMC,-0.010083774617369212,0.11831276833949701,0.08014623526434796,0.07116809388038522,0.06944438768473722
CCL18,,,-0.03433749283248817,-0.02604999965613056,
CCL17,,,-0.013311995888596209,-0.02637682940699412,-0.018911098913915056
VEGFD,,0.05034278299446251,,-0.0182720348451614,
TNFSF13,,,-0.008482610072132588,0.05930041639231657,0.010896920775337214
WNT5A,0.05103098426761635,0.0019740445000405245,0.03142545645988294,0.025657526954360518,0.05577548296866199
CXCL8,,-0.04278222858601981,0.0011260096037958604,-0.056932676109358094,-0.010631909583938722
GRN,-0.08787542916311153,0.005085431280341111,0.001754920307628717,0.05211311398470937,0.028272478814128386
MIA,0.012388858907429613,-0.013819808056936363,0.08491915764707936,-0.030349661086589524,0.046897400590526155
COL4A4,0.0193287219084021,0.10714017760792327,0.01725735348499271,-0.029256384782604127,-0.0015575085649902607
TAC1,0.08071574254040183,0.004224395469804033,,,-0.024860562483816514
RARRES2,0.0924136601222337,0.0475858951071655,-0.0194247723816555,-0.005225115979455769,0.012885998307781775
FGF7,0.04444876803135215,0.011014983121555758,0.019249207881040984,0.010829224936920642,-0.0012254287719960302
EFNA2,,,,-0.017366346299527775,
HBEGF,0.0012072408001686848,0.04599656191773768,0.00306542928622101,0.010616821902942122,0.015620744901309684
CSF3,,-0.013389987579021477,0.004295557784511429,-0.015643748316727237,0.021804367652714596
PI3,,0.035201711552545284,-0.05605032394734213,-0.011861319928871673,-0.04325883621597142
PCSK1N,0.061524591014190964,-0.05052379222028405,-0.002446557462334183,0.02688878367262335,0.008134500895988137
NTS,,-0.01645790543449788,-0.0310555006803928,0.07829070705727646,-0.029484690720890695
SFRP1,-0.027766330908294477,0.08447876977445387,0.10525928915884158,-0.012911514816770296,0.02835545269466424
CXCL13,,,-0.02990147210736014,-0.03542697183015536,
MICA,0.03680041931479022,-0.009607469785538105,0.01040763308111551,0.08111955564687805,0.05899437258895382
TG,-0.02210051305531979,-0.016160517032799998,0.10538004969163152,0.0062359149036050054,0.016145536902620442
ADA,0.017580613538181064,0.01094559872387507,-0.0019787520970373177,0.031094817035597033,0.05553062439339636
LAMC3,0.0071635880098424335,-0.03504596651756484,0.0013392077088440577,-0.00882123195293261,0.11684942267970835
CCL7,,,-0.019951613413675184,,-0.02086424230898979
NGF,,,-0.02304251624537415,0.07782103792236818,-0.06246691263483292
TNFSF15,,,-0.019450582705372813,,0.03588159007084246
HMGB1,0.06509879620016053,0.05858700218006967,-0.05925226283479937,0.06173090721949624,-0.0378231181517528
ITGB3BP,-0.00212662096390865,0.03923538338687549,0.02627140231344845,0.004554064155275726,0.007434076337801651
AANAT,,-0.012078131155057606,-0.017503194609340193,-0.02337039852008608,-0.0220752384472619
RELN,0.03248015964339135,0.012728785399895566,,,
IL15,0.07833595450062955,0.021496445208945014,-0.03206656965966914,-0.011139364653109161,0.01440770927271317
UTS2,,-0.029059842003804296,-0.014905251226454188,,
BSG,0.0891772403486206,0.05199416455141626,0.03422323989028913,0.018454456821427847,0.04759266155502104
ADAMTS3,0.057873692492761364,0.032838602328159494,0.019289195656492363,-0.01813036790731782,0.11444600401446135
CD34,0.04981677620487516,-0.052747723553898916,-0.04217585881047451,0.05261327000558286,0.07374258057926313
CCL23,,-0.01374299597732823,,,
PLAT,0.057959073707430045,0.055616293360353605,0.014514573775464078,0.027084873854781224,0.060353961539015816
NTF3,,,0.10751597561321515,0.06403937606488974,
LTA,,,,,-0.01590237117670166
CKLF,0.004880170355900304,0.04981222986885001,-0.023855674329711463,0.058594418450625976,0.043110826842338766
