,UKF259,UKF260,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,0.061441214630709916,,
BMP1,-0.03340869188727898,0.057268510112313924,-0.00040130062972885906,0.002736609698421311,0.05481627433307462,0.0585914639079331
NDP,-0.007093991528973276,-0.04475834959797029,0.06760994132672991,0.0273487425007867,0.03429456879957764,0.08672489140587177
TNFSF18,,,,-0.03437403112374075,0.0758323527548611,
RTN4,-0.03234188305090096,0.023381043634273114,-0.056022353706303485,0.03622114957855325,0.07733545035155989,0.0031866919681868815
HEBP1,0.006731286701207095,0.06700710674128467,0.007794176153248738,0.03748110600007733,-0.006633490373403453,-0.03526267990414262
WNT7B,-0.025544759392811252,-0.0027026711726581137,-0.004955679078686394,0.01793129591029568,0.04828583467210224,0.04032767338072021
PTMA,0.03731630750411627,-0.0014117922078886213,-0.02566884921854021,-0.01952473939948687,-0.009082054176856827,-0.025625949080777654
FASLG,,,,0.030333803955713192,,
CEACAM1,0.00908034531779353,-0.014343782396973126,0.03461510964055782,-0.00676153695690876,,
PDAP1,0.002903862763625745,0.010432858566745317,-0.019689369013926088,-0.04104684117878635,0.04548676260507928,0.04107874589334537
QDPR,-0.00570408496404319,0.004170278018270223,0.02811943103068123,0.05971801157669943,-0.007444091575415903,0.007287955506902869
POMC,0.015166327946260985,-0.028863082087552946,0.03808690081425951,0.036277923880880025,0.036572848705931756,0.021857320460752824
CCL18,,,-0.03596614019059098,,,
CCL17,-0.01709675272698039,,,-0.016019338560240452,,
VEGFD,0.011106104021085273,0.19987919366720777,,,,
TNFSF13,-0.011792957394446387,,-0.01664934657350659,-0.02610217510405046,-0.0357230292637213,
WNT5A,0.022965576418011294,-0.03864179622126235,-0.016271003077978297,0.057326107740710584,-0.03623255209909304,-0.014009706675192114
CXCL8,0.0825640101967237,0.012934850006511775,-0.020922486222590457,0.06460132013356874,0.000265310482209233,-0.08794195711044496
GRN,-0.02307281296498669,-0.07117476970867466,0.07786704473976717,0.03261246183556374,0.0361936441184354,0.003176397206848307
MIA,0.043663438816414935,0.011463861581285003,0.0693716793830883,0.0692714370570889,-0.034145785070937164,
COL4A4,0.004188205619024791,0.014638960731505942,-0.016273096941475905,0.11802252013832641,8.75301416670328e-06,
TAC1,-0.006394018572981362,0.042144681372731606,-0.01075437931750075,0.017776762840591022,0.028064374667950264,0.06488880328448593
RARRES2,0.059346952002157095,0.028041934265922334,-0.0014452227205435052,-0.033188166547013565,0.052779559294371746,0.020720154463123246
FGF7,0.008777857514001173,-0.0262761645280376,-0.003129999081258029,0.05845841351806982,-0.0007712165605479047,0.03507296181956346
HBEGF,0.054244908159549306,-0.01840845460177568,0.024969668325076792,0.023841854030544812,0.023022131206786096,0.10018151881896047
CSF3,0.03682371528996697,0.029225888582953972,-0.02125604383401487,-0.016865892229278714,-0.005714399505541038,
PI3,0.09521085448268848,-0.042097612658009334,0.025951676487638693,-0.036643980670828934,0.08482679436133822,
PCSK1N,-0.051342854291230366,-0.023487075813594098,-0.016062597591798122,0.0766646168571795,0.014044426542286308,0.051905009808765126
NTS,,0.04727260424699789,0.008068754704216969,-0.024976086537963408,,
SFRP1,-0.01491757760516899,-0.01565593027996783,-0.003769033361073775,-0.006846379300513767,-0.042470732602249595,0.07839277873346612
CXCL13,,-0.015515226842810976,0.0647825675289373,,0.06995483905084186,
MICA,0.03942981565313301,0.06472403612583841,0.047355776523170905,0.020145759322167917,0.02315957264889367,0.016558604888724685
TG,-0.016098429691100875,0.04231987409868513,-0.0174940507081097,0.020880280498145286,-0.037540528333134676,
ADA,0.023435964568419523,0.05401843015174189,0.004998006704880145,0.07543592048724806,0.02778229578967272,-0.058780381193991156
LAMC3,-0.06216641270818553,-0.006326173051942513,0.05265418917210209,0.06128882991086497,0.009382712583843461,0.010713907206511619
CCL7,0.08590629918588227,0.014607489235515303,,-0.01767382016624472,-0.01646256091523998,
NGF,0.027841086489053424,0.04346751831982876,0.018039367075857318,0.09707439437153163,0.005487383853421706,
TNFSF15,-0.01296075047906741,0.008649492136713963,-0.013199638299676601,0.019930836076654516,0.007202274545213371,
HMGB1,-0.025756398787583543,0.043565803411764116,0.022543950956341634,-0.029459399938497464,0.00868299705295599,0.008823680356228847
ITGB3BP,0.04307047108063608,-0.009338344164168897,-0.023084465173724356,0.044486886923230044,-0.01867177869335794,0.10565114153019536
AANAT,-0.011792958653086282,-0.013723320837959178,,-0.01869963877268489,-0.02564360507626519,
RELN,-0.020469935247141153,0.11037083967653068,-0.015943732590478505,,0.024839716088935183,0.08374116116135788
IL15,-0.019366538318810703,0.09063502607891837,-0.020129124958010485,-0.002386948378899803,0.12422378775323613,
BSG,0.0643036001072182,-0.012329561250177576,0.011952462429298285,0.048951479966720744,0.03300596067655849,0.07175507178987915
ADAMTS3,0.039785985302267284,-0.018334589263400095,0.020601292031023358,0.05831150631604429,0.09749158425052935,
CD34,-0.024869395239608856,-0.009860753692965192,-0.033295923904476506,0.010301554086237208,-0.031523760382774955,-0.06476382359399116
PLAT,-0.05757261700713586,0.004288279995438519,-0.009594460648798596,0.06434162939192209,0.013080381649531866,0.042901590371806915
NTF3,,,-0.05293013174882168,,,
LTA,-0.014917576907301262,,,-0.025166895684836113,,
CKLF,-0.007477060827415266,0.012074597505359275,0.04365616549464044,0.028885731331004576,-0.02060102385075645,-0.028782594231126907
CD24,0.04825683466755897,0.01968078263541744,-0.010780997613232094,0.011859225153470506,0.08490554127199595,0.04722470871210916
HSP90AA1,-0.08274205148187194,0.005469447572107888,-0.0089246370174818,0.007609946234480909,0.030887955847236463,0.053045113355770904
BMP4,0.015124558221853808,0.0009084697514846036,-0.012803243271709076,0.020730375150967192,-0.006469010833330722,
SCGB3A1,,0.02781363698408218,-0.02741148368141733,-0.013868771782702596,0.008654432454740518,
IGFBP4,-0.016771098791098664,0.034651341121446105,0.014327182649897949,0.036143623863168724,0.022120917278261928,0.05742934252045465
RSPO4,0.0026401479503396497,0.021096011171675623,-0.018460467690813387,-0.03319250101467574,-0.03233557023482114,
LEFTY2,0.018876541058426868,0.1343968004112136,0.06401635269489842,-0.0280750479736176,0.05701722606805,
PF4,-0.010154919425441925,,,-0.02516688986102978,-0.0253302818631191,
ANGPTL2,-0.008227017050258495,-0.004592323367511209,-0.03826665571735836,0.03450068157893062,0.05684973634110557,0.060998452492411426
LRIG2,0.0460868929287714,0.024548003024446895,0.041778875601075766,0.018313639553971677,0.08752384775474886,0.04957974505229664
ICOSLG,-0.01062536615886326,0.03033056501644375,-0.01613602792113876,0.06869778203760157,0.00888687900570279,-0.006288258625874427
WIF1,,0.04644876501259752,-0.01716079283469864,,-0.046480526020256645,0.12560118308428153
NPPC,-0.01575278429724107,0.08278249722389042,0.02140989243331115,,-0.012085298528700104,0.1272830212301303
LYZ,0.013998823575700297,-0.02589664043749087,0.00040714110475482084,0.029920419812643696,-0.015397271609094213,-0.08150440851766756
EREG,,-0.026543627207043324,-0.022992823753694432,-0.038007833258775194,-0.029162658084517925,
SPTAN1,-0.08111031190174932,0.030274576301703444,0.007050686680572415,-0.021850729358228415,-0.008399021208115734,0.08761105504320021
PTH2,,,0.15221668504211888,,,
LIPC,-0.018249146519034858,-0.01826173917122622,,-0.004604314732987421,0.00999837600756166,
COL8A1,0.013458199961561846,-0.0022370525968103726,0.06096256859809365,0.07996065101594005,0.09615099803682596,
GSTM2,-0.03840382738935198,-0.026583574093912515,0.03314233025208487,0.08837289119517974,-0.04197601287345105,
SPX,-0.029903278180076168,-0.036625637952521994,-0.0006534147030488394,-0.03010277280312035,-0.008412943220421687,0.024256441237283766
MFGE8,0.014874063836115092,-0.02844661874826555,0.010424142315330133,0.013927454772756882,0.04158651253610841,0.0722510175565199
TGFA,0.06191184905122149,0.009288482356327286,0.050600068957242866,0.026823686512475874,-0.013307580559877692,0.005966164761925476
SLIT2,-0.026295956643432435,0.010529534207119638,-0.023759374029506654,0.0032456668965283255,0.0014954191149137027,0.035344125498002935
PLTP,-0.045967674884375344,0.04869662988737797,0.07145511899381943,0.021059686854156396,0.04143227222096304,-0.08293006789567343
APOD,-0.03636157588043398,-0.005264149865762039,-0.05470381241158299,0.03195652331555672,-0.12459609571252672,0.004145220940547943
B2M,0.08560163221539276,0.09569618770059835,0.07292584525616679,0.048404489172453935,-0.0035932144405917965,-0.0950112815675128
OMG,-0.03921064585860164,0.01555853687212835,-0.0022897041772993593,0.015072083912276348,0.015485750316050814,-0.1297601763723112
CXCL3,0.009296923831889202,-0.0382304375870831,0.011399797451044325,0.037663527852546695,0.005453471617459984,
CXCL10,0.041075401715051,0.03798588758456142,-0.025224530319683396,-0.02728300814265696,-0.04982710945132822,
RSPO3,-0.011792957781720155,-0.01826172791196819,-0.002461044809949773,0.12286946363089987,0.007316399938448789,-0.03205212276944161
CORT,-0.026446613349404017,0.04769350492398552,0.02019698435638112,,,-0.03422647566988901
NCAN,-0.06592592185827072,-0.026188147789164253,-0.010879566177179424,-0.002481599726458557,0.015479727993658815,-0.08361084537860423
PRG4,0.012685082916218456,-0.013075331621998445,0.0042163527249126425,0.05829110588495954,0.03567726388393926,
ZG16B,-0.013508646315324245,,,-0.003945372311900294,-0.021609328298178472,
TGM2,0.052513578320546636,0.001094519982975376,-0.016760123258478626,0.01762441250921309,-0.030136762180312696,-0.01578475527002524
VEGFC,0.037194746747400545,-0.02012726811233224,0.06880423999266193,-0.012734378942098109,0.1416247724116832,
WNT6,-0.01609843035951622,-0.0180165481534828,-0.024500053355816485,-0.02700864659102569,-0.02232891939833201,
NRG4,-0.014165366746992198,-0.018624100001248426,-0.02437752655526736,0.05111083787549459,-0.033579269989350125,
PMCH,-0.019627495667910784,,-0.014035573300032798,0.007529331966482108,0.02997375294471532,
COL9A1,-0.01479469169764945,0.10715558360283783,0.05652830922357366,0.020494053640898378,0.08754908077632717,0.03983102814773324
GDF11,0.02845241051709379,0.0012508552836024275,0.01793793800001674,0.016771680785805456,0.007574941531879372,0.0862123686172023
RAET1E,,,,0.04324685140612614,,
IL24,,,,,-0.010205364685481251,
SORBS1,-0.00908180686651979,0.05119380639911108,-0.0023393455308618693,-0.006234546914878352,0.017975664333581512,0.05084833869021413
DLL1,-0.05149215608483681,0.02265873380792494,-0.0093822501950282,0.034691090941269466,-0.02212461851123211,0.034222815391141505
TLN1,-0.021219776701660996,0.02162936828396342,0.009467364429240704,-0.011113205431641623,0.034509180805276575,-0.021614857133853256
COL2A1,,-0.011678254689712604,-0.016477629146616966,0.007200880707100628,-0.030253119910408872,
SHH,-0.012094978233873628,-0.029605165766900594,-0.02917795534246021,0.009393334216247115,-0.020586103578117403,
PON2,-0.08881670838001149,0.012059199538829874,0.013267087005259125,-0.013729032741669327,0.06683917838983179,0.024833127904395395
ICAM5,-0.018850882032842457,-0.007120239216047487,-0.016449700079624815,-0.02801624495745428,0.009966172584339322,0.017822741761520475
HPX,0.019033171914462802,-0.009498114132155715,0.043124950077462115,-9.59195296355949e-05,0.003671927516808706,
SFRP2,-0.013774869477280398,,-0.023802251423279856,0.076989247156051,0.04125089430652293,0.027481757321169947
CFC1,,,,,0.004965124246884632,
CD70,-0.023413358776440723,,0.0987105596475615,0.03472380144340301,0.013917007284631204,
HP,0.050261456632198144,-0.02659437457834658,0.004752977600074483,0.034825649039253295,0.04327045138331952,
CXCL2,-0.018044193851173496,-0.011471836532084176,0.04889181017225439,0.005835397284892925,0.03254879362222859,0.11266382210294176
NPPB,0.07592576587355129,,-0.020977614938758753,-0.018193540420548517,,
CCK,-0.05670067828449473,-0.007353455507549153,0.024098272696619027,0.117150151410047,-0.05808471153727133,-0.0072215556010904874
SEMA6A,-0.05801730432792553,-0.00791207382191867,0.0515753691602049,0.028954166294274237,0.07003548016323416,-0.07011911589018466
IRAK4,-0.010658506459105134,0.022535298666247934,-0.02671515896631513,-0.022328436426091922,0.06812983223166857,0.04944592250897604
GSTP1,0.032595891611659024,-0.028705201368207287,0.0010648872266788869,-0.009990266663013331,0.03347433588723034,0.04572453291617298
VCAM1,-0.027389485631736193,0.014088500508949142,0.030174432360630762,0.044106532799585554,0.08298364462643669,-0.006699277406016669
NXPH3,0.04682848135757594,-0.0034535609099956123,-0.014540556537229448,0.030735984088960125,0.0011942397604027836,0.025251334159894227
MTMR4,-0.02186079832048288,-0.0002422478734367944,0.02105739262133184,0.03825542609561952,0.027488406026091157,-0.008410562181516807
LAMC2,0.017041081116259706,,-0.013623713125730803,0.08776403519197026,0.03226094969326754,
IL10,-0.010140130076073903,0.003103845040023228,-0.011811865237871776,0.03840463161112887,-0.020455491654194115,
SEMA4D,-0.03483791423770059,0.04217893181432406,0.013720114076356173,0.022086964180459044,0.0275550079205678,0.0066896408314969956
TRH,0.03303814830214217,0.11635303450619898,-0.021419572402283236,-0.02037798535665352,0.05949767027410983,
SEMA6D,-0.017885953212906387,0.058784695700386164,0.016415913206979875,0.02810309395504082,0.08821291906397066,0.17331433026875437
CEL,,-0.02267308714673917,0.05815111162656806,-0.01643856005719748,0.08939392919436188,
PDCD1LG2,-0.013760663396829723,0.004314351241734529,-0.02427040083959428,0.025687086231518472,0.007128798179625366,
SPINT1,-0.03370429532152578,0.015760706328888464,0.07982417092613839,0.0453067537188795,-0.0404861579273432,
CTHRC1,-0.02340209733833093,-0.0173066267349373,0.03661448973956991,0.06455952265343495,-0.0166309483218448,-0.01793244012426369
PODXL,-0.01490307067823984,0.0005615753816393548,0.023018982092692458,0.017478706177048352,0.002432790361459445,0.1074668710219923
JAM3,0.009340244353759625,0.03407778972600265,-0.0017535947146194387,0.032628990034450224,0.054048985251785225,0.026545414698115784
TGFB2,0.031729289650149185,0.022248629918523874,-0.07037012846079425,-0.018784554519766287,0.04434645048347512,0.09666806795800918
COL18A1,-0.03833052913073609,0.03097645259047049,0.038325097154613554,0.006032815861287635,0.02260528633797385,-0.01970193375814693
NODAL,0.024988368093783322,0.001091228424700829,0.07852329592996175,0.0034648135731972325,-0.0029931216905512608,
INHBB,-0.022414057171718713,0.09593673402397353,0.030851125360015594,0.0028257236476680846,0.09119055271847341,0.05138720470173775
LCN1,,,,-0.020607327943350226,-0.022680656200458383,
ARF4,0.052218698353676415,-0.0030519716296136725,-0.013510776645970429,-0.0005359659178499147,-0.028437010434196924,-0.06776765249359781
CXCL14,0.06835624377614796,-0.013076446414794662,0.05927687013955498,0.08592112087908756,0.048146622190446124,0.08213651344131734
LIF,0.051205600502494224,0.03509553709258984,0.04024250665906094,0.013763196286768014,0.08436805692556802,
IL17B,,,-0.019382641470029216,0.02537805022903782,-0.00657127054945431,
MMP1,,-0.011492285511174948,-0.014035572188501273,-0.0552684491443208,-0.018534292994205028,
MATN1,,,-0.019975892859371062,0.09184255406757158,0.06319829001753252,
ADAM28,0.003418623809748677,0.011359449444657159,0.022596608746427094,0.044976939954028426,-0.002381715823840303,-0.06607257085092003
