,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.018697410361185704,,,,,,,,,,-0.007114279700840612,,0.024210393364913717,
BMP1,0.05751921689504917,0.05657400665173085,0.008481951398018292,-0.024851970405622866,-0.028563394540105747,-0.015041055580799514,0.12744484022971866,0.04365951209491842,0.003128127402097608,0.05042020527500335,0.011385119867827776,0.042782073184564035,0.012954940062726074,-0.012377106215136794,0.02514601508872997,-0.09920997867026288,-0.0006362076749969836,0.07271298002913588,0.034840151725048396,0.008426705338972204
NDP,0.06676922177429699,-0.005434087526840653,-0.009046690779844803,0.039753273938469176,0.10486069650972268,0.027584355914707103,0.10314593306427099,0.007763801626712219,0.016933343520235653,0.12474179910265633,-0.01131964032626906,0.051985925811032854,-0.07817659755200213,0.05782524650795251,0.0012724276982928927,0.03334322345042508,-0.03875837492727143,0.01293441695879515,0.09538611318929924,0.030950562826222255
TNFSF18,-0.007862439921115393,0.004926820256931447,0.00016587462745427947,,,-0.013291557185702648,-0.01368920524406505,-0.013628220632650971,,,,-0.03365914441572033,-0.05864635695432203,,,,-0.027343691739875903,,0.030085281433122384,0.012175397023451833
IL36G,,,,,,,,,,,-0.021478694932765042,,,,,,,,,
RTN4,-0.04859341750665874,-0.07108694283234178,-0.004745565263813938,-0.007355934682076494,0.09606791082101548,0.03660591085869641,-0.08634568494103113,-0.01982296703839817,0.0016291759345211764,0.01662276250371919,-0.028411724994608645,0.015541754236292794,-0.004617164518493686,-0.0936742482521834,-0.032854808131196546,-0.04085929573071764,0.07813340441811469,0.012645313699790772,-0.018486559300885243,-0.07047052070521619
HEBP1,0.0043493362001887125,0.03605553323595094,-0.006152086119474458,0.014216750141988418,-0.012253136905042405,0.07139145718406419,0.03842592839223959,0.03240148442060473,-0.009085544596814163,0.021583504355694144,-0.010144067498621932,0.06934085332860143,0.034922037031942604,-0.060177032469298564,0.042392547384397516,0.0276374587514585,0.06986457250349357,0.04834214615583185,0.08155036787138911,0.028636897726964733
WNT7B,-0.057889279990864774,-0.004917208068254128,-0.015709239525174813,-0.02495039985074999,0.06992117087131211,-0.03577626780671373,-0.04646279702414702,0.007931755732310808,-0.01868493703916772,,0.020228349440656518,-0.016492175724653856,,-0.03139837175171816,0.02324220066516819,-0.001450543189353819,0.08270695268113008,-0.014814291291587619,0.0016383806875431626,0.03146959271783593
PTMA,-0.10867456443555387,0.10250300591297676,0.034491101266139225,-0.014771121177559562,-0.061663697639995844,-0.015304142027122774,-0.1016535091846258,0.04435276717535758,0.014267446646751234,0.019935041007539553,0.017764517664010663,-0.02081813068629631,0.02595662049957528,-0.12367118592528947,-0.11802853128571361,0.04548217453695462,0.03317628312721544,-0.014510849461717865,-0.04825938852458076,-0.04639144630580219
FASLG,,,,,,,,,,,,,,,,,,,-0.031204146801812938,
CEACAM1,,-0.026011923558835477,-0.012055896488437145,-0.028810558657853265,-0.01788904433920517,,-0.025553189252698883,-0.008560812911135017,,,,,-0.04123834206853912,-0.028158562705595063,0.0006018336633255609,-0.02467802228039902,-0.02583991998408372,-0.018955042268151916,0.13778998208794385,
PDAP1,0.014546839620632688,0.018662376940582426,-0.03800923408777791,0.0038473227260685692,-0.02230293518316938,-0.0038456325303474854,0.10331477793332709,-0.002415949480383498,-0.02034564883184237,0.029093128157586367,0.03317270234679752,-0.0279222118814587,-0.061743087950213695,0.0189723746778953,-0.07598845286538924,-0.056597560477655594,0.023334338743512578,0.03359264616713122,0.02210885318920478,0.004957077229952091
QDPR,0.01347883017052351,0.0016798632191887292,-0.03742973056664671,0.017263075005244148,0.086051629219699,0.07644655223359417,-0.04484996883726694,-0.00940382632816165,-0.02464926854145395,0.01608405980025644,0.008198795349929611,-0.06524756356227993,0.058227759210081144,-0.0022461080727667663,0.06016757577219018,0.1012262336242653,0.07550312328739126,0.04941396277774729,0.059772738179446186,0.018561037060328703
POMC,0.03254387843200778,-0.02236683337908824,0.00832046472176122,0.03999157891987812,-0.0036569540909803496,0.05659472726437964,0.023130027277384793,-0.015813109527826386,0.061816498880333234,0.018634433333316762,0.01117238867049784,-0.0391324377070356,0.008683212571256227,-0.015376659196439296,0.026559354373784674,0.08250090148223067,0.04157108317275126,0.019529571103307025,0.07401262571285017,0.006275445351059614
CCL18,-0.038344263370926265,-0.03246042289013444,,,,,,,,-0.002685884411429786,,,,-0.019964883929448833,-0.01032232828036671,-0.016897819767101665,,-0.0135124513518585,,
CCL17,,,,-0.01669895613922304,,,,0.095969592754385,0.03910030934741341,,0.04919371066393173,,,,-0.02109331910131215,-0.03562427443402435,0.02346699210929453,,-0.02828305423796586,
VEGFD,0.13625573420627735,-0.011876868139469615,0.020608245365718515,-0.018604481200153088,0.02572522711957617,,-0.006382176528170649,-0.01810891324443232,0.049082666233714434,-0.02500758179094133,0.07618208162576821,,-0.05606262235225151,,,-0.008578890260578374,0.08776624299862536,,,
TNFSF13,,-0.02449568454028055,,-0.011518566211161891,,-0.012890037694890352,,,,,,,,,0.06985313406758677,-0.03872236835459095,-0.02299185856391811,-0.02128524205214599,0.04085352355445074,0.13859199658697155
WNT5A,0.007461387829917549,0.008440707679047406,-0.02793842148768505,-0.031122310284719547,-0.03065712597670215,0.013491275252291674,0.10601178848667238,0.027842546007966665,0.028747187769784122,0.02698512106125582,-0.04192093231169051,0.012952831879803948,0.009841428056499913,0.06802019381424698,0.005844312875274636,0.012825103928534394,0.04334083730771011,-0.00548477698458168,-0.03889454645177003,-0.016489133385844946
CXCL8,-0.09996557902014343,-0.03133785410485295,-0.016168406738585335,-0.052271548789700785,-0.03427082803114928,0.02221460840529635,0.020529813753902754,0.039928706139180016,-0.01579735786724927,0.05989392793876628,0.01393150097988226,,0.12741110312244588,-0.035151321493671464,-0.06733331989785704,-0.1037873431938443,0.06509048624056277,-0.021177093827612882,0.024370382446558123,-0.00041427418287889737
GRN,-0.017444514096014798,0.06870689937812831,-0.035478273278904376,-0.019520247483832676,-0.07013771798189583,0.04725169672434759,0.10966942583386236,0.014889764857961455,0.03868350958194015,0.0668361641966606,-0.001116112460339917,0.0072446623259005945,-0.02225663081329643,0.012354450745283818,0.0011328322223487315,-0.042786668633327744,-0.057477249020538045,0.06158448765926007,-0.012629214718690713,-0.022486250736846142
MIA,-0.01820712932912844,-0.01319772802937317,-0.015356642960508524,-0.025890350788033832,-0.00028973037744593055,0.02724775840595529,0.09188461306467194,0.01998807060307619,0.010216201289515945,,-0.016323979130615618,0.00190467232211613,0.030142800219462022,0.025277043462958185,0.07092726037938424,0.10306698249595715,-0.040341824854136746,0.007097379318918438,0.06597258413406247,0.09197750461978875
