,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.08598465314922155,,,,,,,,-0.01950571629068792,,0.024057059998071,,
BMP1,0.0014503438497518372,-0.002422850269011871,0.025532256856763257,0.011427108110781976,-0.012302049566524054,-0.01958801363488267,0.038038123255064414,0.09706882737332816,-0.024769543953820434,0.05244145286426216,-0.013661513734166264,0.08536079258122906,0.05745336127547417,-0.037888843422879986,-0.004746002257883761,-0.03005390065314881,-0.0008086172755164548,0.044810441464803674,0.05792838640196266,0.05104221166743476
NDP,-0.02389156082364986,-0.04289521701648321,-0.011041081417001452,-0.05187948955041515,-0.04701016047323601,0.02227594149007334,-0.015163559048414847,-0.006957011973500754,0.00023770581757172866,-0.03195839643736482,0.05333358396347257,0.023133526980184026,0.019256217159775248,0.005594012204010044,0.05739505796719291,0.04705175173540152,-0.07706400960323741,0.04175947315323821,0.025848990160787108,0.08735880470492992
TNFSF18,0.05177894031338919,0.03721347783552292,0.06936180197616332,,,,-0.014453492464309927,0.17110098774039023,,,-0.02705029798072655,,0.1381130754676649,,,-0.020115900914475116,,-0.023050366218238555,0.05240862716809788,
RTN4,-0.003342464284707412,0.09191286893747344,0.029214855572935315,-0.06594842527460353,-0.0607626245135763,0.04529669426593052,-0.01905112180789563,-0.10086754181628779,0.03856144224424467,-0.025258915595573767,0.08618004503002369,0.029446836916021783,-0.11932333622487507,0.007840279414701612,0.010379641170145707,0.03634616627751828,0.0025162936437334842,0.011757126975404944,0.06461314714497217,-0.03746451378803779
HEBP1,-0.04477927824182729,-0.11974011445373554,0.019917356758036065,-0.014070007783635565,0.01976051977580327,0.044047540519889496,0.01931918571371998,0.031460837689526774,-0.016546594544472337,-0.009200835846413612,0.030390677896673164,0.031535638492990105,-0.06095355932334034,0.07194380332468985,-0.012661224633152807,0.06919366951226166,-0.00013650886176552965,0.007451011867439486,0.0011128129432418465,0.01771885581677274
WNT7B,-0.0215875193782008,0.09143449575169958,-0.016536730232229065,0.018721767603670083,-0.02403262020707372,0.02969359208838069,-0.0035855672965249734,-0.05571851124472149,,0.018789520796726127,0.24290089589103764,0.055625198698309654,,0.07753995608862005,0.026941553553034372,-0.018736352691167142,0.018420035531060364,-0.012458340303501604,-0.0058103810255190555,0.10499156681304243
PTMA,-0.048551821173387695,-0.02216410608958463,0.018561325218383183,-0.010157323905465379,0.001322235885036972,-0.024347264215406186,0.02930544204045372,0.006818649048202538,-0.0620598732175218,0.120103227475136,0.023367819646285773,-0.040831308338473205,-0.04722522224859695,-0.05656900451278545,-0.00684989852679573,0.05615039673654904,-0.008305917889728781,-0.006726071392352736,0.0015610654876251635,0.06951088992479923
FASLG,-0.021587525480937227,,,,,,,,,,,,,,,,,-0.022105398282637544,,
CEACAM1,0.032186120225285365,,-0.004509701400108138,,-0.016370105679314406,0.0013274299454344685,,-0.01573178614138768,,,,-0.07112953341455562,0.06213263819529517,0.018665710526116902,0.007544274470230695,0.0056231888704545464,0.014074337860321128,-0.030756415018252097,,
PDAP1,0.020632673949210704,0.03567476965978496,0.02110132622736014,0.06675173623671629,-0.007600158176204788,0.00546243801476926,0.003277152134925586,0.02037236542842691,-0.05925842373733088,0.06029775205726566,-0.011001177591234786,0.05872332592386667,-0.004464061709908108,-0.0036073519677762614,-0.0066270244829390226,-0.05091725161468257,-0.055080304258163355,0.028256303280918348,0.010855509509636074,0.020891816900343887
