,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.03298343221225064,,,,,,,,,,,,0.08813354219345157,
BMP1,0.021897564706396005,0.1254662335842678,0.020236870223205868,0.023116195883296317,0.05410450306265443,0.08163329890204539,0.07812241190994491,0.006989908878557621,-0.01488094023777531,-0.04132521259500118,0.1361789665695523,0.01725935543727476,0.13579436685666368,-0.011824241992026625,0.11361493842599096,0.1056247885121449,0.10083914482299118,0.08465465409416907,0.2642192538476987,0.050781609716789425
NDP,0.0006675772690090786,0.00493294599772846,-0.01671417079328326,0.017380626717190865,0.012808774169002347,0.06377387900773496,0.010388493991163998,0.023787615973146273,0.1404428682320818,-0.09677681093239304,0.007556904307645659,0.026460969575972382,0.10248549814081416,0.03392646059851227,0.047000376471627484,0.009138351708328588,0.07935895449555151,0.005310355310967538,-0.0494676997555406,0.024260308296532362
TNFSF18,0.07860341448810389,0.07030047685675295,-0.012226331770212647,,,-0.01710413558881358,0.03668231944045503,-0.010647509681371023,,,,,0.11991524122306103,-0.028502162391604188,,,,,0.029994227551668876,0.01103982345258727
IL36G,,,,,,,,,,,,0.04715574044642117,,,,,,,,
RTN4,-0.051256599505975234,-0.05430317358931181,0.039002692937454043,0.03583015919144432,-0.00014565520302439204,-0.055703836716832614,-0.09841944348559757,0.07192303662881332,-0.09753468614714542,0.09247314242590489,0.03080584273999566,0.013922756719744496,-0.06607940060744827,0.02196626846868493,-0.0761707314337537,-0.1375337563769448,-0.025208116436597993,-0.03733576206903794,-0.034912238412162684,-0.10218567859438256
HEBP1,-0.006684160328231041,0.03613569690277644,0.00036949137390056893,0.004365915301706029,0.028714289258467796,-0.011160210829828068,0.0637205438851923,-0.02415446118414235,-0.040107292522426397,0.06650523515222995,0.08356224195647702,-0.03268592767529175,0.0392074870833182,-0.07692010468792122,-0.0331849048937655,0.004021798995036608,0.021130301352921255,0.00010442057966845593,0.028302777060304003,0.03241422235736158
WNT7B,0.04902169499494832,0.035944989638241345,0.02406066924873162,0.008794882023680728,-0.08016104530148903,0.03834869426175754,-0.009751685106599193,0.14986047268364508,0.008575739915826283,,0.0730687351651493,-0.02622378586060547,-0.03673719707948474,,-0.011729418996908252,0.022797933304339723,-0.024274304841242107,-0.004692947813999661,0.0376595133822549,0.005361289897428856
PTMA,0.027091645272964843,0.012039114055249468,-0.046682792443023945,-0.03514255417113994,-0.004093940665457948,0.08779456722046877,-0.09686112410667122,-0.03448859840589383,-0.001509553610896859,-0.050375101481351256,0.05074166478082857,0.023788018292247005,0.03629519631196089,-0.08899504861905762,-0.031053576174823364,0.002625208704841584,-0.11852868546027642,0.021433166858361222,0.1887367376523053,-0.028890079979165026
FASLG,-0.01994977078594381,,,,,,,,,,,,,,,,,,0.12237962524369903,
CEACAM1,-0.02770043133043676,-0.01991820903834445,0.042550555568791996,-0.028838350282370428,0.016104675305404628,,0.06597198180998719,-0.016745996129576765,,,,,,0.07635181668187463,0.0307502015055816,-0.0413369157374281,-0.0014306964771475905,-0.02735050618474562,0.03187197899383627,
PDAP1,0.01776915605953545,-0.041431575796351816,0.010373124510937078,0.0028563784987251694,0.0630774238363915,-0.014953530594666314,0.10265271554472799,0.00737077314149363,0.006465179575957737,-0.011607691262800385,-0.006759801327439392,0.08664751631983549,0.13752487758316856,0.06263686000169998,-0.08659969226374634,-0.019308013041153656,0.08083399539369332,0.035828706706783287,-0.002996180459451689,-0.009428048981616111
QDPR,-0.011091420617892086,0.002885754479493982,0.03583215341318062,0.0035882815412429767,-0.07948784035843563,0.00519251405459401,-0.13474799877773713,-0.004039768455124845,-0.053169827118655755,0.0030917373465067306,0.08990404724894513,0.08146680751336292,-0.08661867214508025,-0.02786071862932565,-0.15570315902239154,-0.02216207282917467,-0.008509087349380716,-0.04158352651454794,-0.046734498422761284,-0.01984219997973473
POMC,0.022885286275213083,0.012903922161178891,-0.036771683393052104,0.0011877655025004786,-0.04759512716974833,0.008439534714383209,-0.014833238746914135,-0.012354528249030876,0.05326473876704229,0.041406511194866824,-0.03255497478668737,0.005703198567942543,0.05320795667349726,0.015251436230031466,0.10957832679763482,0.020676633302010736,0.023852888314955818,0.025079459690643905,0.14648864446117524,0.015875879131901468
CCL18,,0.010390517415601187,,,,,,,,-0.01007494979856827,-0.03299423958727978,,,,-0.028574171348267306,0.05499226840507912,0.08794810758830408,0.06443016331864815,,
CCL17,,,,-0.023362811156130425,,,,-0.013279517579130084,-0.032625377515102805,,,0.040244266217862965,,,,0.18038046603181015,0.06231731729720498,,0.003776539437795546,
VEGFD,,-0.0037062047764910436,-0.007290742846415049,-0.020230503335113278,-0.008823564408821422,,-0.04094084491596492,0.005701279489014865,0.05803652423016784,-0.02042609378225299,-0.012474605058915015,0.1207035414597792,,-0.04572196665226597,,,-0.011211979172775596,,,
TNFSF13,,0.03149639878938772,,-0.022333844678107964,,0.11580752375520799,,,,,,,,,,0.06486340321964133,-0.0022933196363257996,0.08147614433342713,0.030631567693320507,0.07692079122000879
WNT5A,-0.03426176936135268,0.02232391960932745,-0.008005932023871556,0.045195802006630315,-0.05666021447502623,0.07525621727121858,0.07248743686973073,-0.004753219017516525,0.015289590033312315,-0.019199295605712832,0.061076629233606176,0.01553184605435614,-0.012664378656965198,-0.10137369566304737,0.021000498648525875,-0.0692442333517045,0.08545907296470762,-0.01732821334091863,0.11904948751109615,0.08201532212242368
CXCL8,,-0.02787569673735733,-0.027754460727726204,-0.05586753573937994,0.12476959817305475,-0.008281861353550789,0.01987571128884621,-0.05492581374593024,0.014877981285605739,0.015795849361374226,-0.038280760553353645,-0.04926071779526941,,-0.057610296325655244,-0.021413182834715643,0.07796796472116233,0.018881032810898216,-0.009097380741467166,0.04541670311784992,0.0039239782812705674
GRN,-0.06218428077855525,0.12782619164038095,-0.0031597864686417256,-0.007429095085095612,0.04252119248211287,-0.011906742730295393,0.08577591860715612,0.001812066535932395,0.008504788608622452,-0.018861338890241334,-0.07667828120849766,0.017726577636148908,0.005945114142677011,0.04873577865541944,0.17300970869184112,0.1024987563811187,0.0035521493796304843,0.04345182085920216,0.21169414167134884,0.011905972715423025
