,MGH258,UKF243,UKF248,UKF259,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,0.011147350433047334,
BMP1,0.028231276882590656,0.03917931273658247,0.04797422242338787,0.01923496854204519,0.04827753145249704,-0.020443077124638095,0.055856677269721274,-0.015172591329238977,-0.13955615415672412,0.005198814911560274,-0.07401181860569267,-0.05317637167353753,-0.019884304872239984,0.08813971381040638,0.004214646203772086
NDP,-0.023715030479632363,0.050521968753005256,0.038386611175891386,0.050130527232532,0.020024256992604638,0.00121416394700484,0.039190253455514225,0.054423946016542775,0.07791822338354545,0.018346115566775505,0.13143322584666722,0.042253980958208065,-0.00688403231879239,0.036497695916547765,0.08772331623005439
TNFSF18,0.06462597995131278,-0.019581146307067948,-0.0350618398016713,,0.05700760484502015,-0.016805534217002746,,,,0.025949518694263842,0.07195025909300815,,,0.03322958472481925,0.03143787188825693
RTN4,0.032180712549643366,-0.019071947889226396,0.03324699778053495,0.031248056997599614,0.006271937413246228,-0.03149488328504423,-0.10565884904392989,-0.06636622616288716,-0.034027958385019666,0.055579427253798656,0.055526642703592435,0.08170395635506077,-0.028665129133404153,0.07728912821210292,-0.03965092429514947
HEBP1,0.038503489905506005,0.03769677827704227,-0.00020618812184049678,0.018513255196504895,-0.0737304890618306,0.012111957655272797,0.01129129098865189,0.014764504693375067,-0.061139182048577365,0.07029618603428582,-0.08209858450223687,-0.03548619583139519,0.005965682691767404,0.06167651523901418,-0.034989663340991205
WNT7B,0.01853137762100189,-0.045702613148005757,0.02945748463401491,-0.02780149257125754,0.06072017355436435,-0.015640752172679757,-0.04680378068970587,,-0.0789356167986154,0.020068363018312375,,-0.06637602719233768,-0.011071665937228779,0.02070878674849397,0.12658719166170707
PTMA,-0.01777733885846776,-0.054858219563043806,-0.02132830095054824,-0.02252799280563699,0.006636522071590632,-0.02043865808409662,0.01706040806348734,0.07743250968247993,-0.032106190337955996,0.034371750883424,-0.04998929424104739,-0.06707051501220868,-0.024661451704396896,-0.1330764806423533,-0.05877679641787771
FASLG,-0.02255635945656949,,,,,,,,,,,,,0.10958348214309895,
CEACAM1,0.027015379812666565,,-0.006657940478947171,-0.02274561883066881,,0.13461285374753448,,,,,0.04440428398217725,0.004755035068601246,0.0651119923840197,-0.04875591150096924,
PDAP1,-0.029351727736499193,0.018629770635952572,-0.032041488781642084,0.0032496909403251484,-0.024996017151793223,0.015614404093250864,0.028441967872312134,0.017110380780931116,0.09088076111654199,-0.023328236006974073,0.0040494528729695285,0.13310717867380784,0.009108352219165245,-0.030700749472270576,0.01113749344772311
QDPR,0.018823311913570045,-0.013570489008486645,-0.0005801411187753529,0.009630411255850763,0.013211009970739285,-0.0007763849359088084,0.013088146307388417,0.030498360892763417,0.0022162152227610974,0.039971872825200934,-0.015594606810913816,-0.09605940857428634,0.05106089658688395,0.06890982233123397,-0.018728282454122565
POMC,0.07396608511962321,-0.036972472060368314,-0.015452589278987718,-0.029895386445354874,0.0712690451978862,-0.019499812955068446,-0.020230643290551537,0.03381190913695798,0.06639549749200474,0.07734174322211307,-0.03060296580810461,0.015425954290839856,-0.029979262142981248,0.09722625065423873,-0.03232888589915918
CCL18,,0.016562267775973104,0.023308401419801703,,,,,0.03048663553504766,0.0495042751244405,,,-0.042205681526158924,0.03680407916634017,,
CCL17,,,,0.012072308545418579,,-0.007823424522890572,0.006818175856656099,,,,,,-0.01442615937457262,0.04883938885640226,
VEGFD,,-0.029587262625800866,0.03506109574069265,0.035084071706667885,,-0.02233086544203115,0.0012974552559163772,-0.03042256164225444,0.04217033377236655,,0.10999137338197076,,,,
TNFSF13,,,-0.021015102893706103,-0.012834797633174183,0.02213025785769314,,,,,,,,0.1106020676295838,0.00971955802582784,0.0054090333132572254
WNT5A,0.029038947440542973,-0.00795145374032605,0.0964838845161808,-0.009697434745134074,0.02224997309637161,0.04198927829074657,0.05999208113726225,0.0012374058022745237,0.07149936689020198,-0.044364991107952875,-0.002673697277134772,0.05163953072465364,0.010057787060423474,0.08288713959840123,-0.009711491029341707
CXCL8,,0.01878665558899128,0.09676286381721783,0.005160190606770611,0.07849637725111504,0.01972528397746059,-0.023018077717347117,-0.030377871710053163,0.11961488941924255,,-0.10373502280720777,-0.05499602995287801,0.000674739183785008,-0.03391693750677639,0.024069158228302457
GRN,-0.033796371220211625,0.0655099834962945,0.010889682870816254,-0.0021172278704916043,-0.07636016556604135,0.027866284642072636,0.08172467912700052,0.08778248568942736,-0.027778870014321354,-0.03940226913648416,-0.03437749341908732,0.03801549406152139,-0.04135188779112861,0.04133695090497315,-0.0720923401569948
MIA,0.0013398235495073298,0.09004907349347839,-0.03597482785625287,-0.039180421588628736,0.08422503806237248,0.0016869419924096074,0.045501995828937075,,0.14325336010880405,0.07020400306306246,-0.05086272988779987,0.04309808385648665,0.1356670357139604,0.023526922511408387,0.0346136832800931
