,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.01964879135292344,,,,,,-0.024714131067121652,,,-0.03116093975177785,,
BMP1,0.04687562782590748,0.0056175811481122655,-0.029994828951022148,0.0014970084295107427,0.061745806844662736,-0.003173362354516983,0.05908503621335035,0.006007898537642797,0.005496032916409446,-0.052738565878198605,0.03960622028191138,0.016994949051391393,0.015152664631138964,0.01649529791454543,0.03471671072946673,-0.009177864641033179,0.0009329535313438085,-0.024635232532801477
NDP,-0.009966973089015285,0.007097934879309297,0.06552026921811789,0.0051998336701473075,0.019414079774886666,0.04050065234700186,-0.005130271959370219,-0.005069618815799998,-0.009328210548678122,0.018525863233467173,0.06910371684302763,0.10623682642100332,-0.0016065300078036168,-0.033103284286921594,0.02193099325385362,0.02190058202279029,0.08237970888801711,-0.04208201629054437
TNFSF18,-0.011083758241457306,0.1336406271706429,,,,-0.016828653099868227,-0.029177865286210587,-0.004394925317604274,,,,,-0.005713870592436765,,0.153396470242517,-0.05256293435707234,-0.0022103849806224558,
RTN4,0.0906718828228077,-0.07531241883634149,0.07685415929871309,0.01286296943339451,-0.0034135772843184677,0.055912654664999825,-0.08294736956266875,-0.05888445141877517,-0.048982700194643715,0.11669329943704683,0.005379013235785994,0.032484732943973395,-0.06641558537272102,-0.05186917156191063,-0.12219292840993375,-0.0744061088279313,0.06582232552062832,-0.007802130151370656
HEBP1,-0.026029326623863883,-0.021168964594537737,0.0664304837563257,0.019202494769330447,0.010753637070003874,0.04696909383591294,0.04369920775142622,-0.020571182430397718,-0.014941417772408663,-0.04658384477768675,-0.08928905836570654,0.04438169657978253,0.038340521576917856,0.03869242862015265,-0.04726484076655352,0.027835807174354354,0.03198372194492125,-0.033569938854988955
WNT7B,0.20050450722516822,-0.016038306829356495,-0.04540623041525865,-0.014361592314314798,0.02233175936586645,-0.0027160307617794866,-0.028065424629628456,-0.0022995260532760924,-0.020982731391019343,,-0.03804959288807342,-0.03652214667845884,-0.042652845267984504,0.01469305466940502,-0.03314014863294955,-0.01198941435804546,0.07455850461605086,0.09976978604362689
PTMA,-0.0009953401009476916,0.08505253555991865,-0.056819557639005924,0.004249770966132621,-0.04325302665428646,-0.018792979787622274,-0.0910824490661069,-0.013930085876648788,-0.060132452700721595,-0.1324511092298776,-0.03047511109364844,-0.03595293872607505,-0.086681156039095,-0.06371916825988276,-0.10423695749978121,0.006129563820182529,-0.08242518961469636,-0.0573864217598384
FASLG,,,,,,,,,,,,,,,,-0.027025872416008727,,
CEACAM1,,-0.020242235282567817,,0.004604618881802694,-0.025270608591849316,,0.0026742306027766165,0.04885095048040187,,,-0.02132106357214228,-0.01769327973163055,-0.03662251323483285,0.023213610712984358,,0.03300708022975455,,
