,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.054438053615449955,,,,,-0.017996417338518606,,,-0.015955111174885562,,
BMP1,-0.03237585960838521,0.020480901207944432,0.02320039116213956,-0.02184131644685373,-0.056699964049654855,-0.08156279976230063,-0.3417100647922924,-0.10198369731446966,-0.013533566264823233,-0.1445418918802319,-0.24500042206816677,0.013224251092319983,-0.07659738728990387,0.011233753144132677,0.1382782263434247,-0.01524784789611981,-0.07106008786520643
NDP,-0.07672693138702896,-0.00311237835981606,-0.006538009768510511,0.02432250434662793,0.09908791128690288,0.08892310320270953,-0.0709375749319461,0.05768968158835707,0.0028571919758481772,-0.1069116648764456,-0.05018434183967211,0.012649906278005161,0.11890673399076117,-0.02075502441510956,0.000789718264543483,0.06597317479922435,-0.020441263399824338
TNFSF18,-0.0270033034902692,0.03504272623904906,-0.041834179991396755,,,-0.014099763673555643,-0.07169766706177183,-0.043532961262262256,,,,-0.018559387545793886,,-0.03905549669784271,0.06811862642622832,-0.04289612559979908,
IL36G,,,,,,,,,,,-0.036073888815776986,,,,,,
RTN4,0.3360007466038213,0.10592301642150372,0.01592251610468897,0.061977485998555154,0.22691963604585447,0.2485630518343641,0.4566023848714207,0.12419582568068727,0.1370146122580344,0.396804734430985,0.34426898285407637,0.028444363356124658,-0.044923418383450715,-0.08642941445769269,-0.03581640671153623,0.3110891734084004,-0.050146656958729476
HEBP1,-0.10196694388687944,-0.003214262831909731,0.028401339542830657,-0.0377434076046559,-0.06241840040887483,-0.11680612459746634,-0.15254542996643544,0.005287342551296669,-0.012683355712710245,-0.19694223800049881,0.014950926344607124,-0.010765637628601384,-0.038146400733319895,-0.1219606412184531,0.05267545349699626,-0.010288580201258403,-0.04463224846751957
WNT7B,0.38762192714960336,0.01139711965317277,0.05906717936945825,0.019519400955984662,-0.010649945798273362,0.0912110370218863,0.2667933015860152,-0.00262830176281714,0.05614437494134617,,0.12076125616894455,-0.03880918077364013,0.024625643126949558,-0.039055456200226484,0.0469632050276812,0.07579235025717512,0.08223995432209531
PTMA,0.0016608803763762327,0.023535873387920018,-0.0728188819394643,-0.030422050363734656,-0.16979399759172675,-0.28220981675741846,0.10404056395098912,0.1167165195347142,-0.10367456952226087,-0.5265853929648258,-0.35207591294548085,0.04188284842464738,-0.06290077082440551,0.03508130290352215,0.11111795614053088,-0.168480524964102,-0.3036002180917678
FASLG,,,,,,,,,,,,,,,0.10037960552839911,,
CEACAM1,,0.05809845573727423,-0.019942765570458872,0.008967662159659814,-0.030298508362542206,,-0.07381682255010055,-0.01244688567582241,,,,0.013257910213497877,-0.015355403347396039,,0.03454616269526418,,
PDAP1,-0.06084419693292138,0.004789170565257238,-0.03181351639903211,-0.028152543280840846,-0.08723186237857222,-0.15720453428046519,-0.24869060709718208,-0.06422737965799624,-0.013800091644380523,0.04283658437871399,-0.18200180121029763,0.008912246526331824,-0.06692110816514196,-0.08823890789971264,-0.019218107308126394,-0.00717092805244038,-0.05009319877376026
QDPR,0.20094995177257108,0.07551597889719631,-0.031196279448072455,0.0667617542515916,0.18242665982619904,0.1322667609134994,0.12815973071948253,0.08457791254441809,-0.013060452010896659,-0.40473613645427975,0.06397671596123966,-0.04657488989300541,0.03629439104584958,-0.10932057060969905,-0.01296068689951313,0.2030036403532517,-0.21917686312338513
POMC,0.20758830684396795,0.034473780869542836,0.009891350181186346,-0.005050979175095616,0.09954076780613903,0.03351226174670824,0.02726297911471351,-0.02115654041066164,-0.03636202598237691,-0.11839657661428087,0.04606471858196766,0.10382422791499397,0.003905529584910607,,0.03689815013666376,0.02218224545649414,0.10177241071014402
CCL18,0.028283676543674946,-0.062192688084125355,,,,,,,,-0.17265458905470024,,,-0.05288010439981819,,,,
CCL17,,,,0.0035997810791809004,,,,0.020783721312628622,-0.010983132294622106,,0.012648274104618837,-0.002504598566700124,,,0.011332325066931609,,
VEGFD,0.0022815509790219198,0.04736078661282308,-0.005853340534122069,0.014748702193452546,-0.03789306354942056,,-0.08695820908627543,-0.0026659595474093477,0.028502113940620525,0.03147416147648928,-0.02511193684185301,-0.025024911320361252,,,,,
TNFSF13,,0.09339006493153369,,-0.01505929188789554,,0.03311249122552517,,,,,,-0.004364563162458258,-0.0172430888010636,,-0.03872503891987525,0.013422309487384002,
WNT5A,-0.10820058361903896,0.007902134744253973,-0.020210475932163362,0.008110510067124207,-0.09472394901820529,-0.20581372073300924,-0.2948005050491866,0.03213839762255021,0.017547062088927444,0.04195666077226835,-0.0908604932347392,-0.06452386609161548,-0.04453767536676409,-0.07373091961284131,0.03830193695431865,-0.08467579467695412,0.07804123036512589
CXCL8,-0.13536360749609205,-0.061136071388485744,-0.02674564645977932,-0.052819143312215704,-0.12553532340095647,-0.03154431326860883,-0.10878056372521562,-0.1319968981989465,-0.03970029220141755,-0.1756001175830651,-0.0917887050170985,-0.033687503937758205,-0.05784763860218201,-0.026985651415230044,0.038263713610362717,-0.14264150486028204,-0.031430367459057695
GRN,-0.10029110583885179,0.009727349660304434,0.040124214899394786,-0.01495105389875756,-0.11122756258741665,-0.15868382447191942,-0.36149395578702975,0.016274548173597095,-0.07950181001851904,-0.29661041412172884,0.018822024378220795,0.03704970463824249,0.007416301103225275,-0.02804155617813117,0.12785220232387037,0.026524343117566875,-0.0569277908595904
MIA,-0.011614307309396247,0.05077334946706116,0.0003049851148553773,0.04707420633516445,-0.07421777479564881,0.014986227587620084,-0.10704619421497039,-0.0907770791548721,-0.02470259325464237,,-0.048370141990297426,-0.02175143325147295,-0.02925066502407598,,-0.042714780483056616,0.0030669964066135816,
COL4A4,-0.014482831203313657,0.09575837526853807,0.04219587827733971,0.015960101178405246,-0.1193508938066374,-0.05053181417084667,-0.016304024367405814,0.0917203249661657,0.004953800012863004,,-0.04692083221924617,0.1015965315215692,0.021075883448547363,,0.09895441378654168,-0.07411135521262631,
TAC1,0.48330368253768863,0.0896108783577179,0.002050048627590146,0.18717882504496228,0.3121072528475637,0.2437434871883138,0.43984698918108245,0.24996512609416763,0.07689711654526916,0.38163668671832046,0.35956700290726723,,0.19694832457044328,0.03687088862803451,0.009329321611040262,0.2676653741391785,0.19191732360878377
RARRES2,0.029239171023264957,0.027974667332400092,-0.01542997064040047,0.025300658638064966,-0.21286448766783747,-0.13069175835793673,-0.3893717916013115,0.14141266080661985,-0.05885212290507131,-0.08593521045854556,-0.162403828082038,-0.03681495772509539,-0.005123049159396347,0.09512715573148851,0.006584263430721711,-0.09540336388412751,0.08577986365846464
FGF7,-0.06563976814117842,,-0.02226961544432316,-0.026910287835866603,0.18145272388428202,0.07810245422496,-0.06419283769612956,0.01403518461660712,-0.011084069331159851,0.008628361950753524,-0.020166953431126296,0.1257171427219151,-0.03825122793295557,-0.07369771358996996,-0.0007162690987487409,0.1102636000837651,0.0727526057481031
HBEGF,-0.10479551231595051,0.02637598432266329,-0.052166804611181714,-0.056472811898889315,-0.09395936922212371,-0.13126429659197958,-0.15193896031092544,-0.17937929694942328,0.0055311956885717075,-0.18998859805544246,-0.007625794219148747,0.081559328534563,-0.022638295967002165,0.046953765686130605,0.016619583195382908,-0.10074519693292676,-0.01642011964823587
CSF3,-0.06203826159554247,,,-0.032884967399768955,-0.006763330385602942,,-0.009800115473996257,,,,,,-0.022014068226103634,-0.006108565573514095,-0.025022142039645135,-0.03704785934801464,
PI3,-0.0734935720664927,-0.038021317393171834,,-0.041471889512571525,-0.03017895496236595,,-0.06390690045712494,,,,,0.004597703289103632,-0.05283336688847551,,-0.05436480186039378,-0.0497583923924484,
