,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.013609678167553636,,,,,,,,,,,-0.02815964600138181
BMP1,0.013980446979973525,0.05981300117912977,0.020114114314569585,0.02866954138266591,0.0035398989220536267,0.041920768251382357,0.0675512981665783,0.014376328848771472,-0.010435639133852136,0.039696853101710276,0.07110258929603883,-0.055762126953077876,0.037858058624784294,0.06401665720497961,-0.035451528960105116,0.0080477867690711,0.007803384243273468,0.055701549085952616
NDP,0.015369749866516257,-0.016560968743761707,0.0070634852931894376,0.0672370179135551,0.03282406600612549,-0.05645755192901377,-0.049429249171704964,0.0065479831084674905,-0.02328803414916363,0.0698413329654482,-0.06050093814289766,0.0767201669140724,0.009851770934651938,0.032093790355216714,0.0888054362438681,0.0486081862385522,0.06664580618683809,-0.03172845894353564
TNFSF18,-0.008546754361607484,0.04624093709477512,-0.025289796221949754,,,-0.018168052276109445,-0.0202099635050824,,,,0.07445442056222853,,-0.09472016879342515,,,,,0.015117112644658514
IL36G,,,,,,,,,,-0.019418565914851905,,,,,,,,
RTN4,-0.15698072481993725,-0.02245188057942076,-0.0039827693023610795,0.061015192643493886,-0.021532426432515354,-0.18192304699345335,-0.11650167900787085,-0.04853531220929411,-0.0054162767473710394,-0.06642776056232468,-0.11019156870002274,-0.027397529699715904,-0.012454022005164093,-0.05590979888797641,-0.0020275988099512825,-0.03228990750591358,0.05216810223320185,-0.06307019219807049
HEBP1,0.03524793401144678,0.10082955348311602,-0.030228213384366546,-0.0690187267618009,0.02295837174959615,0.05870097254845091,0.0013115359669164735,0.03397910234221151,-0.044043979436235184,0.030873815922298507,0.0019347348167369157,0.024629015321885078,0.06263765803569794,0.008088433320164989,0.0663607596588438,0.045371588619577755,0.04842895860354763,0.0061844772613370794
WNT7B,-0.05092601402508062,-0.016530838792522363,-0.01570923746084031,0.02116095340989871,0.006824173420191872,0.028718425701752943,-0.029455347708299492,-0.01397663549295687,0.02546265192468727,-0.021343241763134266,-0.04838064309476934,-0.06250355002534008,,0.027959259733882077,-0.043959098682629115,0.0007181865748819257,0.054288425192035576,0.018713247532689617
PTMA,0.01778385634978159,0.06668429661584514,-0.028660076161402145,0.08080120604648622,0.007775131348133669,0.22768086513413852,-0.05994572782470997,0.026486947020997673,0.09622075243804756,0.07420032431060568,-0.0894366450037492,0.010355736730107198,-0.024676286602226025,-0.011096332224855628,-0.10911568690229523,-0.010001140122942084,-0.01852989190116054,-0.09686229029105839
FASLG,,,,,,,,,,,,,,,,,,0.04749710837643114
