,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02448496926731424,,,,,,,,,,-0.04532940028641427,,,-0.026727719479717145,,
BMP1,0.12381062211785153,0.001852393871865675,0.05192101143662535,0.05661818665970089,0.027863569668567203,0.05562895340499634,0.11731278860946025,-0.055578625789256896,-0.015265110557424237,0.003598370728318031,0.015645940844701094,0.011220028518554687,-0.07367303852704238,0.016809530699586038,0.0548196614112262,-0.061448649612532505,0.06236114024269663,-0.06292141133891385,-0.03733971033027389,-0.0052096554059977455,0.09276507986871793,0.015515583203817235
NDP,0.0803964117705351,0.02670720700901305,0.04970050832577874,0.1631850425704369,0.11008784545172233,-0.003278653261918225,0.006856718175362396,0.003350601584213248,-0.022138470600906637,0.0278535522538033,0.15715464194815054,0.06015407639626067,0.044611195771906274,0.049614122168839585,0.09410305142639998,0.1222199979670878,0.04380920341576608,0.042432708133808714,0.018688453326845014,0.09755168476987573,0.10103764113500707,-0.053256299939287016
TNFSF18,0.04970982880197371,0.02104490660378561,0.047346847490614026,,,-0.023967941409331502,0.011560714696388717,-0.01670528196167329,,,-0.04556032614434478,,-0.014248400791233202,,,,0.07648007152770366,,0.10987840748621397,0.041485735626458714,0.026936769059352925,
IL36G,,,,,,,,,,0.026206540483260408,,,,,,,,,,,,
RTN4,-0.11274510986362736,-0.06161724103246117,-0.03633806077475981,0.030817708156533154,0.030406209232324226,0.060330026166132505,-0.13114555149708979,0.01271353279843031,-0.01034390206253189,-0.002278181846438059,-0.005395823647984704,-0.13478578513463355,0.006291599093351452,-0.07133949091834396,-0.08764958768874692,-0.1295561668875551,-0.08171866434512998,0.04124677072985635,-0.03845270383305804,-0.01850071321217242,-0.06209141268749151,-0.015279580969557923
HEBP1,0.02185061453273698,-0.0015209227597510662,0.011904547609719294,-0.0145063567266037,0.08598149414258424,0.01932950609230983,0.07691613583914902,0.00164932180847534,-0.001703862586621663,0.01867147118014274,0.06560356525829461,0.011141657129889772,0.08644930030503277,-0.03771912312740661,0.04374751522601845,0.05369839463537838,0.0462629348193498,0.06031463561405232,-0.026095445233530547,0.09031064865702855,0.09830302688167895,0.009337255362545961
WNT7B,-0.023803389278958507,0.005504289702783744,-0.008762334507012696,0.10220835240230311,-0.01854990683182271,0.02599780942760108,-0.047061827872599354,0.01155703437541228,0.04731014933830721,-0.02736478009696986,-0.03448719430955386,-0.014478233622497998,,0.01479629583410711,-0.042739142781820214,-0.03597223832563244,0.07640669160791569,-0.007160770213961579,-0.04194926646583518,-0.035709750182367266,0.15856227595547187,0.19852160928941046
PTMA,-0.114494426487713,-0.041655781315571225,0.03028632101447306,0.06436669577217113,0.027796085825545765,-0.013512648187597604,-0.026839732688375063,0.007343126837674429,-0.0029896467235717714,0.01867128905045461,0.01618438926968444,-0.08257832763232321,-0.01950318505107989,-0.11526871064203509,-0.08178512959805595,0.015850167632694447,-0.017402321492223875,0.05156099453389928,0.02320965724830397,-0.048148893240166385,-0.01541358934149473,0.07447006857809375
FASLG,,,,,,,,,,,,,,,,,,,,-0.02030092579788454,,
