,ZH1019inf,ZH8811Bbulk,ZH916T1
IGFL3,,,-0.018395381345151205
BMP1,0.02030870876730329,0.013148700801218544,0.07693520793607668
NDP,0.004067699792155449,-0.028527176325856038,0.021913090439994523
TNFSF18,,,-0.031029719572668844
RTN4,-0.0859764530196632,-0.026732670741502672,-0.05207663821515986
HEBP1,0.0013259765077414704,-0.05903028426997613,0.014610666430571542
WNT7B,-0.031398362956323034,0.00726119499768449,-0.039263390857713604
PTMA,-0.11763017321697883,-0.055975081951356254,0.03933760219272604
FASLG,,,-0.01595430796497461
CEACAM1,-0.028158554817743837,-0.015399749879281405,-0.02219807627194744
PDAP1,0.03336818585470216,-0.02235367464603453,-0.02594276019819768
QDPR,-0.0882055474565283,-0.0020890699127682454,0.010444934512989373
POMC,-0.044808066311666284,-0.024263285287131658,0.004710959138832228
CCL18,-0.019964878336832626,0.01821442504994867,
CCL17,,-0.022230505738322217,-0.014460788188458695
VEGFD,,0.09082709622678216,
TNFSF13,,-0.024163799700745715,0.04748181828828995
WNT5A,0.07320630037696335,-0.0186333083320194,0.13405212521463392
CXCL8,0.005667429893658314,-0.002478985534527049,-0.04332091487706624
GRN,0.0694343632156583,0.04262048386657996,0.07095588690877715
MIA,0.028946991080724245,0.09800360799488475,0.04511080192841498
COL4A4,-0.025241844309307503,-0.024657407444876104,0.1612373827932207
TAC1,,,-0.01901017650856268
RARRES2,0.07260933046618295,0.012884914736282097,-0.03909959170615767
FGF7,0.12947098352794242,0.07723465934213121,0.006962801254728361
EFNA2,,-0.014636431661607292,
HBEGF,-0.025380967286860224,0.030960550040628743,0.005620409605205232
CSF3,,0.031867957746818484,-0.015224979122565601
PI3,,0.012448597169109215,-0.033078821629878706
PCSK1N,0.05614098484712858,-0.05592207845007338,0.02258445151583165
NTS,,-0.017831714520283756,-0.022546117983830306
SFRP1,0.036654994720578093,0.055675101637667805,-0.02202220332116557
CXCL13,,0.010732681733160292,
MICA,0.03876559887747893,-0.030757558218021758,0.03777335414686529
TG,-0.032507489678118805,0.12886642618601202,0.025492630348561557
