,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.02043823495550133,,,,,,,,,,0.03420235434557037,,0.043273544470483136,,
BMP1,0.009490065276466196,-0.04696835128134782,-0.12530861909369004,-0.046997442628107754,-0.04504730549331041,-0.09633806272252708,-0.024941814629336444,0.03681853995132721,0.2865959484917462,-0.042548362068610006,0.03175541483280162,-0.1307937976973732,0.2155519503122346,0.1756457292936465,-0.06446083419793168,-0.022242580052095014,0.15696692234524104,0.03699445528950145,0.19612605794477933,-0.03580236682175404,-0.10419017403508395,0.07088384758505746,-0.019151675898897758
NDP,0.0475388403907566,0.0054956646326662925,-0.024327101688432672,0.006778762028424148,-0.0187835748324425,-0.12373303811658247,-0.058928914510373596,0.08198947533327502,0.03691144775885127,0.004299341810689737,0.05027489597537602,-0.011961117546676428,0.023760440421025486,0.05614634836166457,0.1339426931539855,0.10574720712915338,0.04439816328026514,0.06539377593200854,0.1825430585840336,0.07087929961747734,0.3104986043283686,0.1667555634258537,0.002309487050022483
TNFSF18,0.02518843132562343,-0.037243522597860505,-0.01846277059900344,0.049946946917621464,,,,-0.030663773265092228,0.11694257401770265,0.020312228694600695,,,,,-0.03652121540405968,,,,0.0011074353754834051,,0.06402391269320157,0.03560769505791963,
IL36G,,,,,,,,,,,,,,0.033663274882919904,,,,,,,,,
RTN4,-0.013033136332817432,-0.18179110674461826,0.07899492676297228,-0.006432389803174921,-0.06976104664840176,-0.04760458071125668,-0.0730803750768218,0.08475596200857761,-0.32080074334442094,0.11578408247170802,-0.033629637697310935,0.13499452938821316,-0.06188432374089221,-0.19091773121508335,-0.03241749284858312,-0.10443569411701459,-0.05216649493268462,-0.0406369912379476,-0.2468814163713009,0.001617936063670792,-0.02912544537401755,-0.2286509944165163,-0.020958973204594247
HEBP1,-0.05748064122676266,0.14439547796544705,-0.04062962898392169,0.010945712108370352,0.0038711442216170745,0.014945812908572489,0.010578630656789632,-0.010289974251652298,0.13754508278858155,0.052916502172379046,0.04503484232580108,-0.03040028175126639,0.11801623327788044,0.04591128448302013,-0.10700837274077107,-0.04594588240721657,0.07503151546348562,0.05432366839796169,0.0833541633547578,0.0642578374303018,0.23531520892942284,0.11602554017563686,0.048786079540150955
WNT7B,-0.03331728821206114,-0.20805312781786198,0.006273965471174422,0.023806300626542716,-0.0031613827638655415,0.04668507012165601,-0.12600929534163768,0.07799544707016333,-0.1004296411251406,-0.0038804970842995557,-0.06044045757327196,,0.10758826207419891,-0.03553452856765813,,0.08274539175450174,-0.056164635302739005,0.07820928103188643,0.011599975083244615,-0.030250243091233992,-0.07316547233901456,0.09575859290941816,-0.02887324059362151
PTMA,0.015267657900955293,0.06622870564353797,-0.24149708454579374,0.02774431890755022,-0.09000773397378298,0.03379847643667413,0.008741458687859223,-0.06809677653605345,-0.18273588550497602,0.10088761848320434,0.0330252795087082,-0.17955699691302235,0.15763422315451836,0.23790970314780852,-0.07662279977546009,-0.04874979584612143,-0.04042257382202054,-0.0369172908583581,-0.19222945880892772,-0.02016395508248995,-0.23511819072425008,0.03942862830714066,0.07358095049695768
FASLG,-0.004389478035773585,,,,,,,,,,,,,,,,,,,,-0.049019084631284286,,
CEACAM1,0.036172487541865764,,0.005452041380788062,-0.04467331791432494,,0.0250780946590053,0.015944880470144376,,0.0943382164410966,-0.02736223143660843,,,,,-0.013731135753350613,-0.05319804686855616,0.017466380124779878,0.11462440401315557,0.020723543127552233,0.0296905699303018,0.03876653100921804,,
PDAP1,-0.020480970349726697,0.052017306573796294,-0.08653246615065047,0.006110523392794584,-0.015315840029771018,0.02460092595825138,0.09233281279207253,-0.0552317471733707,0.2927887891023674,-0.05753730520736639,0.05845090736951928,-0.07122245308161886,0.09641507528425934,0.053184254219811364,-0.08639138257637723,0.016397166198020386,-0.048369199413612736,-0.01980859366346689,0.10822872626358941,-0.033850916532194485,0.1481338378953379,0.04649481941392902,-0.05251366645832292
QDPR,0.007317456402999464,-0.1486346444205989,-0.056979945605618997,0.014624174684834016,-0.0008031044014345923,-0.04485906450316016,-0.20258726639938593,-0.05082476672321794,-0.31133646552393596,0.032279609952635444,-0.048836297809518925,-0.06634797834188641,0.1366486599655181,-0.00833569794091967,-0.033883167177210974,-0.15459374310916998,-0.032458543952917564,-0.018784843560176196,-0.12639852897683565,0.057472464607097234,0.1587172267115634,-0.1564305926807339,0.09562792005060797
