,MGH258,UKF243,UKF248,UKF255,UKF266,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,0.006671897740289202,,,0.011290746819998566,,
BMP1,-0.05764321065363982,0.04632256073815562,0.2926094810125129,0.04418750735302971,0.03000428056273308,0.006538032197500981,0.0706055088308952,0.009935261382198454,0.13855613959154892,0.12367120645525038,0.1043755352161059,-0.06760144103627573,-0.04588656946277379,0.10188045017099455,0.15421998712720383,0.0860801267114707,0.12094438769377375,-0.0523838972983481,-0.08904434889267171
NDP,0.02791340450462998,-0.0019295883302552748,0.023782261534371116,0.04737854620078314,-0.0027893007125827244,-0.0011130762988062555,0.09259277540788222,0.08851030049356068,0.10055866314418267,-0.09231462247329843,-0.03410381257847661,0.009242558639518004,0.05068790884604434,0.12529134859511393,-0.04559207225623563,-0.0011026902705112628,0.17913087274227202,0.13848948158450264,0.16106434991997623
TNFSF18,0.07878785929881985,0.05790954280907693,0.07002870963716877,,-0.018840536708429362,,,-0.0623950949409668,,0.04742144338392746,,,,0.044105683201206274,,0.04886164448932882,0.055796284666734274,-0.0032909471656191345,
IL36G,,,,,,,-0.04882769807056974,,,,,,,,,,,,
RTN4,0.14423094563269323,0.10017761672896036,0.027283256169663834,0.005945288921871519,-0.1461568937766742,-0.05064308212402345,-0.0717395568907182,0.23496478212209837,-0.09697220702291671,-0.04690694228898364,-0.046892673069192176,0.1316860432167236,0.13040950986912897,-0.2766847223310893,-0.23804394659398895,-0.12425794178796028,-0.04090093265054404,0.12054231924148241,-0.019705946520742118
HEBP1,0.023935298394054755,-0.048852472751594954,0.10258728256008377,0.030783621345730088,0.06488871647146434,0.011013562552712842,0.01829207432377053,0.12775574448532181,0.08519229544462832,-0.028660364340533945,0.014399864539661402,0.07782812577991297,0.08027153117832657,0.04397367272524725,0.011489272219448548,-0.007483704772347947,0.12214867164546295,0.0410973072377881,0.024633256166237474
WNT7B,0.03384714025554699,0.16436383294639845,0.019371734096869875,0.07832790733368723,0.007727346371008058,-0.05394593398261578,0.0054342764883141305,0.08995644697346473,-0.028989018473435938,,0.008597859677528769,-0.07512617868200648,-0.010105384122839397,0.06511708335937183,-0.05343256183132128,0.11467232940059731,-0.06558385436782081,-0.020786828518735256,-0.07801639464783114
PTMA,0.0851710850797571,0.09954237839803189,0.059153985606085396,0.029924777882890396,0.1265836468825474,0.07731352228687324,0.0014329287886387446,0.1272568933644807,0.057911031997517556,0.03570661451193606,-0.055289353171274286,0.07973073554779829,-0.08432463764367505,-0.19136747428789797,-0.08116692178034701,0.09240838091510895,-0.13387603917840812,-0.23785129841994282,0.050030868998130765
FASLG,0.03719559712441033,,,,,,,,,,,,,,,,0.03159242997096561,,
CEACAM1,-0.007876189628660551,,0.008580262823469008,,,,,,-0.017886227575453027,0.04612406261130994,0.06035870039445129,0.07393310914556606,0.003880970037120458,0.1034602337516369,-0.014712481885121797,,0.05330439381680258,,
PDAP1,-0.08919378840527918,-0.03658123419484171,-0.039780962472348615,0.0010048450576149992,0.05577149403291324,0.02678823388853881,0.04293316488764031,-0.08355726516455303,0.09307481970579749,0.056437728604699776,0.07748871079245424,0.05070971275946497,-0.05862235772512167,0.01947567885566345,-0.1047675517415476,0.014412028306775737,-0.060100320664406404,-0.04453372830408033,0.10010863138142272
