,UKF243,UKF251,UKF266,UKF269,UKF296,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,-0.011385148577949847,,,0.011527219351407226,
BMP1,0.0192095493261556,0.010995976499273417,0.02979113668677033,-0.08029875766487464,0.012939140402084628,-0.027597524887801525,-0.07867130844733158,0.032354633413457026
NDP,0.011971111075438197,-0.008021466477578995,0.00865487044652738,-0.062395996990534,-0.019945274607031258,0.0497747178698834,-0.05041039681552114,0.04815150753749737
TNFSF18,-0.021274479984004474,-0.015836203526312292,-0.01445349474441982,-0.01690660384672909,,,-0.018092162010208343,
RTN4,0.057602617516315895,0.0215278848328107,0.07166959164848931,0.10942137312493165,0.004106412978982478,0.010555088186352412,-0.03200233784661818,-0.10627056689034614
HEBP1,-0.05625869438096083,-0.023435066814841393,-0.0449558698263502,-0.06754343897505373,0.0009903042768196694,0.07169221521197722,0.004124039472146766,0.0007718416832628426
WNT7B,0.02732407838175903,-0.01722763696686439,0.06991603293391695,0.11130670191189102,-0.015630377547720755,-0.03529005280760855,0.11489643887966106,0.0006114622849155305
PTMA,-0.026500377189388823,0.02702822858528456,-0.03152621469749182,0.05751970704060333,0.017875600200784835,0.01637813570077184,0.05770036857768551,-0.02147063577116196
CEACAM1,,-0.013221175199477332,,-0.022248127734141112,,0.006523319653255598,-0.025996547961390067,-0.01822827673255684
PDAP1,-0.02269547017844286,0.04472886294870892,0.030698370931225707,-0.041279296058236055,-0.018987470046545753,0.022680463539966358,-0.051912079813199036,0.01132963210632483
QDPR,0.07138457608641054,0.013191888544301159,-0.06583627339148902,-0.008559005476053065,-0.0035379146720501365,0.012452235905234242,0.029976521331086196,0.04362737553516434
POMC,0.0050134022929277915,-0.023491918988836902,0.0013329115821717203,-0.01460969147481296,-0.01438907991291757,0.004034861896186297,-0.036200616776648764,0.04735929629278994
CCL18,0.07045160817073004,,,,,0.04624176535483409,,0.04262507078781103
CCL17,,,,,-0.019346025772257452,0.007853393011026309,-0.023129912521387685,
VEGFD,0.0026858469981739744,0.050138907332663636,,-0.019073177863181724,-0.01419054386367307,-0.0170963876128702,-0.024394918678320304,
TNFSF13,,,-0.014016874732997816,,,0.03634743637759601,0.016584004261316523,-0.020469133065341448
WNT5A,-0.027096074151567118,0.1054333605412012,0.015299269315278662,-0.08730381633409047,-0.008124314619548387,-0.002711607476945259,0.010458994398729346,0.016797864260799603
CXCL8,-0.07097088965011267,0.017889949860032575,-0.019938095185030147,-0.025430861151166412,-0.013214851471212732,-0.07445246640726379,-0.0004350287367414471,0.0028273487733064748
GRN,0.045677023941234275,-0.030617299443718063,-0.020115080548740515,-0.09008470854319227,0.007486381021940194,0.014781764201254228,-0.04942625913798285,0.047536861239290296
MIA,-0.002559124634358053,-0.016840959712239822,-0.025345212828718124,-0.03252272768638351,0.02034376307971278,0.03575639606581315,-0.009086108305777824,0.11162132653588583
COL4A4,-0.03236046133372916,0.05594017479435388,-0.013336437037092716,-0.011219218859013563,0.06698526848410498,0.04683670189648742,-0.0356297605321199,-0.026305803145104438
TAC1,0.0036367070159127645,-0.045293008037783675,0.038347543576399294,0.08422399825998882,0.015508639334984864,,,-0.031448970280567805
RARRES2,-0.08202961999212369,0.007110649292364511,-0.06555583939889503,-0.09308361914944015,0.0019507586144339117,-0.006187904999314917,-0.010734419986048687,0.088621669163007
FGF7,0.08633976912967195,-0.02137354595762841,0.021483275087273202,0.052277347378101933,-0.027521636076338007,0.04641260158017776,0.024543824575877247,-0.011829938127309661
EFNA2,,,,,,-0.016248972283165453,,
HBEGF,0.028369194978472616,-0.018604552610112925,-0.043117888126113425,-0.016243379188027818,-0.0364426772682566,-0.01638983231378147,-0.0060051152907764456,0.016570326594080757
CSF3,-0.03236043571385526,,,-0.011869717609688529,,-0.024010052849689024,,0.0173459334225382
PI3,-0.038335761723055896,,,-0.013365458691824404,,-0.03714438929448448,-0.019652633090425087,0.09029116895255587
PCSK1N,0.00852142830956837,-0.007051490424171984,0.026152202640488013,-0.017858211421213268,-0.03685603602538641,-0.0106179866447858,-0.01792279477069352,0.0069228783014701175
NTS,,,0.1436377527529324,-0.014589310766838214,-0.020422206941258767,-0.019796289266422965,,-0.06042248264179935
SFRP1,0.02478725822886805,-0.017500442283541705,-0.02446008017855543,0.02178649606865238,-0.01934602596708782,0.10573207167173151,0.03264319458569994,-0.04096726723799746
CXCL13,,0.06257020516754132,,,,-0.04174824189083477,,0.04316841675546888
MICA,0.06023184408440734,0.019398367805799035,-0.034556446003432925,-0.04886833301970038,0.01516515073098018,0.00736134284847449,0.04016973250858998,-0.04035609315155266
TG,-0.025796432370748072,-0.017978134411990317,0.05945008841992904,-0.014325687195291302,0.006055568316825919,-0.024381294291192287,,-0.021507633961199348
ADA,-0.006886338814807893,-0.028266110520330078,0.05767383236802299,-0.07363059509839835,0.002634032157599689,0.12738473158243724,-0.0015513312178513645,-0.05957648939675417
LAMC3,0.12819100579914236,-0.021669455906147484,-0.004537707443354515,-0.02991174148643611,-0.039736928979144014,0.07271753613985885,-0.020360853978263736,-0.02567844849805124
