,UKF243,UKF248,UKF251,UKF266,UKF269,UKF313,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.023336741487794636,,,,,-0.023308494032712738,
BMP1,-0.03369393759449595,0.1048242835344588,-0.01674379036051398,-0.028693399149171687,-0.04934343341284594,0.041861256866673836,-0.043888119098904284,0.026332070068314384,0.06830026441352338,0.08695030577940228,0.0794104769533641
NDP,-0.07120461882861778,-0.03395653061554104,-0.04208413751850048,-0.017208370611867634,0.002333045463330143,-0.061709993025181833,0.07575595276036934,-0.009761775612980283,-0.011896135352236176,0.004462920837729263,0.04539033852972334
TNFSF18,-0.03121400877045636,0.0971478653805843,0.032980902835220184,-0.01239909614678125,0.020558628818753647,,,,,0.019076369726798433,-0.010344850736935023
RTN4,-0.05021784433491394,0.020505520386933828,0.03299197534181658,0.03759382683045566,0.07070613785310441,0.017080983839821,-0.05638483187136583,-0.027818021519298332,-0.0337559107653084,-0.07406980187446158,-0.06569497746950617
HEBP1,-0.00975250660787284,-0.015571708541716375,-0.009479976402718984,0.045336590019141074,-0.009571125631550895,-0.029949772362630533,-0.0024556784064295517,0.008582523574602053,-0.028783759666994972,0.025982684386826323,0.04845807971505692
WNT7B,-0.07285384345040609,0.005257154352979559,-0.014775009344748232,-0.050045331489003995,0.08985153104674887,0.05667304204042923,0.028854179338041477,-0.039738246929133095,0.002479950278237789,0.05808572799656381,0.008648914426226933
PTMA,0.061560497210797524,0.026813949698261823,-0.061146024938079614,-0.04989212297304362,0.039529907950741655,-0.0068395115323888304,0.009288304842003998,0.026842287076893012,-0.04459162487525722,0.0710274613720364,0.054836093629371016
FASLG,,,,,,,,,,0.023574161526896866,
CEACAM1,,-0.020601163830809503,-0.01133893101512143,,0.013713465921490867,,0.070531845694645,-0.02226729971891782,-0.017163927540433558,-0.04313272862980941,
PDAP1,0.07097975774797263,0.012232834251170352,0.024593173073489242,-0.04561367911260634,-0.026843974964573976,-0.04197667343766423,-0.11759880581559265,-0.0236505761236734,0.011426008664691198,-0.03700065731993627,-0.04759092846276292
QDPR,-0.012862194259149666,-0.02655836282867669,0.039000137994296885,0.0645025074553169,-0.02173469531935479,0.009616596514843078,-0.1120497710841388,-0.014667914683591259,-0.030615807660353548,0.00743814580295781,-0.028809955370557992
POMC,-0.05893725776111604,-0.0034578534720138363,-0.003349328066888774,-0.006839389795987137,-0.02491530508628189,-0.03142384509809561,-0.0568233041727973,0.008197734441565515,0.011543093094997901,0.07261138541551096,-0.03049102003593006
CCL18,0.01491949630688709,0.05744180736054353,,,,-0.016857968656937266,-0.03461627346657266,0.003838489172991537,-0.020620483581270724,,
CCL17,,,,,,,,-0.01579757138297051,,-0.012577609120697405,
VEGFD,-0.04716460725091395,0.00028577519469535234,-0.016240743756619453,,-0.039095301927447534,-0.021231220008598874,-0.03899910151443001,,,,
TNFSF13,,-0.019400318827660717,,-0.012024536665011607,,,,-0.016104376336109155,-0.019273940257968247,0.019903317656481255,0.06465170402178169
WNT5A,0.028379538015179683,-0.006228719396814812,-0.0013590689485339072,-0.05541266625031576,-0.02967417128406059,0.007939144420141061,0.06104133106718048,-0.013183300268594846,0.009573593697287199,0.06174092867961051,0.03570555423995412
CXCL8,0.08930891493140869,-0.046165807283778296,-0.015206869834116312,0.06937780983401973,-0.024189648515056186,-0.04512590297523152,0.03573866236708828,-0.047632487214560155,-0.005182196884857983,0.022782352425509023,0.009365954592618431
GRN,0.028019813947119356,0.0938010796219589,0.0482836223124834,0.01579284548516098,-0.05609650058493433,0.05665901188964994,0.05909176107215859,0.06790086563363339,0.021654704931912017,0.03388100147313011,-0.04310729047994942
MIA,0.0017455886345675727,0.013001130991836864,-0.014443381736071063,-0.02174268135706333,0.030912525218567827,-0.015507004324726405,-0.068987881553506,0.026596004271009548,-0.042371785479408564,0.020403119413468264,0.03840511839564565
COL4A4,-0.03454794941936465,-0.008416403845901284,-0.024289466168874806,-0.011440815387728209,-0.022996626562684384,,,-0.019639500201468013,-0.03459124639640736,-0.025955636527615678,-0.020753491156062887
TAC1,-0.0594642574939692,-0.01644294291641458,0.001766998767816666,0.07563222291640832,0.09508808890459325,,,,-0.02961266470970453,0.034131499865638466,-0.027215714072219434
RARRES2,-0.10002868916122964,-0.06728096365775121,-0.07688941996905452,-0.007900792043772045,-0.08288865832125064,0.061166681047700004,-0.003179687121367414,0.045375680916962945,-0.06134862777002755,0.029532663431248465,0.035051599775260726
FGF7,-0.08043406986164406,,-0.01833068237168939,-0.03279130090524932,-0.03173094016802404,-0.010305931580302609,0.07893712542118395,-0.023668121600073224,-0.05543457980570107,-0.05299493254571269,0.05031424781766155
HBEGF,0.03196187932735766,0.06671722479774762,-0.02146881113215665,-0.051304535699678445,-0.01593247251842533,-0.05922918875800355,-0.1933393990592398,0.04928046793572086,0.021023519137744712,0.003998090257767375,0.04675413606543662
CSF3,0.05347584910277495,,,,0.037546692121690026,0.042779907742748556,,-0.046532448228061685,0.00687205789339944,-0.014767888827626184,0.09566538035141207
PI3,0.020966642020123355,-0.0008735959460047,,,-0.013383749458296382,,-0.05541160431500075,0.011646572215780093,0.00021801658776864004,-0.04998263489392576,0.03477258602087959
PCSK1N,-0.12990727608705355,-0.046552410466254086,-0.05263471568191058,0.02233329021014232,0.059556763199999016,-0.01748820995241474,-0.08841883316298288,-0.05237338119942067,-0.02742233298241627,-0.02225871929219403,-0.035894445919127216
NTS,,,,-0.013966636141599821,-0.02990448227528631,,,-0.012283296182903879,0.059255628267774266,-0.0016442387383246101,
