,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,0.016624754354338328,,,,,,,,-0.0190101800344208
BMP1,0.03670069496262443,0.04382890578371782,0.0123768293782542,0.0259199483034292,0.21638796794560558,0.013542265882677963,-0.03029123244811627,0.08481201855307657,-0.07137103233025312,-0.03185788794182583,-0.0070306166035032005,0.034755996639070426,0.03808424914318642
NDP,-0.03183541575232618,0.0014537785391927718,0.00922115699716196,-0.042710235089876786,0.010486034254823017,-0.00015483251666434424,0.021004903529057005,0.05933024705746464,0.03673964782214518,0.05198796387512946,0.008304385320310201,-0.011120940434535629,0.08331374553413347
TNFSF18,-0.014689610252813992,0.013841220927410402,,-0.014769707164226374,0.0768186283972386,0.042945573589707124,,,0.08917027304988569,,,,0.03570352498812514
IL36G,,,,,,,,0.09303004753417912,,,,,
RTN4,-0.004631851468010101,-0.02951715585777012,0.04726449903752115,0.03893562653397402,-0.2316379775768533,-0.001004069535060121,0.022131366710745996,-0.08346497604063571,-0.018349618224829053,0.05595407247490955,-0.006457890013320423,0.03279074743070647,0.05917828560445512
HEBP1,-0.01699405432734041,-0.04891527007280637,-0.02919238882160515,-0.0485699680294325,0.050639087794319235,-0.01356861621485758,-0.0210280633742671,0.0031329325369049113,0.04723617499459314,0.008391214406637183,0.010351072381402232,-0.02038887751145784,0.056235719866682576
WNT7B,-0.02132007819604265,0.016545311440440014,-0.011831574106438002,0.08909616267281632,-0.08346362356322204,0.024938651907036206,0.055899268188513936,-0.028014151678005604,,-0.041363357368206115,0.05047741317377334,0.03777056876904597,0.009969100044527722
PTMA,0.05171207749943627,0.06006084170628661,0.030990856125126958,0.03745852465886388,-0.1351910694854229,-0.018435433189358624,0.008874244720301483,0.11988010573878279,-0.02868759202890621,0.006259590208365957,-0.06744431960436026,-0.010058405958562373,-0.06386164203700817
FASLG,,,,,,,,,,,,,0.009369807175409056
CEACAM1,0.04109537847954943,-0.014296301123865722,-0.03447154349367034,,0.03489778425147839,0.04769048040055595,,,-0.04848947901788286,-0.004182737612072287,0.03585108782165261,-0.016034982149125996,0.18098336734502182
