,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.03239706117256725,,,,,,,,,,,,-0.03962055139597773,,,
BMP1,0.0021428305268589446,0.014271382952623583,-0.05108899409257504,-0.04985190401277278,-0.03294332800977663,-0.04939331932137071,-0.009311933116727053,0.08113017406664111,0.2882213117573419,0.054555802172841346,-0.015973517727055322,-0.031024798408040722,-0.07152113851907949,-0.04932852412648507,0.15075416196654332,0.011870865428894444,0.018341326313892143,-0.004854092119386319,0.061216296350245045,-0.03828159584860331,0.14231355796186126,0.0996161352241053,-0.0029380174733734275,-0.01139477722070001
NDP,-0.01178297403486407,0.024546936586953755,-0.01105056686237501,0.06758988762786797,0.032242832300888084,0.011658796700520049,-0.056282895954626766,0.028878894176105587,0.11027342668679173,-0.01513364550492911,-0.0235812393867684,0.0032621076355668277,0.038325947606796244,0.007137834512412437,0.11057416031785963,0.006762661837385578,-0.06640617554689979,-0.013801587917451742,0.13990561231747914,0.18560112316379557,0.14344725433383068,0.014429660968073488,0.044316623361201554,-0.052807171513975404
TNFSF18,-0.017829529892412564,-0.026211286725825286,-0.04842464493134333,0.011170034530412787,,,,0.008777257424742111,0.10223038856653237,-0.029983553270518975,,,,,0.07024805353125878,,-0.050893714824127904,,,,0.04964757382503419,,-0.030045442601757108,
IL36G,,,,,,,,,,,,,,-0.007914838477146607,,,,,,,,,,
RTN4,-0.025773770579357817,-0.010935319292702712,0.0026440302568468566,0.041436179039110586,0.0015662391065248548,0.018428701683489947,-0.010932935589403904,-0.06861100865585756,-0.3519060160749112,-0.02332716786793562,-0.06314676492140135,0.011156203131591972,-0.09237491419965929,0.12243570364628237,-0.008432461923568488,0.04821453311873669,-0.052651956913053174,-0.053195555073701634,-0.02217515097874626,-0.16727497698427554,-0.12677513648098598,-0.01608241270445676,-0.005886913121963169,-0.0604930153348173
HEBP1,0.012339773246724216,0.03976153173191122,0.0008125649677762464,-0.024132517349701125,0.020032454296588377,0.03237084901853264,0.058962630846388885,-0.052616425172923316,0.15972863385128963,-0.019769163214665268,0.031214906071262708,0.04384171860862038,-0.028907232918618807,0.005529312362887709,0.06118891768985356,0.10145699707569662,0.018120333054648812,-0.03999034575201259,0.059947565006961086,0.14607175926160332,-0.007427091185386789,-0.02098881992463616,0.01910860139148181,0.027604667393206175
WNT7B,-0.015707257398810275,-0.061279774330104134,-0.042257731893819865,0.07696232643583371,0.09419226740706828,0.010291767653541,0.019339018841316086,0.03454817060653726,-0.12261069088511037,-0.06158824362405405,-0.031856332095895674,,-0.020621924697923625,-0.011172204470034445,0.0002843360117326863,-0.03437075052251658,,0.03695705723459247,0.023572023878968933,0.0938379155464207,-0.02525971734420543,-0.07818422713143817,-0.012687866445950194,-0.044426042662457185
PTMA,0.014940900581170058,-0.06748625417527773,-0.017820075907795614,0.04012852748245779,-0.07000415613684884,-0.013426290909143514,0.023113683619257287,0.061519011132860235,-0.18672061482628505,-0.0022859730905818933,0.02018908404211253,0.0379737437781275,-0.019375473174299863,-0.042172159436223794,-0.02932125451733207,-0.04834071265262297,0.044228618783184286,-0.04017880769178844,-0.0949634778959508,-0.07995272601730144,-0.16230172219006883,-0.07466363758650015,0.02098914221153627,0.048695711528829004
FASLG,-0.015707261839211704,,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.021809670528787958,,0.013871575318141226,-0.023681731293855784,,0.014461214523419775,0.015113714007184734,,0.10876350480324898,0.03340941957437036,,,,,,0.03762135601395887,-0.05522203161867914,-0.052708783857716594,0.09754852448734296,0.030507799142294095,0.16927757513791827,-0.051048470562017376,,
PDAP1,0.04869230921883042,-0.029809966322134722,0.07941876817853544,0.005897228168370157,0.021041833937056567,0.06955115131889243,-0.009849060654060318,-0.01694700158333402,0.28457137476237765,-0.0004354863581645294,0.04433527775921177,-0.017503261326749956,0.01425960718792735,-0.05114411674907752,0.0354757454918103,0.018926213385143862,0.04183445341414205,0.01983693560432543,-0.02744104151532979,0.008183597826102538,-0.017356180215473308,-0.0005579008149535421,-0.030851182881474974,0.07048063230867727
QDPR,0.014482674817295088,-0.0123121173277887,-0.004394481778041483,-0.04052353567404479,0.0033812327539674497,-0.031933994089362594,0.02359427452882693,-0.029180147093871112,-0.3151358027704996,-0.020891338824920898,0.006175468199912732,0.08128259723039652,0.029119798103160066,0.053258834776799456,-0.054685526251273826,-0.09802258339043894,0.0172196069927639,-0.046905799897954244,0.09818920491159341,0.11428535226373057,-0.19177166193621845,0.02052309424278597,0.032367082789086295,-0.1127649974014561
