,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.009185899381968024,,,,,,,,,-0.018872390793288445,,-0.014022463289202772,
BMP1,0.013730187162243512,-0.05059001528759978,-0.022466937931216357,-0.024212180341614185,0.029814144520837416,0.07292405515286794,0.1327941443231519,0.014990560167652123,-0.011037529234183285,0.03848562936565542,0.09548542587218595,0.10977656002084141,0.02193291127712004,-0.02540865118896428,-0.0351128214727358,-0.006588169655237715,0.009211860889784857,0.08997155429231485,-0.008071697672746724
NDP,0.015845573941073637,-0.03964525846411411,0.04290844110258668,0.07872430821365073,-0.007792378274564406,-0.045501784339175545,-0.002782253680646616,0.0481549117729267,0.05133990291448399,0.04770522018422247,0.060025030768984605,0.03388177651930197,0.04049965991093715,-0.054961369245223636,-0.017772767502308263,0.056340751043442584,0.05972430914578784,0.004908731926737472,0.03950653837786382
TNFSF18,-0.024766550109906617,0.05415370667508169,0.0007830120838661957,,,,0.10254916327292689,-0.023454319587768217,,,,,0.04327532741403934,,,-0.019462763507858544,,0.0062785259097878415,0.10585687948217533
IL36G,,,,,,,,,,,,-0.006067841034936277,,,,,,,
RTN4,-0.06830695314913758,-0.03277542448870049,-0.025903151920846242,0.019046873996043864,0.011206276759953763,0.07504192032440624,-0.14865401886657498,0.0207382027247014,-0.004396806276598065,-0.0687661403952913,0.06396292119314,-0.10859853806016687,-0.09001583544114808,-0.04234099931655398,0.015827720465381463,-0.0081721527764992,-0.029137649718558468,-0.038893046614094574,-0.00625119683070325
HEBP1,0.02425053220747621,0.01498460117351976,-0.073683128637657,0.03304885485744821,-0.04863919013378733,-0.008740622255269169,0.09958814768038236,0.014758588287622804,0.024411220942537445,-0.05768238707073239,0.0012688235860793973,0.028776038479616173,0.02077316365908888,-0.00876925807962106,0.03647259526027416,0.028293698328150083,0.012534115100758272,0.03637977161765084,0.029138525455092917
WNT7B,0.0671204991588532,-0.01866928982828351,0.025996603825585548,0.018937069366425675,0.01941018417087763,-0.007361334349842658,-0.05558838299265589,0.06914403474670962,-0.010917750598296375,,-0.026489939746324038,-0.03211679963941245,-0.005298676759628557,0.08259995842494486,0.0081229202893313,-0.04069821299153106,-0.022338912311980718,0.024361853930727033,-0.012069985910252457
PTMA,-0.08627789025783245,-0.02475700468368959,0.030893823441517303,-0.0716290015184168,0.058850548223794194,-0.07013947671195885,-0.10091736853923347,-0.04781929473384837,-0.03317892250997816,0.07215264812479907,0.08279654447769766,0.12365798716702162,0.034661192582859546,-0.0976824166573488,-0.03842357384539849,0.006093397460716099,0.0019903103241283395,0.05953169441712905,0.027072492173583096
FASLG,,,,,,,,,,,,,,,,,,0.050818220331663395,
