,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,-0.01497438726559543
BMP1,0.015132308399130361,-0.028328733999664197,0.03603936366148195
NDP,0.03921242422050448,0.05268472539006844,-0.010789338614291821
TNFSF18,,,0.05911641061371622
RTN4,0.02007843331958039,0.09846799493472376,0.04439593676428827
HEBP1,0.09054870619031492,0.020279804450585786,-0.0831329755231308
WNT7B,0.022790473835010403,0.018585803804398168,-0.03196156736477864
PTMA,-0.0664927755428456,-0.05867370010703364,0.047656005914007926
FASLG,,,0.01878002884840563
CEACAM1,-0.015175139034053799,-0.012918323603243072,-0.018069893981022742
PDAP1,-0.07145354937039385,0.004643531319658175,0.0034833212916181877
QDPR,0.06747124741667816,-0.017306592374338882,-0.008209093146374812
POMC,-0.03554993272820611,-0.02113268039116723,0.06172948876633503
CCL18,0.010277034761895641,-0.001914780234810703,
CCL17,-0.02190626588229446,,-0.011771511470013986
VEGFD,-0.015175139034053799,,
TNFSF13,0.0440746436966038,-0.014506411587642879,-0.0191806954122475
WNT5A,0.02100237355264582,0.02514320889256875,0.027055232877457046
CXCL8,-0.08176216777233349,0.014463762358350377,-0.014670809698439483
GRN,-0.07978555393536407,-0.040507667812412745,0.033891786115426224
MIA,0.06137831779678661,-0.018616373628515176,0.013944843864518256
COL4A4,-0.02429777036175917,0.03197682411055466,-0.03456922865676605
TAC1,,-0.022287788419819685,-0.015474848805000545
RARRES2,-0.03470022169873438,-0.03994717332138463,0.030143801039972273
FGF7,0.04787725354855254,0.026619740314402972,0.01848598967198519
EFNA2,0.18077715201551572,,
HBEGF,0.011630835874562281,-0.03618218026807605,0.057573927823517196
CSF3,-0.06815805066555816,-0.018520181511018644,-0.012393585607943734
PI3,-0.09463488376586966,-0.03493818478257675,-0.026927144160885933
PCSK1N,0.10401731357339175,0.04751665550746048,0.028844043612193563
NTS,0.030380836396392333,0.042333054561847716,-0.018353210280942153
SFRP1,0.014385120435738216,0.015066961219155137,0.07368309877543144
CXCL13,-0.03705668059630328,-0.03021027001774416,
MICA,-0.022457733272276383,-0.03641471359837007,0.06335431667963339
TG,0.052274946630999033,-0.015242393975434311,0.010249853716574876
ADA,-0.050548040086918995,-0.024327868002014585,0.09686026783207378
LAMC3,0.08244284816955806,-0.06302563756655868,0.034807457696075454
CCL7,,,-0.012987276348742789
NGF,-0.014229085316998201,-0.03179510446013086,-0.03888351395783938
TNFSF15,,-0.01150071476605674,-0.010763431159902014
HMGB1,-0.09859235980060721,-0.06908237398632613,0.02502590413196939
ITGB3BP,-0.030899383893477378,0.022615996632081182,0.009103471436342653
AANAT,0.0013956429928696126,,0.1062150922966003
RELN,,0.11899123926845279,
IL15,-0.011036571411790458,0.0701573350443557,-0.01172649231375703
BSG,-0.027671600946356227,-0.013126828913260368,0.0020927078551007433
ADAMTS3,0.05993647698083345,0.0887283385194052,-0.009062147768423708
CD34,0.03337275934950533,-0.032249468738178855,0.002314284324577371
PLAT,0.06772498194864393,0.03019899253314286,-0.0135828227015617
NTF3,-0.00307066825187849,0.08402971496485596,
LTA,,,0.0037630267273122075
CKLF,0.012216475109626994,0.018763760563792555,-0.025796654655181314
CD24,0.0746063567255028,0.07170033639475441,0.006324365601411303
HSP90AA1,-0.0600746551068331,-0.09002298925166137,-0.027022229637866168
BMP4,0.04461981375465994,-0.020743654171439745,0.024174636012390192
SCGB3A1,-0.02760924050692881,0.03962185395987924,-0.012420466815055368
IGFBP4,-0.001409995770642639,-0.02940328631479293,0.02786013692277899
RSPO4,,0.006869767269466484,-0.0070860384606516525
