,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.026992812590985096,,,,,,
BMP1,-0.05168378065023833,0.060097808678459756,-0.04014120184480349,-0.08495756636285591,-0.08023530095572172,-0.20395158121748705,-0.019628014176117294,-0.03571272625241091,-0.08533198773770068,-0.14931551404384866,-0.0015914274635318232,0.05660068915295707
NDP,-0.04999793336309864,0.027973503347159902,0.022076039317971093,0.09273863856787576,0.03259762391600294,-0.1145611501969747,0.10104332479021709,-0.020686963785978115,-0.0028275396469375907,-0.028713342183946604,0.11687602697375589,0.00934079978836618
TNFSF18,-0.021274460087469946,0.08343879895577429,,,0.013249261960885354,-0.04008351635117294,-0.023528922157131888,,,,-0.05269267392567013,
IL36G,,,,,,,,,,-0.0279874895272781,,
RTN4,0.1746082638494592,0.006676302110210717,0.07677877426672172,0.15109081071928143,0.19676217301684085,0.23888311638792073,0.1363015238008971,0.12849113835252707,0.218151922347142,0.23565312812667363,0.1686335288169379,-0.0497240957654412
HEBP1,-0.0963511537350296,0.04939679615189421,-0.017947324234190678,-0.035029613409375,-0.04064299161122082,-0.09601281656991986,-0.015438620125205355,-0.029013729724927002,-0.11386393069046982,-0.06568764894844722,0.04432587060007364,-0.026265480179039426
WNT7B,0.24182625463719049,-0.031264901223892465,0.027780166884997192,0.09993163520612294,0.10024055506618385,0.08332592515768666,0.04095649026114454,0.08102851835159344,,0.07383735669428915,0.0011901438283967078,0.08577072532359949
PTMA,-0.03873084949423006,0.052910287185230054,-0.0632746426905132,-0.10203300782813118,-0.17401835474969088,0.012769901031269426,0.07093687442836681,-0.13473223903709003,-0.32079260926429376,-0.21195522796853522,-0.04384671046952972,-0.053817146970132596
CEACAM1,,0.005564466519718399,0.05333608810930306,0.007337121863358674,,-0.052747624531757284,0.03439215887699353,,,,,
PDAP1,0.051667959224125606,-0.013661139756266894,0.023869499015022024,-0.024095704894319486,0.023019410277815622,-0.1437314783115127,-0.03930566781357913,0.01413811333801279,0.05314496895937381,-0.18820982220833504,0.02019640473250637,-0.08768577753011146
QDPR,0.1298633696220545,-0.014192605424739792,-0.004563008696167221,0.12277207412906574,0.0023641700551661417,0.0788767563228209,0.02241278899920654,0.0037589455105977456,-0.2465970597100357,0.02647960500742968,0.1273542020673416,0.02723790962811694
POMC,0.20433573699149282,0.046503139687302804,0.07091529187490377,0.07330024824801236,0.060965386620589306,0.00041468370328568793,-0.02730110064779992,0.022377746018146627,-0.02636193496301921,0.09487671584825384,-0.022794008670845575,0.0050194677869864045
CCL18,-0.02853080025332352,-0.049110583267535375,,,,,,,-0.08660556956883796,,,
CCL17,,,-0.01566241873087748,,,,0.0396784918548554,-0.014152038524701347,,0.0029877377154178568,,
VEGFD,0.09880789109207516,-0.026528573527361123,-0.017449664062719875,0.10490276472711761,,-0.03684562481767213,0.05179280324170128,0.012286950479370288,-0.051697312562385016,0.02551231015051976,,
TNFSF13,,0.012472976691370602,-0.010803585905277337,,-0.01630637850024372,,,,,,0.033964261775121636,
WNT5A,-0.030883496717656424,-0.019198941848402946,0.041329688603410915,-0.03012876697326345,-0.13274444020227022,-0.13189380320691294,0.019323407755679752,-0.04288328538316025,0.05069649469346857,-0.06759113197534247,-0.08849107922346507,-0.011968564154061835
CXCL8,-0.09808643232052416,-0.048198151210036067,-0.04202135446020985,-0.061559671167582784,0.0024212455910903284,-0.04506000725481533,-0.07241315122307065,-0.031632598728085666,-0.1122233219440822,-0.07338911832955021,-0.10654969133679458,-0.07156217095900778
GRN,-0.07555415453245695,0.022079330856721785,-0.01678986234647819,-0.04761760063372,-0.11166435416731214,-0.17495063921396278,-0.012116393741193502,-0.03204095646621353,-0.18904741742373188,0.042239947039963206,0.0942789294065072,-0.03490911084655114
MIA,0.002124940199860299,0.004501753161310274,-0.023564524512931725,-0.057049335482817314,-0.055376389893152494,-0.0408526145830871,-0.029875760728398745,0.039425638572420464,,-0.03752738855796258,-0.031164638072287327,
COL4A4,-0.03236043106925093,0.016583387951608453,-0.020556172981076416,-0.06848782961281988,-0.04162429114159086,-0.026599413262389907,0.03605617972028376,0.09230641681836198,,-0.03640295913350479,-0.0549542183480669,
TAC1,0.23512350507098956,0.02948381130593716,0.08408030832421794,0.15939679901632095,0.09014491057919763,0.18382826971746608,0.1788907514106538,0.06275195289569617,0.21539329654105815,0.18017777351361228,0.10692131184355451,0.12610362241240208
RARRES2,0.007671763759690483,0.01741053177361911,-0.010322000789026198,-0.10835008120260861,-0.05418000319315016,-0.1854370559733184,0.034091439412617705,0.0068525140249008215,-0.0933225505785679,-0.09303801228747291,-0.10553279640085877,-0.05435526387903701
FGF7,0.02210835588392069,,-0.027763090404400503,0.04239459334715179,0.0002865543840470929,-0.0019154140489372204,0.017422973447199317,0.035577441372317435,0.03827391359816686,-0.03939104301186921,-0.04343265869201956,0.007837098525652899
HBEGF,-0.0055803551230431585,0.04415591837732383,-0.06727174797072129,-0.10650968539061685,-0.09345320154641915,-0.097844053891947,-0.10678501976361124,-0.004831397711249334,-0.054869146913153394,-0.021158064692616534,-0.036127834638313004,0.04739865932339192
CSF3,-0.03236040544940099,,-0.018668237473344514,-0.06742397097695826,,-0.028141667256478858,,,,,-0.06739025020294556,
PI3,-0.03833572587029675,-0.009488956684779278,-0.032215741762709055,-0.039314006803561306,,-0.0316878887605992,,,,,-0.08036382465938263,
PCSK1N,0.1795185118742613,-0.01953728687480016,0.052691719822895,0.07605454616599341,0.06611708931947559,0.1027383688947517,-0.039337101827631366,0.09123378855883833,0.3003755249424132,0.2262101377756448,0.14671587376799547,0.11342031241253987
NTS,,,,-0.04515189232815077,0.007656421795804657,-0.03458949425777443,-0.027049115241161603,-0.034814674947418654,-0.046544187883786184,,,
SFRP1,0.10249841025330986,-0.01404189290855296,-0.013666065751410291,0.19889358050907652,-0.03607627129768219,-0.01068194302673855,-0.040539871088750457,0.035838032412025725,-0.12486672891936329,-0.0017171666867806005,-0.004596366908174092,0.03262124129468269
CXCL13,,,,0.0305419821570876,,,,,,,-0.05466264713357516,
MICA,-0.027157719669954446,0.05326508027501022,-0.04766413365571207,0.02304317683917787,0.07362730287100616,-0.08422013785449027,0.012497703998551244,-0.034633078233444255,-0.012798479240877717,-0.08800809751730218,-0.026436167329526545,0.10608209303502951
TG,-0.025796408245147454,0.022546248566463527,-0.014747850118561395,-0.04882406871921013,0.10610488801365957,-0.010805587908475568,0.009680002413271025,0.006257120655579693,,-0.03840579173460038,-0.006456487662257392,
