,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.040623173422838665,,,,,,,,,,0.008840066530175057,,
BMP1,-0.049950166361119916,-0.0653202620491628,-0.06419298885786644,0.07943693882615842,-0.0035295169240371718,-0.08941081859593583,-0.10507355787942227,-0.35179686022715234,-0.09015885090552016,-0.03336843213278465,-0.1516325059167543,-0.2871346938087572,-0.02656140756047068,0.045482657516644646,-0.014507695654735923,-0.022747623741327848,-0.01785699974140017,0.14267276675973795,-0.013508957957817293,-0.01236793672579271
NDP,-0.05586819467831367,-0.029053794792640347,0.050338855032728065,0.08050693023308837,-0.006045215447857718,0.19044417524201884,0.07292244526796002,-0.09837189743192994,0.04830404376110615,0.04867520435382131,-0.09541249482483737,-0.07676562759068159,-0.07302810299936391,0.06957780617379031,0.0897285946060654,0.0352847923574329,-0.03297136176926861,0.04924797395918847,-0.023019595302773095,0.022535590884899506
TNFSF18,-0.0332984331471522,-0.017256220717807844,-0.023993835977705633,,,,-0.02645471318064984,-0.07601120688924483,-0.03256009734215933,,,,0.08395237505196985,,,,0.12248521325863428,0.03429305993545087,-0.06817187254210147,
IL36G,,,,,,,,,,,,-0.01980085797171327,,,,,,,,
RTN4,0.2063087072769449,0.01928557820223088,0.0484954665064398,0.0006490692128096181,0.091294925039089,0.20887529473536573,0.380716695215293,0.45819508849621465,0.18808448630956986,0.16758662335286617,0.3769363838638462,0.4361383177490638,-0.04823466595586587,0.018221435815640202,0.009130286983648995,0.014888307784772976,-0.004790890950845529,-0.05572208073490387,0.3128863988101811,0.06286321379764144
HEBP1,-0.03143535024119802,0.007069823149120504,6.646753732517643e-06,-0.0284508107503121,-0.03077168899175945,-0.0031124636369383356,-0.13804549957617426,-0.115162475013254,-0.00451633290869692,-0.07033098488034145,-0.16923828052573991,-0.010240667027419995,-0.11456733360843725,0.039260128340247454,0.01622841209894599,-0.023825686589880768,-0.053158268451914646,0.10973803736765772,-0.041095075189951195,-0.15011435979756707
WNT7B,0.23352948531402173,0.08234939010201034,-0.011882144179053842,0.07871931789976024,0.011314835783448348,0.0878387460187478,0.1304221737367265,0.2585844244593699,-0.0110981641723006,0.021146239186187587,,0.11821444520266708,,0.03241396734547129,0.07025558410801094,-0.018489891676340502,0.08893677268585995,0.0814097271696695,0.07951859266058603,0.11091767631108816
PTMA,-0.00716313815167947,-0.04024200069952068,-0.03815703008182927,0.15739577369983143,0.02065916283878088,-0.1996868792394978,-0.3730823392214732,0.03420767258037754,0.12782852153244087,-0.09943531555399379,-0.4681542963058739,-0.45389013377252496,0.06498308506941025,-0.1055232262780753,0.031838272410668965,-0.0667761032526294,-0.08153490926980926,0.005747265470397055,-0.13616530827799828,-0.13953732482657044
FASLG,,,,,,,,,,,,,,,,,,0.00979221283992446,,
CEACAM1,,0.012493991366975116,0.04685790989523798,,-0.030534303938107257,-0.01659740789224694,,-0.0915597422067317,-0.0007671642189353914,,,,-0.03363200651242086,0.008072597704363837,-0.023190851495234848,-0.011362382993103557,,0.028898167908796808,,
PDAP1,-0.04847028622528227,-0.026014361602698547,-0.0289875663241205,-0.03758171046992987,0.04740797158323462,-0.11272375482789035,-0.0813869849680216,-0.2805672120063064,0.010902932357958152,-0.06916600474240693,0.017114751353227698,-0.21293281702834874,0.05356953766761688,-0.0014938241106242456,-0.06200146500141336,-0.0533687323262343,-0.016135349439769044,-0.06030733865000392,-0.03786635181539535,0.10227611377346195
QDPR,0.12134205242541643,0.0384381130917487,0.025917591191656233,0.04891696030477882,0.03516713021336693,0.2082472315123564,0.08006473235966366,0.13037324534624062,0.14643090151385227,0.00741628924756828,-0.3945999849288266,0.08075771075840622,0.029853515150191075,0.007461743800899226,0.038496977728947036,0.014454050479866762,-0.13212436593445678,0.04015638463031006,0.16061145901482515,-0.11288401149723531
POMC,0.03672216807465098,-0.013598401449069302,0.004985558170836378,,0.05654674840446654,0.08092170867054255,0.032866435211136254,-0.008166816052709391,0.036236446923405545,0.018909220154399754,-0.05890521193851527,0.08317687662492818,0.0438028278097635,0.043296314414272695,-0.0007550266922756748,0.001682374423637406,,-0.0024893973855346194,0.03498092529168422,0.0929781857492152
CCL18,0.0695319738371942,-0.029038853812199818,,,,,,,,,-0.13055897328281804,,,0.16096708814680225,-0.05279935241088115,-0.015027462385930135,,,,
CCL17,,,,,-0.007444570836566832,,,,-0.008631120686149856,-0.03079268521723702,,-0.02554059001225995,,-0.043478740157462864,-0.04364317198704937,,,-0.009285846390395622,,
VEGFD,0.03870486651212737,-0.029022709658888927,-0.027931913534590905,,0.041064598287195976,0.0512438191038684,,-0.0910883303811564,-0.03029181507652515,0.024310928663856677,0.006415758966832492,-0.012013800628162295,0.04444278253233078,,0.020874973589355958,,,,,
TNFSF13,,-0.034171254104469334,,,-0.023085090900658568,,0.00711514482840091,,,,,,,0.07955998159409478,0.1501911064244404,0.011761733307886924,,0.10461527702861081,-0.0031179963792161173,
WNT5A,0.02364294946243866,-0.0371546636255922,0.02484948720828677,0.041140878612505115,-0.01489398706462387,-0.011568461301716794,-0.2451090223067557,-0.30088132748776947,0.05427293711491282,-0.036981618923887564,0.027620864211226507,-0.10657641946534831,0.01772353749565421,0.055395842967273595,0.03962406494076808,-0.014287179870258345,0.019162449264904402,-0.009743785126091496,-0.09790470721257212,-0.04548991688251916
