,MGH258,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,ZH1007inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,-0.0192967116785621,,-0.025825508920256812,,
BMP1,0.07581985734130481,-0.00010431638180954632,0.0050000994921885695,-0.012424255947090745,0.024456256145971154,0.0021605281169294168,0.0044589663579820945,0.13758097897910143,0.011815701090148897,0.04780685977507198,0.014343070967183638,0.21787251350166922,0.11739943096413617,-0.07447652751947087
NDP,0.06079647072354558,0.0639932241914601,0.020020308832507643,0.032250569525857815,0.01744985022624906,-0.014170775367624016,-0.026492989215208162,-0.011476410215384559,-0.037848161953365426,-0.047126546150272994,0.02678154179147232,-0.046114604620403184,-0.01983966880859804,-0.046073464487426635
TNFSF18,0.04492006676645509,-0.032922722676763674,0.00487095780101963,,,-0.020452305401552226,,,0.1422504767596653,0.05588951667849262,,0.04664661888264846,0.02208284698213038,
RTN4,0.0579969671154973,0.07309336836111643,0.04193561600566111,0.04545030767090191,-0.04932714397535785,-0.051636835969656285,-0.03219886854021071,0.00551040539319676,-0.1525498274761199,0.011934788333134048,-0.07356284441723857,-0.1014938688004039,-0.018790954729331635,0.07195773991203193
HEBP1,-0.009890611075994721,0.050840272337282055,-0.0003052814551670186,0.004595852354540405,-0.016091797636491496,0.01491185379934733,-0.04484166695375237,0.0955252617258057,0.04709320151544574,0.04546316174679181,0.05429919624808058,0.03963976008381428,0.012024715310314607,0.05013100800779547
WNT7B,0.08376117519546974,-0.019801140705657132,-0.014165469407353385,-0.02860434912323904,0.045163531948314725,0.006364140040210923,0.006484885620548318,,0.03854974896824614,0.10898853706288059,-0.022338910833978803,0.0671624662384951,0.048469096720861485,0.12155562992042859
PTMA,-0.033527540651207416,0.029568656522013074,0.022677099096132625,0.011317052153029946,-0.05453974205512523,-0.031114551212629606,0.01726950517798858,0.056600060733140015,0.059322608858051885,-0.008894167916874843,-0.046317696416088995,0.17963721567307758,0.04291561183628736,-0.10778815431606488
FASLG,0.13916680105058304,,,,,,,,,,,0.04480061663426225,,
CEACAM1,0.030398574943079164,-0.020954410713596303,-0.020694983313153135,0.0018529165139471368,-0.02447436646074627,0.03720211066616788,,,,-0.028594737031925912,-0.014826660010939217,0.07178568541118809,,
PDAP1,-0.08899077606008547,0.014799988855412739,0.04126293764929238,0.01879440489919796,-0.012849297707256261,0.028697697017255497,-0.05107498177801245,-0.014040584639469061,0.013691209170002726,0.01066577871009987,-0.04356162706023799,-0.10565136741024428,-0.021107994743402157,0.0411051555841222
QDPR,0.029751546655842644,-0.031219924938732855,-0.024183273954756904,-0.04415577252854088,0.03496791176819154,0.0038480062468270204,0.018827694777647824,0.0741501025878205,-0.15281209730116757,0.023045801470997947,0.07488302806999197,-0.026514506876318712,0.012682503634006298,0.022848610590490242
POMC,0.0018879363147633933,0.0512459438165392,0.06456579985277502,0.029147844679828023,0.09393343542422487,-0.023731237857747375,-0.006707424941921169,0.032058854675078664,-0.00025332494602005995,-0.042353454809734375,-0.02425446806434076,0.0905397407723375,0.10924628397631615,-0.02766516296226997
CCL18,,-0.026149124713457032,,,,,,0.15274543172538016,,,0.10590956122832967,,,
CCL17,,,,0.08608256605807678,,0.017501466737126374,-0.01733662057306516,,,-0.025441599673265456,,0.0024897404883612298,,
VEGFD,,0.028907223597391868,-0.02964141157470796,-0.02132908004237534,-0.023415688136081587,0.012576569278466319,0.07607778759856876,-0.0300039063351388,,-0.02683303512288664,,,,
TNFSF13,,0.10527044551230899,,0.008983203308253631,,,,,,-0.008789851494847166,-0.016649345471941492,0.07571828207716685,0.07365332692459915,
WNT5A,-0.016436128277374035,0.021707472054621955,0.09201959722312951,0.021451961141078703,-0.0007705040278488986,0.01234754846308286,0.011852027429795775,0.04802392640367841,0.03713712982473373,0.04109988692142533,-0.011111040591763011,0.16851128337282145,0.04469374358601318,0.0017534172437890007
CXCL8,,-0.03865392326497866,0.044788007900410334,-0.00658256837677734,-0.009255283953402922,0.01677288490004469,-0.011842270272086675,0.13169224355392511,,-0.03612152565866511,-0.011468397875526266,-0.048655146452623706,-0.0312825526958057,-0.034879105548920514
GRN,0.014657591858848294,0.05861841821346713,-0.00921795960540645,0.04719599748389757,0.02004887497194447,0.028174505660826334,0.008156584844402608,0.11591928273329491,0.06265585108492762,0.060904640394979025,0.09485074034416381,0.23958950614110985,0.07539421164298235,-0.1126270113190161
