,UKF248,UKF266,UKF275,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.032157444792007855,,-0.01797468897716156,,
BMP1,-0.007353758979644484,0.018303005130446352,-0.03215161314292373,0.11889558445364623,-0.02838719514665747,-0.04977883064159017,-0.015206902187711346,0.005061259152296324,0.02145643643974569,-0.014481783425156795,0.053160556221610054,0.1547785659777131
NDP,-0.05896739699821282,0.023854242699844014,0.019111987796132955,0.033392864967219854,-0.05143683426184626,0.006166174254542924,0.07414385472617639,0.03873429011373911,-0.028822552843018108,-0.0419802945485185,-0.024643835727010056,-0.12245352533274637
TNFSF18,-0.019341442786171427,-0.012213194007264597,-0.012358478390047138,,-0.008203241872177596,,,-0.01990036010794058,,0.02915900334817081,-0.029753373833923045,
RTN4,0.04285349753479693,0.08033277709351987,0.018665784363900817,-0.10671664737754978,-0.06338967395342131,0.008129535479815318,0.02764980705164084,-0.02318975340657919,0.09340676104011135,0.01039883348028126,-0.004735395680778065,0.0897528536438233
HEBP1,-0.042382002937806716,0.0071704325454064995,-0.024780872325251325,-0.07148257742992475,-0.06372537255466937,-0.02147397042712435,0.01366424501587181,-0.00280401707991362,-0.004216018784551517,0.01662393160831218,-0.0026158878917015515,0.020779600305374873
WNT7B,0.0192685020908697,-0.005547113468978806,-0.02646999799035673,-0.05908590335233453,,0.027243524491929575,0.005433142700542993,-0.04161326288294641,0.04182332034713383,0.14175550994378835,0.006222540546781306,0.16174856032790572
PTMA,0.04903611982955019,-0.009396818525864575,0.01668923448027728,-0.11288870215116704,0.05797810464754314,0.09163889879990723,0.0025845321820099493,0.01647260750758191,0.036761670953712335,-0.007180204827279146,-0.07091653077478986,0.03126935326133501
FASLG,,,,,,,,,,-0.015589441617738465,,
CEACAM1,0.0499925024038405,,-0.005576868720026677,-0.018962696579416866,-0.040885626503404396,0.0055134624043874205,0.1263363881645008,0.007006368736160094,-0.018079739979175995,-0.02169041833888035,,
PDAP1,0.04253592675687562,0.008112879949109898,0.013991414685271673,0.055034556788472626,0.110155060941464,-0.04930180637782245,0.013712236831636951,0.05398860595528351,0.017624074483532585,0.04131123189170483,-0.024795962915095303,0.0221642457577327
QDPR,0.05127468422801517,0.0005711300841338833,0.039533471948765025,0.09436985084824212,0.08345374234158576,0.0430362357126641,0.015893110689299356,0.023157217672460158,0.00916552808771053,-0.022540199729710723,0.008849386880113684,0.002679837854358431
POMC,0.007235128640058198,-0.03222086907529659,-0.014339801038360247,-0.06262491353255127,0.02015258858206022,0.04446977755247864,-0.010150249678903734,-0.0143413579453779,-0.016799271196673262,-0.022807455355852116,0.026580248652893417,-0.029337281203004783
CCL18,-0.02434172506748105,,,-0.038150564530196045,,-0.053865304989731536,-0.03925213505943942,,-0.05568895039521215,,,
CCL17,,,-0.015413428674224796,,,-0.029033345244194216,-0.0009786614009595722,0.09428181523080059,,-0.01413007782633821,,
VEGFD,0.030819662566440902,,4.810503204282511e-05,0.06722944424414078,-0.055583113270799005,,-0.00697091251860529,-0.026833037766773205,,,,
TNFSF13,-0.018369052690329426,-0.011844250371054415,,,,0.03867660907246145,0.043006690625592134,-0.007922201901133224,-0.02030233624660455,-0.023023782428342944,-0.032367426719401404,
