,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.0501220261062582,,,,,,,,,,,-0.019963186535319734,,,0.05594123486249943,
BMP1,-0.029608167888164286,-0.03850796366700548,0.0026132698364633774,0.029729760436509597,0.04086845425664662,0.031978598283680555,0.06816279828796513,0.07553908476155374,0.0897365357328409,0.030762132591268,-0.014502947116523307,-0.03630761567366099,0.010334616245088479,0.08988576819220631,-0.007962209135900004,0.02355384462829757,-0.01838102014997497,-0.04082428469402321,0.008704230392773248,0.036714848753936505,0.00857523766537541,-0.03356343437913635,-0.01001733746070113,0.08377754941398313
NDP,0.028178094756588508,-0.009649763204826689,0.015087228199481608,-0.01686866162490882,-0.04304667338756643,-0.0041004491429435614,0.005226361291246534,0.0011997656074312776,0.07474896042683542,0.023613144988015495,0.08479708090642364,0.0161917426307202,-0.07337381669192307,-0.0024793125672991755,0.03161973558428872,0.010400810949215638,0.04088413434468394,0.04983224286800901,0.020251105251127242,0.053134592296657075,0.021539379929391075,0.059364033418271615,0.12375281606574917,0.00745467120974294
TNFSF18,-0.02288514695681626,-0.04506475075878059,-0.024467644904098144,0.03995631993962698,,,,-0.018038167367623453,-0.0077835606776677614,-0.027832395449380983,,,,,,-0.08793199752772014,,,,0.018919639417022998,,0.013686554189632738,0.04921413975774433,0.004422509552649653
IL36G,,,,,,,,,,,,,,-0.02840339456019661,,,,,,,,,,
RTN4,0.06213880684658094,-0.12631668653767214,-0.01947393312287715,0.044176390266792764,0.0624716458777179,-0.024648949096986242,0.06766860002896326,-0.08824314070906232,-0.1319700773199196,0.0002695735176612702,-0.09607386285684268,-0.02161990297261132,0.010136866053247122,-0.04793813329737999,-0.030531026710552973,0.050482804876095314,-0.03699325487929247,0.03351593119068965,0.016947230799292716,-0.06761741139090603,0.000529204520858107,-0.03566994110462222,-0.014774333919480083,0.07828617535852873
HEBP1,0.0049474953941956315,0.021557952427242424,-0.030209879406822036,0.027422939382146877,0.020039800695042926,-0.008550060128697025,0.04553820317491068,0.040475416607682974,0.08096905508335339,0.019365091954242773,-0.013308059259223936,0.04095100466352003,-0.034706247628089715,0.0011408967650345305,-0.021426596058138833,0.07138581176484621,-0.04818858388101488,0.04324395903585075,0.035284079839305926,0.03709561529184101,0.02023824690407366,0.019400780959231888,0.1332336808600531,0.03637938401978691
WNT7B,-0.020161097686220195,-0.05258732370019438,-0.06065043000813217,-0.01134010776802808,-0.043259689437123376,-0.020896889763065682,0.06022527002549675,-0.05094988282419854,-0.04443505478453089,-0.012469909493557332,0.028582243319099095,,0.08565325032550629,-0.031218603868595318,-0.010799064775256786,,0.05492313981123439,0.023619531753626362,0.055339579160946416,0.031863462982660844,0.06316458797607302,-0.03862775421687017,0.013824947883669423,0.05092612621339101
PTMA,0.0008833995162790522,-0.058291825125596046,-0.024136660239150648,-0.00482349394238135,0.03525381143070823,0.03462952671110664,-0.005160541299677641,0.14808126369681615,-0.005958529427742793,-0.01469738238186096,0.021863844255830364,0.023681017328070774,0.08810268540021543,0.07045675091273597,-0.1555422211801258,0.06809769581768998,-0.0705274681412861,-0.021258342167131242,0.03672900175267207,-0.07027336722729517,-0.04192359194461662,0.16490871947860541,-0.07298555026806786,-0.010309337041104623
FASLG,0.02711974346649351,,,,,,,,,,,,,,,,,,,,,,-0.03144963804195117,
